channel_short,date,topic,text,clean_text,label_name
aviadispet4er,2025-11-01T18:08:02+00:00,1,"Настоящий истребитель. Су-35С стал самым результативным истребителем XXI века, заявили в ""Ростехе"" РИА Новости. Шестая в 2025 году партия ""тридцать пятых"" передана в состав ВКС. Что известно об этой боевой машине? Рассказывает . Кто есть мистер ""тридцать пятый""? Су-35С – многофункциональный истребитель 4++, ставший в ВКС переходным звеном между четвёртым и пятым поколениями. И это не просто слова. Именно на базе Су-35С отрабатывались многие элементы будущего Су-57. Его отличает маневренность и тяговооруженность за счёт двух двигателей АЛ-41Ф1 с изменяемым вектором тяги. Крещение огнём. Первое боевое применение Су-35С зафиксировано в ходе кампании в Сирии, где лётчики ВКС РФ выполняли задачи на любой вкус: от ударов ""чугуниевыми"" авиабомбами по террористам всех мастей и до сопровождения самолетов западной ""международной коалиции"". Но новым вызовом для Су-35С стала СВО, где он встретился с противником с эшелонированной ПВО. Короли воздуха. Истребители Су-35С ВКС РФ в ходе СВО показали свою высочайшую эффективность. Например, летом 2024-го один из них сбил МиГ-29 с расстояния в 213 км ракетой Р-37М. Су-35С били и истребители Су-27, и штурмовики Су-25, и фронтовые бомбардировщики Су-24М ВВС Украины. Единственные, кого они еще не встречали в бою, – американские F-16 и французские Mirage. И то, пока. Смогут ли поставки Украине ""десятков"" обещанных F-16 изменить ситуацию в СВО? Ещё в июне 2023 года президент РФ Путин дал понять, что американские ""шестнадцатые"", которые Запад поставляет Украине, ждёт судьба переданных ВСУ западных танков: ""_Как горели танки, так и будут гореть и F-16. Сомнений в этом нет_"". Спутник Ближнее зарубежье в MAX",настоящий истребитель су 35с стал самым результативным истребителем xxi века заявили в ростехе риа новости шестая в 2025 году партия тридцать пятых передана в состав вкс что известно об этой боевой машине рассказывает кто есть мистер тридцать пятый су 35с многофункциональный истребитель 4 ставший в вкс переходным звеном между четвёртым и пятым поколениями и это не просто слова именно на базе су 35с отрабатывались многие элементы будущего су 57 его отличает маневренность и тяговооруженность за счёт двух двигателей ал 41ф1 с изменяемым вектором тяги крещение огнём первое боевое применение су 35с зафиксировано в ходе кампании в сирии где лётчики вкс рф выполняли задачи на любой вкус от ударов чугуниевыми авиабомбами по террористам всех мастей и до сопровождения самолетов западной международной коалиции но новым вызовом для су 35с стала сво где он встретился с противником с эшелонированной пво короли воздуха истребители су 35с вкс рф в ходе сво показали свою высочайшую эффективность например летом 2024 го один из них сбил миг 29 с расстояния в 213 км ракетой р 37м су 35с били и истребители су 27 и штурмовики су 25 и фронтовые бомбардировщики су 24м ввс украины единственные кого они еще не встречали в бою американские f 16 и французские mirage и то пока смогут ли поставки украине десятков обещанных f 16 изменить ситуацию в сво ещё в июне 2023 года президент рф путин дал понять что американские шестнадцатые которые запад поставляет украине ждёт судьба переданных всу западных танков как горели танки так и будут гореть и f 16 сомнений в этом нет спутник ближнее зарубежье в max,Наука и техника
rian_ru,2025-11-01T15:01:56+00:00,0,"Главные новости субботы: Украинские военные, окруженные в Красноармейске в ДНР, начали сдаваться в плен. Украинские мошенники начали использовать новую многоходовую схему вербовки россиян. РЖД открывают детские зоны на вокзалах и игровые площадки возле них. Второе уголовное дело блогера-иноагента Максима Каца передали мировому судье. Российские школьники завоевали три золотые медали на международной олимпиаде по химии. Резкое похолодание на 15 градусов за 2-3 дня ожидается в азиатской части России. Словакия положительно относится к идее создания антиукраинской коалиции вместе с Венгрией и Чехией. Грабители, укравшие исторические ценности из Лувра, пытались продать их в даркнете. Институт Пушкина нашёл самое длинное слово в русском языке. Первый пошел: cуд вынес приговор о хищениях при строительстве фортификаций в курском приграничье. Подписаться на РИА Новости",главные новости субботы украинские военные окруженные в красноармейске в днр начали сдаваться в плен украинские мошенники начали использовать новую многоходовую схему вербовки россиян ржд открывают детские зоны на вокзалах и игровые площадки возле них второе уголовное дело блогера иноагента максима каца передали мировому судье российские школьники завоевали три золотые медали на международной олимпиаде по химии резкое похолодание на 15 градусов за 2 3 дня ожидается в азиатской части россии словакия положительно относится к идее создания антиукраинской коалиции вместе с венгрией и чехией грабители укравшие исторические ценности из лувра пытались продать их в даркнете институт пушкина нашёл самое длинное слово в русском языке первый пошел cуд вынес приговор о хищениях при строительстве фортификаций в курском приграничье подписаться на риа новости,Общее
mosrutop,2025-10-02T14:01:49+00:00,5,Столичная компания разработала тест СА-62 для ранней диагностики рака. Метод выявляет заболевание по анализу крови с точностью 90%. Проект получил поддержку Московского инновационного кластера. Метод продолжает проходить клинические исследования в Скандинавском центре здоровья. Благодаря мерам поддержки Москвы инновационный тест СА-62 можно сделать и в других частных медицинских центрах.,столичная компания разработала тест са 62 для ранней диагностики рака метод выявляет заболевание по анализу крови с точностью 90 проект получил поддержку московского инновационного кластера метод продолжает проходить клинические исследования в скандинавском центре здоровья благодаря мерам поддержки москвы инновационный тест са 62 можно сделать и в других частных медицинских центрах,Медицина
kommersant,2025-11-01T15:13:46+00:00,4,"Российские металлурги могут поднять цены на стальную заготовку в черноморских портах вслед за укреплением рубля и повышением стоимости полуфабрикатов из Китая, стало известно «Ъ». Экспортеры из стран СНГ планируют повышение цен до $443–447 за тонну в портах Черного моря. Поддержать котировки должен в том числе ожидаемый рост импорта турецкими заводами. В то же время китайские металлурги усиливают присутствие на соседних с Россией рынках, что ужесточает конкуренцию для российских компаний. #Ъузнал",российские металлурги могут поднять цены на стальную заготовку в черноморских портах вслед за укреплением рубля и повышением стоимости полуфабрикатов из китая стало известно ъ экспортеры из стран снг планируют повышение цен до 443 447 за тонну в портах черного моря поддержать котировки должен в том числе ожидаемый рост импорта турецкими заводами в то же время китайские металлурги усиливают присутствие на соседних с россией рынках что ужесточает конкуренцию для российских компаний,Экономика
kommersant,2025-10-22T14:44:30+00:00,0,"Оператор бизнес-центра «Белая площадь» в районе Белорусского вокзала в центре Москвы после смены владельца начал переговоры по сдаче в аренду пустующих офисов в комплексе. Так, около 20 тыс. кв. м в здании может арендовать «Яндекс». В случае заключения сделки IT-холдинг будет платить за комплекс более 2 млрд руб. в год. Сейчас крупные офисные блоки практически отсутствуют на рынке, и арендаторы ограничены в выборе. #Ъузнал",оператор бизнес центра белая площадь в районе белорусского вокзала в центре москвы после смены владельца начал переговоры по сдаче в аренду пустующих офисов в комплексе так около 20 тыс кв м в здании может арендовать яндекс в случае заключения сделки it холдинг будет платить за комплекс более 2 млрд руб в год сейчас крупные офисные блоки практически отсутствуют на рынке и арендаторы ограничены в выборе,Общее
kommersant,2025-11-01T14:41:44+00:00,2,"За третий квартал 2025 года в России было зафиксировано более 42 тыс. кибератак, 7,6 тыс. из которых признали высококритичными. По данным ИБ-компании RED Security SOC, это на 73% больше показателей прошлого года и составляет 40% от всех годовых инцидентов. Основными целями злоумышленников стали телекоммуникации, ИТ, финансовый сектор и медиаиндустрия. Наибольший рост продемонстрировали атаки на медиаотрасль (43%). Аналитики также сообщают о росте сложных целевых атак, фишинговых кампаний и использовании злоумышленниками легитимных инструментов, которые сложно обнаружить. Сети меняются. Мы следим. Подписывайтесь.",за третий квартал 2025 года в россии было зафиксировано более 42 тыс кибератак 7 6 тыс из которых признали высококритичными по данным иб компании red security soc это на 73 больше показателей прошлого года и составляет 40 от всех годовых инцидентов основными целями злоумышленников стали телекоммуникации ит финансовый сектор и медиаиндустрия наибольший рост продемонстрировали атаки на медиаотрасль 43 аналитики также сообщают о росте сложных целевых атак фишинговых кампаний и использовании злоумышленниками легитимных инструментов которые сложно обнаружить сети меняются мы следим подписывайтесь,ИТ и телекоммуникации
kommersant,2025-11-01T13:12:14+00:00,4,"Туристический центр Финляндии теряет €1 млн в день из-за закрытия границы с Россией, сообщает Bloomberg. Безработица в Иматре, популярном курортном городе Финляндии, достигла 15%, значительно превышая средний показатель по стране в 9,1%. В городе, где проживает около 25 тыс. человек, многие магазины закрыты, а компании сокращают персонал, сообщает агентство. Руководитель направления маркетинга и туризма в администрации Иматры Якко Яппинен разрабатывает новую стратегию для восстановления экономики. Город планирует привлекать туристов из других стран. Подписывайтесь на «Ъ»|Оставляйте «бусты»",туристический центр финляндии теряет 1 млн в день из за закрытия границы с россией сообщает bloomberg безработица в иматре популярном курортном городе финляндии достигла 15 значительно превышая средний показатель по стране в 9 1 в городе где проживает около 25 тыс человек многие магазины закрыты а компании сокращают персонал сообщает агентство руководитель направления маркетинга и туризма в администрации иматры якко яппинен разрабатывает новую стратегию для восстановления экономики город планирует привлекать туристов из других стран подписывайтесь на ъ оставляйте бусты,Экономика
d_code,2025-10-29T10:15:10+00:00,2,"Какой оператор самый безопасный? Согласно исследованию ComNews Research «Информационная безопасность абонентов сотовой связи», билайн второй год подряд признан самым безопасным оператором среди «большой четвёрки». Аналитики в числе прочего отметили у оператора: собственную антифрод-платформу; сбалансированное предложение услуг безопасности; сильные механизмы защиты от методов социальной инженерии; наличие Группы быстрого реагирования на мошеннические инциденты; количество банков, с которыми налажен обмен информацией по мошенническим номерам и звонкам. Также в ComNews Research отметили сильные стороны других операторов: У МТС — широкий перечень услуг безопасности в рамках базовых и бесплатных услуг, а также предлагает наибольшую максимальную сумму покрытия по услуге «Страхования от мошенничества». Также МТС имеет наибольший охват сервиса мобильный скоринг. МегаФон, в свою очередь, имеет самое широкое предложение бесплатных услуг безопасности в рамках сервисов «Ева» и «Ева+». Подписаться",какой оператор самый безопасный согласно исследованию comnews research информационная безопасность абонентов сотовой связи билайн второй год подряд признан самым безопасным оператором среди большой четвёрки аналитики в числе прочего отметили у оператора собственную антифрод платформу сбалансированное предложение услуг безопасности сильные механизмы защиты от методов социальной инженерии наличие группы быстрого реагирования на мошеннические инциденты количество банков с которыми налажен обмен информацией по мошенническим номерам и звонкам также в comnews research отметили сильные стороны других операторов у мтс широкий перечень услуг безопасности в рамках базовых и бесплатных услуг а также предлагает наибольшую максимальную сумму покрытия по услуге страхования от мошенничества также мтс имеет наибольший охват сервиса мобильный скоринг мегафон в свою очередь имеет самое широкое предложение бесплатных услуг безопасности в рамках сервисов ева и ева подписаться,ИТ и телекоммуникации
kommersant,2025-10-30T21:04:14+00:00,3,"Законопроект об обязательных отработках для выпускников медицинских вузов принят Госдумой со значительными поправками. Как стало известно «Ъ», перед заседанием представители фракции КПРФ просили снять документ с рассмотрения: по их оценке, он явно «сырой», к тому же «медицинская общественность» выступает против инициативы. Однако спикер Вячеслав Володин призвал коммунистов «не девальвировать себя и не уходить от необходимости принять решение». «Врачей нет в больницах. А общественность бывает разная»,— сказал господин Володин. Тем не менее законопроект Госдума значительно смягчила по сравнению с первым вариантом. Теперь обязанность заключать целевые договоры будет распространяться только на бюджетное образование по программам ординатуры, а отработка будет длиться не строго три года для всех, а до трех лет в зависимости от специальности. Подробнее — в материале «Выпускникам медвузов легчает». #Ъузнал",законопроект об обязательных отработках для выпускников медицинских вузов принят госдумой со значительными поправками как стало известно ъ перед заседанием представители фракции кпрф просили снять документ с рассмотрения по их оценке он явно сырой к тому же медицинская общественность выступает против инициативы однако спикер вячеслав володин призвал коммунистов не девальвировать себя и не уходить от необходимости принять решение врачей нет в больницах а общественность бывает разная сказал господин володин тем не менее законопроект госдума значительно смягчила по сравнению с первым вариантом теперь обязанность заключать целевые договоры будет распространяться только на бюджетное образование по программам ординатуры а отработка будет длиться не строго три года для всех а до трех лет в зависимости от специальности подробнее в материале выпускникам медвузов легчает,"Общество, государство, политика"
mosrutop,2025-10-17T15:11:30+00:00,0,Планируем выходные вместе с нашим дайджестом! Предлагаем: отметить День отца на тематических мероприятиях в кинопарке «Москино»; посетить лекции проекта «Оттепель. Не сезон» на ВДНХ; полюбоваться фотографиями дикой природы на выставке фестиваля «Золотая черепаха»; побывать на мероприятиях в экоцентрах в честь Международного дня бобра; заняться спортом или сходить на экскурсию в парке; увидеть живописные картины и скульптуры на выставке Русского музея на ВДНХ; посмотреть соревнования и поддержать спортсменов; узнать больше об экологичном образе жизни на фестивале на Южном речном вокзале; попробовать блюда на Манежной площади и сделать фотографии на фоне осенних декораций; узнать больше о профессиях на дне открытых дверей в колледжах; посетить площадки культурной акции «Московская музейная неделя». Подписывайтесь на официальный канал Москвы в MAX и Telegram.,планируем выходные вместе с нашим дайджестом предлагаем отметить день отца на тематических мероприятиях в кинопарке москино посетить лекции проекта оттепель не сезон на вднх полюбоваться фотографиями дикой природы на выставке фестиваля золотая черепаха побывать на мероприятиях в экоцентрах в честь международного дня бобра заняться спортом или сходить на экскурсию в парке увидеть живописные картины и скульптуры на выставке русского музея на вднх посмотреть соревнования и поддержать спортсменов узнать больше об экологичном образе жизни на фестивале на южном речном вокзале попробовать блюда на манежной площади и сделать фотографии на фоне осенних декораций узнать больше о профессиях на дне открытых дверей в колледжах посетить площадки культурной акции московская музейная неделя подписывайтесь на официальный канал москвы в max и telegram,Общее
