id,date,text,views,forwards,replies,channel_short
27174,2026-06-02T06:47:57+00:00,"Странный мужик вторгся в чужие территориальные воды на Патриках, и позорно бежал от местного пограничника. 

Дядька разделся до трусов и полез в пруд освежиться. Но любитель водных процедур не учёл — место занято и ему тут не рады. 

На перехват выдвинулся прекрасный и смелый эсминец-лебедь, который живёт в собственном домике на пруду... Но даже до драки не дошло —  купальщик предпочёл ретироваться на твёрдую землю под смех прохожих и зевак. 

Утро начинается с позора.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",8865,242,,ENews112
27171,2026-06-01T18:00:49+00:00,"Секту, обещавшую исход в Рай и возрождение Святой Руси, ухлопали силовики в Ленинградской области. 

Магнит рая в Лебедии, по одной из версий, была создана в Одессе. Потом перебралась в Россию, шерстить местных, чуть более обеспеченных пенсионеров. 

Руководит организацией ""Матерь Мира"", которой самой за 80. У неё несколько помощников, а прячется секта на виду — за завесой магазинчика, по типу хозяйственного. Но продают там религиозную литературу, причём ""винегретом"" — понемногу от нескольких сект. 

Доверчивые пенсионеры шли к ""Матери Мира"" послушать, каким прекрасным станет всё вокруг, если следовать заветам лидеров секты. И естественно, несли свои деньги. В проповедях лже-спасители смешали чуть не все религии мира, добавив своего колорита и ""Матерь Мира"" в роли пророка. 

Теперь Лебедию проверяют правоохранительные органы. От украинских сектантов могли пострадать сотни людей. От всей этой схемы очень сильно несёт мошенничеством. 

""Матерь Мира""! Почему опиум для народа?

🤩 [Главные происшествия — 112](https://t.me/ENews112)",43838,168,,ENews112
27170,2026-06-01T16:07:34+00:00,"«Жена не разрешила вернуться на место ДТП»: петербуржца, который наехал на припаркованные машины, лишили прав.

В марте этого года Валерий Иванов на своем автомобиле наехал на стоящие на парковке «Джили» и «Рено». При этом, недолго думая, он покинул место аварии. После мужчина рассказал, что у него заклинило колесо, а ушел он из-за разбитого носа. Отчаявшийся Иванов пришел домой, и у него повысилась температура. Тогда уже жена не разрешила вернуться обратно и решить вопрос с владельцами поврежденных авто.

Суд такие доводы не оценил и мужчину лишили прав сроком на 1 год 1 месяц.

~~ Уступи дорогу~~ уступи жене.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",43167,51,,ENews112
27169,2026-06-01T14:41:12+00:00,"Обвиняемый в краже электромопеда у жены Сергея Жукова готов возместить ущерб.

На заседании по делу о пропаже электромопеда Регины Бурд студент заявил, что готов полностью выплатить стоимость транспорта  — 451 тысячу рублей. При этом молодой человек продолжает настаивать, что не совершал кражу.

По его словам, о стоявшем на улице электромопеде он узнал из Telegram-чата любителей транспорта. Там якобы писали, что техника давно брошена и не имеет владельца. Студент забрал мопед через курьера, а позже разместил сообщение о находке в профильном сообществе, рассчитывая найти хозяина.

Защита также утверждает, что байк был поврежден до исчезновения, а оценка его стоимости могла быть проведена с нарушением. Его рыночная стоимость составляет 451 тысяч рублей.

Крути педали, пока п***ы не дали!

🤩 [Главные происшествия — 112](https://t.me/ENews112)",46229,53,,ENews112
27165,2026-06-01T14:05:16+00:00,"Москвичек заманивают на «работу мечты», а потом заставляют раздеваться перед веб-камерой.

Сразу несколько девушек рассказали о странной схеме набора сотрудников в офис на Лубянском проезде. По их словам, они откликались на вакансии SMM-специалиста, контентмейкера, HR или модели с высокой зарплатой и минимальными требованиями. На собеседовании кандидаткам рассказывали уже совсем о другой работе – проведении онлайн-трансляций.

Девушек просили фотографироваться с паспортом и проходить «стажировку», несмотря на отсутствие трудового договора. Одна из соискательниц утверждает, что после нескольких дней такой «подготовки» поняла, что речь может идти о вебкам-индустрии. По ее словам, уйти без давления получилось только с вмешательством знакомых.

По словам девушки, это далеко не единичный случай: о похожей схеме ей известно как минимум от семи человек. После очередного инцидента к офису пришлось вызывать сотрудников полиции.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",46192,252,,ENews112
27164,2026-06-01T13:24:01+00:00,"Часть фигурантов по делу банды экс-военного Павла Христева признала вину.  При этом сам Христев считает себя невиновным. 

Дело рассматривает суд присяжных, процесс закрыли от СМИ. Подсудимым вменяют тяжкие преступления, в числе которых: убийства, вымогательства, бандитизм, разбой, незаконное хранение наркотиков и приобретение взрывчатых веществ.

По версии следствия, банда была создана для выполнения заказных убийств. Участники пытались расправиться с криминальным авторитетом Максимом Лазовским (более известным как Макс Хромой), но по ошибке убили его водителя. Также в числе их жертв — советник министра путей сообщения Александр Фоминов, мэр Озерского района Владислав Сащихин с супругой. Кроме того, в числе преступлений — убийства владельца Красногвардейского рынка Москвы Хафиза Махмудова и троих предпринимателей. В составе банды были действующие и бывшие сотрудники силовых структур.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",45252,65,,ENews112
27163,2026-06-01T12:34:14+00:00,"Мужчина зарезал своего родного брата на автостанции в Махачкале из-за наследства.

По данным 112, убийцей оказался 52-летний Лев Благородный. Он приехал к своему брату — водителю маршрутки Абубакру — поговорить по поводу имущества. В итоге разговор закончился конфликтом, и Лев пырнул брата ножом. Кровавая резня произошла на глазах у пассажиров. Мужчину не удалось спасти — он умер на месте происшествия.

Лев задержан, сейчас его допрашивают. Возбуждено уголовное дело.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",56007,263,,ENews112
27162,2026-06-01T11:39:10+00:00,"18 детей заразились острой кишечной инфекцией в санатории Барнаула.

В Краевом детском психоневрологическом санатории зарегистрирована вспышка острой кишечной инфекции. Всего заболели 20 человек, среди них 18 детей. 

Двенадцать несовершеннолетних были госпитализированы в состоянии легкой степени тяжести. Еще восемь человек, включая шестерых детей, получают амбулаторное лечение.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",56379,81,,ENews112
27161,2026-06-01T10:13:38+00:00,"Двое детей погибли в ДТП на трассе М-5 в Самарской области.

Трагедия произошла в Сергиевском районе, рядом с селом Черновка. Там столкнулись два легковых автомобиля. Жертвами аварии стали три человека, среди которых двое детей. Еще три человека получили различные травмы.

Обстоятельства происшествия выясняются.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",51809,27,,ENews112
27160,2026-06-01T09:05:25+00:00,"Два школьника пропали в нацпарке «Красноярские Столбы». 

Потерявшимся мальчикам 12 и 15 лет. В поисках участвуют сотрудники МЧС, кинологи, спасатели и волонтеры. 

UPD: пропавшие дети найдены, с ними все в порядке. 

🤩 [Главные происшествия — 112](https://t.me/ENews112)",53333,69,,ENews112
27159,2026-06-01T08:39:19+00:00,"Охотники приняли подростка за животное и застрелили его на Кузбассе.

Трагедия произошла в ночь на 31 мая в Крапивинском округе. Двое подростков на мопедах заметили приближающийся автомобиль и съехали с дороги в кусты, решив, что навстречу едут сотрудники ГИБДД. В это время на УАЗе ехали трое мужчин, возвращавшихся с охоты.

Один из них через тепловизор заметил силуэт в кустах и принял его за животное. После этого 42-летний Евгений Н. выстрелил из охотничьего ружья. Пуля попала в 17-летнего Руслана Г. Подросток погиб на месте. Осознав, что стреляли в человека, мужчины скрылись, однако спустя несколько часов самостоятельно приехали в отдел полиции.

Охотник задержан. Возбуждено уголовное дело по статье «Убийство».

🤩 [Главные происшествия — 112](https://t.me/ENews112)",63383,701,,ENews112
27158,2026-06-01T08:32:14+00:00,"Тело пропавшего в Омской области сапбордиста нашли.

25 мая Анатолий вместе со своей женой ушел из дома для катания на сапах. Они отплыли с левого берега Иртыша и пропали. Тело Ольги [нашли](https://t.me/ENews112/27135) спустя пять дней, Анатолия искали неделю.

  🤩 [Главные происшествия — 112](https://t.me/ENews112)",52508,47,,ENews112
27157,2026-06-01T07:28:40+00:00,"Кадры из североуральского пункта выдачи. На них покупательница с воспламенившимся водонагревателем «гонится» за сотрудницами.

Оказалось, что женщина не прочитала инструкцию и сделала то, чего делать нельзя: включила прибор в розетку. Он загорелся, и шокированные работники предложили потушить его в туалете. Невесёлые старты попали на камеру наблюдения.

Олимпийские игры уже не те...

🤩 [Главные происшествия — 112](https://t.me/ENews112)",62032,348,,ENews112
