id,date,text,views,forwards,replies,channel_short
95600,2026-06-02T06:45:46+00:00,"**Под завалами дома в Днепре нашли тело ребенка, число погибших выросло до восьми — власти
**
Спасатели достали из-под завалов четырехэтажного дома в Днепре тело мальчика 2023 года рождения, сообщил глава областной администрации Александр Ганжа.

Общее число погибших в Днепре выросло до восьми человек. Среди них — спасатель, попавший под повторный удар, отмечает Государственная служба Украины по чрезвычайным ситуациям.

Пострадали более 30 человек.

Российское Минобороны утром во вторник отчиталось об ударе по «предприятиям ОПК» Украины в ответ на «террористические атаки».

🔗 [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",7469,30,,bbcrussian
95599,2026-06-02T06:34:49+00:00,"📝 💬 Мы приложили беспрецедентные усилия. Никто еще никогда не вкладывал столько сил в изменение названия [заболевания] 💬.

У одного из самых распространенных женских диагнозов – синдрома поликистозных яичников – появилось новое имя.

Русская служба Би-би-си поговорила с врачами о том, как переименование может повлиять на диагностику и лечение, и с женщинами об их личном опыте получения диагноза.

🔗 Текст читайте [на нашем сайте.
](https://www.bbc.com/russian/articles/c936zk5el64o)
🔗 [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",10045,53,,bbcrussian
95598,2026-06-02T06:14:19+00:00,"**Число погибших в Днепре выросло до семи — власти
**
В больнице умер 60-летний мужчина, получивших ранения в результате ночной атаки на Днепр, сообщил глава областной администрации Александр Ганжа.

Пострадали 35 человек, в том числе трое детей. 20 пострадавших госпитализировали, четверо из них находятся в тяжелом состоянии.

🔗 [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",13954,13,,bbcrussian
95593,2026-06-02T05:57:56+00:00,"**📸**** Ночной удар по Киеву. Фото из метро
**
В ночь на вторник российская армия нанесла удар по Киеву. По меньшей мере четыре человека погибли, более 60 получили ранения. По словам главы Киевской городской военной администрации Тимура Ткаченко, среди раненых — дети 3, 11 и 17 лет.

Многие жители Киева провели всю ночь в укрытии в метро.

🔗 [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",16279,57,,bbcrussian
95592,2026-06-02T05:49:39+00:00,"**В массированном ночном ударе по Украине было задействовано 73 ракеты и более 650 беспилотников — Воздушные силы ВСУ
**
В атаке были задействованы 8 противокорабельных ракет 3М22 «Циркон», 33 баллистических ракеты Искандер-М, 27 крылатых ракет Х-101, 5 крылатых ракет «Калибр».

По предварительным данным, силы ПВО смогли сбить или подавить 40 ракет и 602 беспилотника.

Зафиксировано попадание 30 баллистических и трех крылатых ракет, а также 33 ударных беспилотников, сообщают Воздушные силы ВСУ.

🔗 [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",17879,35,,bbcrussian
95588,2026-06-02T05:27:44+00:00,"📸 Корреспондент Би-би-си Дмитрий Власов на рассвете сфотографировал последствия ночного обстрела Киева.

Тем временем, по последним данным, к 8 утра по местному времени известно о четырех погибших и 58 пострадавших в результате российского массированного удара по столице, сообщает Государственная служба Украины по чрезвычайным ситуациям. По данным службы, среди пострадавших — трое детей.

Также сообщается, что в Днепре число погибших при обстреле выросло до шести, среди них один спасатель. Также известно о 36 раненых.

🔗 [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",20695,17,,bbcrussian
95587,2026-06-02T05:08:14+00:00,"**❗️**** Главное к утру вторника**

👉Украинские города [подверглись](https://www.bbc.com/russian/live/cg4p75e1k1nt) массированной атаке дронов и ракет различного типа, включая баллистические. На данный момент, по данным местных властей, известно о шести погибших в Днепре и по меньшей мере о трех в Киеве, а также о десятках раненых.

👉В Краснодарском крае из-за атаки дрона загорелся Ильский нефтеперерабатывающий завод, сообщил оперштаб региона. Этот НПЗ уже неоднократно подвергался украинским атакам.

👉Премьер-министр Венгрии Петер Мадьяр [заявил](https://www.bbc.com/russian/articles/cn4pewew0qxo), что изменит конституцию страны, чтобы сместить с должности президента Тамаша Шуйока, которого он считает ставленником Виктора Орбана. Шуйок отказался уходить в отставку добровольно, но у Мадьяра есть конституционное большинство в парламенте.

🔗 [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",23389,8,,bbcrussian
95586,2026-06-01T19:15:15+00:00,"📹 Нашествие мышей в Австралии. Грызуны уничтожают зерновые поля и проникают в дома фермеров.

🔗 [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",44498,437,,bbcrussian
95585,2026-06-01T19:00:18+00:00,"**Bloomberg: в мае ВСУ активно били по нефтяной отрасли России**

Украинские беспилотники в мае нанесли как минимум 16 ударов по российским нефтеперерабатывающим предприятиям, подсчитало агентство Bloomberg, это рекорд с начала войны.

Нефтеперерабатывающий завод «Славнефть-ЯНОС» подвергся атакам трижды, предприятия «Лукойл» в Нижнем Новгороде и Перми были атакованы дважды.

Из-за атак украинских беспилотников объемы нефтепереработки снижаются и уже достигли минимального за последние 16 лет уровня, замечает Bloomberg.

🔗 [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",43860,58,,bbcrussian
95584,2026-06-01T18:45:01+00:00,"📩 **Бензин по талонам, экзистенциальный выбор Армении и дети-политзэки. «Контекст»**

В сегодняшнем [выпуске](https://contextbbcrussian.substack.com/p/34a) рассылки Би-би-си обсудим дефицит топлива в Крыму и что на самом деле скрывается за «логистическими сложностями», которыми объясняют проблему российские власти.

Также поговорим о ситуации в Армении — страна выходит на финишную прямую перед парламентскими выборами, которые могут определить направление развития на десятилетия вперед.

🔗 [**__Подпишитесь__**](https://contextbbcrussian.substack.com/)__** на** **«Контекст»,** **чтобы быть в курсе новостей даже в условиях блокировок**__",41960,9,,bbcrussian
95583,2026-06-01T18:30:00+00:00,"🎙**Дорога в Крым под ударом ВСУ|** [**Подкаст «Что это было?» в YouTube**](https://www.youtube.com/watch?v=D-DFW5uEZfI)

Украина берет под огневой контроль логистику на оккупированных территориях. Самый громкий пример — атаки на трассу «Новороссия», ведущую из Ростова-на-Дону в аннексированный Крым. После этих ударов на полуострове возник дефицит бензина — его теперь продают по талонам. ВСУ также заявили, что взяли под контроль логистические маршруты российской армии в Луганской области и прилегающих областях. 

❓Как украинской армии это удалось и чем ответит Россия? 

На эти вопросы отвечает военный обозреватель Русской службы Би-би-си Илья Абишев*. 

__*Российские власти внесли Илью в реестр «иностранных агентов». Русская служба Би-би-си категорически не согласна с этим решением и оспаривает его в суде.__

00:00 Приветствие. Ведущий — Илья Кизиров
01:04 Чем ВСУ бьют по трассе «Новороссия»?
09:23 Россия перестанет использовать трассу в Крым?
10:34 Почему для ВСУ важно нарушить снабжение Крыма?
17:14 Россия может отбивать такие атаки?
18:30 Эти атаки — подготовка к контрнаступлению?
21:56 Россия проигрывает в войне дронов?

🔗 [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",39430,36,,bbcrussian
95582,2026-06-01T18:11:25+00:00,"**Трамп **[**заявил**](https://www.bbc.com/russian/articles/c0k20xej4vyo)**, что Израиль и «Хезболла» согласились прекратить боевые действия**

Президент США Дональд Трамп заявил, что провел переговоры с премьер-министром Израиля Биньямином Нетаньяху, а также представителями «Хезболлы», и убедил стороны в необходимости деэскалации. По его словам, израильский премьер согласился не направлять войска в южную часть Бейрута, а ливанская группировка пообещала прекратить нападения.

💬У меня состоялся очень продуктивный разговор с премьер-министром Израиля Биби Нетаньяху: войска в Бейрут не пойдут, а те, что уже были в пути, развернуты. Кроме того, через высокопоставленных представителей я провел очень конструктивный разговор с «Хезболлой», и они согласились, что все боевые действия будут прекращены — Израиль не будет нападать на них, а они не будут нападать на Израиль💬, – написал он в своей соцсети Truth Social.

В другом посте он заявил, что переговоры с Ираном продолжаются в интенсивном режиме.

Ранее в понедельник иранское полуофициальное информационное агентство Tasnim сообщило, что переговорная группа Тегерана прекращает все контакты с США через посредников из-за атак на Ливан.

🔗 [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",62833,38,,bbcrussian
