id,date,text,views,forwards,replies,channel_short
26382,2026-06-02T07:03:52+00:00,"Вторник. Немного новостей:

— Wildberries может купить долю в «AliExpress Россия» — но стороны сделку не подтверждают:
https://kod.ru/wildberries-mojet-kupit-aliexpress

— Яндекс перестроил программу лояльности «Свои Плюсы» — теперь уровень зависит от накопленных баллов:
https://kod.ru/yandex-perestroil-progammu-svoi-plusi

👍 $2,11 | 🥇 $70,86K | 💲 ₽72,0",1787,11,2,d_code
26381,2026-06-02T05:00:37+00:00,"🧠** Самый недооценённый ИИ-браузер — у вас, скорее всего, уже установлен**

В шумной гонке ИИ-браузеров громче всех звучат ChatGPT Atlas и Perplexity Comet. Яндекс Браузер на их фоне держится тише — хотя многое из того, за что конкуренты просят по 20 долларов в месяц, здесь работает бесплатно уже несколько лет.

Собрали честный ТОП-7 функций, где Алиса AI в Яндекс Браузере не хуже западных аналогов — а местами и впереди:

☀️ https://kod.ru/top7-fishek-alice-ai-v-yandex-browser",12342,85,110,d_code
26380,2026-06-01T20:08:07+00:00,"**🤨**** «Голосование для вида, наверху всё уже решили»**

После [анонса](https://kod.ru/toncoin-stanet-gram) Павла Дурова о переименовании монеты TON в Gram в сообществе начались споры: часть пользователей считает, что исход запущенного [голосования](https://ton.vote/EQDQvywF226NXojPky_9gwbCz0FPoygqY11bGl03SONNBs5V/proposal/EQAv-VS2OM80SYLB0ouRWRcpFg4J0L-egUf1-utF-OJ6h0rK) фактически определяют крупные держатели.

💘 Главный повод для критики — кошельки «китов» с большими балансами, которые голосуют «За». Один из таких кошельков хранит около 1,5 млн TON — **это примерно 3,3 млн долларов или 237 млн рублей**, убедился «Код Дурова».

💘 По цепочке транзакций этот кошелёк может быть связан с кошельком майнера, с которого в 2020 году ушло почти 45 млн TON. 

💘 На фоне давних вопросов к раннему распределению TON это вызвало опасения у части сообщества: они считают, что голосование может быть не вполне репрезентативным, потому что «в одних руках» якобы большой объём эмиссии TON.

В первые 15 минут текущего голосования почти 90% проголосовавших кошельков высказались против ребрендинга, убедился «Код Дурова»: многие из них были кошельками с относительно небольшими балансами, **но суммарно на них было TON почти на 42 млн рублей**. 

Похожая картина была и за несколько часов до официального анонса, когда такое же голосование, судя по всему, запустили ошибочно: тогда 99,97% успевших проголосовать тоже высказались против, а на их кошельках суммарно было TON почти на 1 млн рублей.

↖️ https://kod.ru/toncoin-stanet-gram",24129,73,17,d_code
26379,2026-06-01T17:32:04+00:00,"🦴 **Наконец-то! **

Смартфоны Xiaomi официально получили поддержку функции AirDrop.

Для каких моделей заявлена опция, и где ещё внедрили обмен с айфонами:

↖️ https://kod.ru/xiaomi17t-pro-airdrop-support",27521,162,44,d_code
26378,2026-06-01T16:17:40+00:00,"**☕️**** Этого следовало ожидать**

Роскомнадзор [заявил](https://t.me/ostorozhno_novosti/50347) изданию «Осторожно, новости», что доступ к PyPI не ограничивается.

Однако, по данным «Кода Дурова», на практике соединение с серверами всё ещё не устанавливается. 

Впрочем, когда подобная ситуация произошла с DeepSeek, после заявления РКН всё внезапно заработало. Ожидаем.

↖️ https://kod.ru/pypi-mogli-zablokirovat-v-rossii",29392,152,26,d_code
26377,2026-06-01T15:51:01+00:00,"⚡️ **«Мы возвращаемся к истокам — и начинаем новую главу»**

Павел Дуров подтвердил, что нативной валютой TON станет Gram — так назывался TON изначально.

Подробности и что будет с самим TON:

↖️ https://kod.ru/toncoin-stanet-gram",30465,206,46,d_code
26376,2026-06-01T15:15:42+00:00,"😎 **Суперкомпьютер на рабочем столе**

Nvidia представила DGX Station for Windows: система на чипе локально запускает ИИ-модели и одновременно держит в работе сотни агентов — прямо на Windows. 

Подробности:

↖️ https://kod.ru/nvidia-dgx-station",30194,135,8,d_code
26374,2026-06-01T14:26:19+00:00,"**⚡️**** Python в РФ — всё?**

«Код Дурова» уже второй день фиксирует проблемы с доступом к PyPI — главному репозиторию Python-пакетов. Соединение обрывается на этапе TLS: те же симптомы, [что были у DeepSeek](https://kod.ru/deepseek-mogli-zablikirovat-v-russii).

Официальных подтверждений блокировки нет, но диагностика намекает на знакомую картину:

↖️ https://kod.ru/pypi-mogli-zablokirovat-v-rossii",38287,1458,121,d_code
26373,2026-06-01T12:50:13+00:00,"⚡️ **«Кто будет против защиты детей?»
**
Основатель Telegram Павел Дуров выступил на ежегодном Форуме свободы*__ __в Осло. Он рассказал, сколько российских подростков использует Telegram и в чём вред принуждения к использованию VPN путём блокировок. 

Также Дуров поделился мыслями о глобальной угрозе личным свободам, массовой слежке со стороны государств и предлогах, которые власти разных стран используют для усиления контроля над обществом.

«Код Дурова» выделил основные тезисы из выступления:

↖️ https://kod.ru/durov-oslo-keypoints

__* проведён международной организацией Human Rights House Foundation, деятельность которой признана нежелательной на территории РФ.__",33185,192,0,d_code
26372,2026-06-01T11:05:01+00:00,"🐈 **Какой же он мощнючий**

Microsoft представила новый флагманский ноутбук Surface Laptop Ultra с чипом Nvidia RTX Spark — выход ожидается осенью этого года. 

Все характеристики нового ноутбука:

↖️ https://kod.ru/microsoft-surface-laptop-nvidia-rtx-spark",32392,134,36,d_code
