id,date,text,views,forwards,replies,channel_short
78778,2026-06-02T06:00:03+00:00,"❕ Движения >5% по итогам вчерашнего дня:

⠀`MRKV  Россети Волга  +9.07%`
⠀`FESH  Дальневосточ…  +6.17%`
⠀`AFKS  АФК Система    +5.26%`
⠀`GLRX  Глоракс        -5.22%`
⠀`ASTR  Группа Астра  -17.02%`

__* среди российских акций 1 и 2 эшелонов с учётом утренней, основной и вечерней сессий__",1101,4,,headlines_for_traders
78777,2026-06-02T05:59:01+00:00,"Новак поручил профильным ведомствам проработать вопросы стабилизации внутреннего топливного рынка.

[forbes.ru](https://www.forbes.ru/biznes/562085-rbk-uznal-o-podgotovke-vlastami-mer-dla-nasysenia-vnutrennego-rynka-topliva?utm_source=forbes&utm_campaign=lnews)",1322,1,,headlines_for_traders
78776,2026-06-02T05:45:10+00:00,"Головная компания «Яндекса» впервые упомянула инфлюенсеров — авторов популярных блогов и каналов в соцсетях, мессенджерах и на видеохостингах — при описании конкурентов в своей отчетности.

[forbes.ru](https://www.forbes.ru/tekhnologii/562022-s-bloz-ej-pomos-u-influensery-stali-konkurentami-dla-andeksa?utm_source=forbes&utm_campaign=lnews)",2827,6,,headlines_for_traders
78775,2026-06-02T05:32:24+00:00,"**ОАК*: российские самолеты могут занять до 100% авиапарка страны.**

[tass.ru](https://tass.ru/ekonomika/27607505)
__* Объединенная авиастроительная корпорация, входит в Ростех__",3812,24,,headlines_for_traders
78774,2026-06-02T05:20:09+00:00,"Динамика акций из **Индекса МосБиржи широкого рынка (MOEXBMI)*** за вчерашний день.

@headlines_for_traders
__* Индекс МосБиржи широкого рынка (MOEXBMI) включает ТОП-100 акций, отобранных на основании критериев ликвидности, капитализации и free-float, и является основой для формирования всех других индексов биржи.__",4381,7,,headlines_for_traders
78773,2026-06-02T05:15:08+00:00,"Динамика акций из **Индекса МосБиржи (IMOEX)** за вчерашний день.

@headlines_for_traders
__* на текущий момент в индексе 46 акций__",4378,5,,headlines_for_traders
78772,2026-06-02T05:02:27+00:00,"Цена на алюминий поднялась до максимума за четыре года на фоне ужесточения ситуации на мировом рынке.

[bloomberg.com](https://www.bloomberg.com/news/articles/2026-06-02/aluminum-advances-to-four-year-high-on-tighter-global-market?srnd=homepage-europe)",4877,8,,headlines_for_traders
78771,2026-06-02T04:50:09+00:00,"**Bloomberg** (про бюджет РФ):

🟠Высокопоставленные представители Минфина России и ЦБРФ предупредили, что военные расходы ведут бюджет к опасному росту дефицита.

🟠Финансовые власти предложили новые сокращения оборонных расходов, однако Министерство обороны выступает против и требует дополнительного финансирования для покрытия дефицита.

🟠Путин осведомлён о бюджетном давлении и поручил искать сокращения в других статьях расходов до того, как затрагивать оборонный бюджет. Масштаб возможных сокращений будет зависеть исключительно от его решения.

[bloomberg.com](https://www.bloomberg.com/news/articles/2026-06-01/russia-finance-officials-tell-putin-war-spending-is-unaffordable)",5544,52,,headlines_for_traders
78770,2026-06-02T04:35:09+00:00,"**Руководство Ирана: **

🟠Перемирие между Ираном и США — это перемирие на всех фронтах, включая Ливан. Его нарушение на одном фронте — это нарушение перемирия на всех фронтах. США и Израиль несут ответственность за последствия любого нарушения.

🟠Морская блокада и эскалация военных преступлений в Ливане со стороны сионистского режима являются явным свидетельством несоблюдения США режима прекращения огня.

[aljazeera.com](https://www.aljazeera.com/news/2026/6/1/iran-warns-israeli-attacks-in-lebanon-and-gaza-threaten-us-ceasefire-talks)",6107,5,,headlines_for_traders
78769,2026-06-02T04:20:07+00:00,"**Инвесторы активно скупают бычьи опционы, что является ещё одним признаком перегрева фондового рынка.**

[marketwatch.com](https://www.marketwatch.com/story/investors-are-piling-into-bullish-options-bets-another-sign-that-the-stock-market-is-getting-overheated-96c5fd15?mod=home_lead)",6575,9,,headlines_for_traders
78768,2026-06-02T04:05:10+00:00,"[**Anthropic**](https://t.me/headlines_for_traders/76147)** конфиденциально подала документы на IPO в рамках гонки с OpenAI.**

[bloomberg.com](https://www.bloomberg.com/news/articles/2026-06-01/anthropic-files-confidentially-for-ipo-as-claude-demand-surges?srnd=homepage-europe)",7021,4,,headlines_for_traders
78767,2026-06-02T03:50:05+00:00,"**США оказывают давление на нейтральный Оман, требуя выбрать сторону и сократить связи с Ираном.**

[wsj.com](https://www.wsj.com/world/middle-east/us-oman-iran-ties-3e056744?mod=hp_lead_pos1)",7448,6,,headlines_for_traders
78766,2026-06-02T03:35:09+00:00,"Нетаньяху в понедельник отдал приказ о нанесении ударов по контролируемым «Хезболлой» южным пригородам Бейрута, что сигнализирует о риске дальнейшей эскалации войны.

[reuters.com](https://www.reuters.com/world/middle-east/israels-netanyahu-ordered-military-attack-targets-beirut-southern-suburbs-2026-06-01/)",7901,4,,headlines_for_traders
78765,2026-06-02T03:25:11+00:00,"Трамп стремится снизить напряжённость в Ливане, чтобы сохранить шансы на продолжение мирных переговоров.

[bloomberg.com](https://www.bloomberg.com/news/articles/2026-06-01/iran-to-halt-message-exchanges-with-us-over-israel-tasnim-says?srnd=homepage-europe)",8027,2,,headlines_for_traders
78764,2026-06-02T03:15:09+00:00,"Клиенты управляющих смогут получить статус «квала» по упрощенной системе.

[finam.ru](https://www.finam.ru/publications/item/klienty-upravlyayushchikh-smogut-poluchit-status-kvala-po-uproshchennoy-sisteme-20260601-1820/)
__* документ вступит в силу с 3 декабря__",8145,8,,headlines_for_traders
78763,2026-06-02T03:02:01+00:00,"Аналитики утверждают, что перебои в работе Ормузского пролива продлятся до конца года.

[finam.ru](https://www.finam.ru/publications/item/analitiki-utverzhdayut-chto-pereboi-v-rabote-ormuzskogo-proliva-prodlyatsya-do-kontsa-goda-20260601-2133/)",8184,3,,headlines_for_traders
78762,2026-06-01T15:02:07+00:00,"**100 млн рублей от Сбера на поддержку предпринимателей **💚

В Москве прошёл финал Премии «Любимый малый бизнес» от Сбера — с аплодисментами, живыми эмоциями и яркими улыбками. 

Премия уже третий год подряд объединяет предпринимателей и помогает им заявить о себе. В этом сезоне было больше 42 000 заявок, всего 100 победителей и каждый из них получил по **1 000 000 ₽** на развитие бизнеса, а 10 счастливчиков еще и гран-при – сертификат на отдых на премиальном курорте «Мрия».

👆 Смотрите видео — эмоции победителей говорят сами за себя.

Заявку на [Премию 2027 года](https://www.sberbank.ru/love?utm_source=telegram&utm_medium=fix&utm_campaign=Premiya_Lubimy_Maly_BIZ_may_jun_rk_smm_banner&utm_content=headlines_for_traders&erid=2VfnxwhXPWi) можно будет подать осенью, а оставить почту чтобы получить напоминание можно уже сейчас. Сбер поддерживает предпринимателей и верит в успех каждого!",12952,15,,headlines_for_traders
78761,2026-06-01T14:35:17+00:00,"❗️**Иран согласовал план по полной блокировке Ормузского пролива и активации других направлений давления, включая пролив **[**Баб-эль-Мандеб**](https://t.me/headlines_geo/5487)**.**
[
financialjuice.com](https://www.financialjuice.com/News/9613195/The-resistance-front-and-Iran-have-set-their-agenda-to-completely-block-the-Strait-of-Hormuz-and-activate-other-fronts-including-the-Bab-el-Mandeb-Strait---Tasnim.aspx)
__16:22 мск, 01.06.2026__

__* цена Brent выросла на +5%__",13194,68,,headlines_for_traders
78760,2026-06-01T14:35:17+00:00,"**❗️****Иранское агентство Tasnim: Иран прекратил обмен сообщениями с США в знак протеста против «преступлений сионистов».**

[financialjuice.com](https://www.financialjuice.com/News/9613172/Tasnim-Iran-stops-message-exchange-with-the-US-in-protest-against-Zionist-crimes.aspx)
__16:10 мск, 01.06.2026__",12832,29,,headlines_for_traders
78759,2026-06-01T14:31:41+00:00,"Правительство РФ ввело запрет на экспорт авиакеросина до конца ноября.

[interfax.ru](https://www.interfax.ru/business/1093002)",12774,13,,headlines_for_traders
78753,2026-06-01T12:35:16+00:00,"[**СМАРТЛАБ**](https://t.me/smartlabnews) — проект про инвестиции, рынок и деньги, на котором уже 17 лет авторы публикуют свои материалы для частных инвесторов. Здесь вы найдёте разборы отчётов компаний, подборки дивидендных и доходных акции, обзоры облигаций, просто интересные статьи с сайта Smart-Lab. Подписывайтесь, тут интересно и полезно! [**Telegram**](https://t.me/smartlabnews) **|** [**Max**](https://max.ru/smartlabnews)",14004,2,,headlines_for_traders
78752,2026-06-01T12:27:36+00:00,"🔔 #alert
**Natural Gas**: падение > 3.75% за последний час",13608,7,,headlines_for_traders
78750,2026-06-01T11:55:38+00:00,"**Сергей Пирогов** (про курс доллара):__
31.05.202__6

__""Слабость российского рынка акций — это просто очень крепкий рубль. Именно с курсом доллара, я считаю, будут связаны важнейшие события следующей недели. Тут, кроме вот этой математики (сколько у нас импорт, сколько экспорт), есть ещё тайминг и психология.

Когда курс экстремально низкий, даже финансовые директора компаний-экспортёров видят, что курс пополз вверх, могут не продавать — тогда он вырастет ещё больше, и они продадут дороже. 
Второе, начинается сезон отпусков. Третий фактор — покупки Минфина. Четвёртый — действие спекулянтов: если они видят какой-то намёк на разворот тренда, то активизируют покупки.

В принципе, все основные факторы здесь потенциально играют на пользу тому, чтобы доллар смог подрасти. Но нужно помнить: такая вещь вряд ли продлится больше месяца. Все эти факторы временные"".__

[youtube.com](https://www.youtube.com/watch?v=AJ3LFc8uZIg)",14016,21,,headlines_for_traders
78749,2026-06-01T11:42:29+00:00,"Уровень безработицы в России остается на минимальном за последние 35 лет уровне - 2.2%

[rbc.ru](https://www.rbc.ru/rbcfreenews/6a1d65669a7947f31fb1e50e?from=newsfeed)",13059,16,,headlines_for_traders
78748,2026-06-01T11:33:37+00:00,"ИИ-решения ИКС 5 принесли ₽5 млрд ($70 млн) операционной прибыли по итогам 2025 г.

[x5.ru](https://www.x5.ru/ru/news/ii-resheniya-prinesli-x5-5-mlrd-rublej-dopolnitelnoj-operaczionnoj-pribyli/)",13197,27,,headlines_for_traders
