id,date,text,views,forwards,replies,channel_short
14895,2026-06-01T12:07:01+00:00,"1 июня 1936 г. открылась трансконтинентальная авиалиния Москва – Владивосток. Самолет АНТ-14 «Правда», 5 моторов, 35 мест. Эта авиалиния до сих пор считается одной из самых протяженных в мире.",580,6,,historyrussi
14894,2026-05-31T13:03:20+00:00,"Солдаты в противогазах системы Зелинского–Кумманта, 1916 год, Россия.",850,6,,historyrussi
14892,2026-05-31T10:46:14+00:00,"Как на латыни вежливо намекнуть собеседнику, что он зануда, или красиво попросить счёт в кабаке?

Вопреки мифам, на языке Цицерона можно не только писать эпитафии, но и банально ругаться, флиртовать и обсуждать погоду. Книга Георга Капеллана** «**[Говорите ли вы на латыни](https://chernaya100.com/capellanus-latina/history?utm_source=history)?**» **— это культовый европейский разговорник, который учит именно живому, бытовому языку.

За русский перевод отвечали филологи из МГУ: они сохранили тонкий гимназический юмор, но аккуратно адаптировали реалии под нас. 

Забирайте самый изящный инструмент для светских бесед [**по ссылке**](https://chernaya100.com/capellanus-latina/history?utm_source=history)",875,4,,historyrussi
14890,2026-05-31T09:03:20+00:00,"В противогазе Зелинского-Кумманта был, даже предусмотрен рожок, который предназначался для того, чтобы протирать им стекла противогаза, продевая палец внутрь маски и не снимая ее.",791,9,,historyrussi
14889,2026-05-31T07:09:19+00:00,"[​​](https://telegra.ph/file/e6ac98548259e02af96d5.jpg)[​​](https://telegra.ph/file/e6ac98548259e02af96d5.jpg)**Противогаз Зелинского-Кумманта**

Недалеко от Варшавы немцы 31 мая 1915 года опорожнили 12 тысяч баллонов с хлором, залив окопы русской армии 264 тоннами отравы. Погибли более трех тысяч сибирских стрелков, а порядка двух были госпитализированы в тяжелейшем состоянии. Эта трагедия стал толчком к разработке противогаза, навсегда вписавшего имя Н. Д. Зелинского в историю Отечества. Стоит отдельно отметить, что 217-й Ковровский полк и 218-й Горбатовский полк 55-й пехотной дивизии, принявшие на себя «химический» удар, не дрогнули и отразили наступление немцев.

Гений Николая Дмитриевича Зелинского был в том, что он очень вовремя осознал невозможность создания универсального нейтрализующего состава для всех типов боевых отравляющих веществ. Он уже тогда знал о выживших русских солдатах, которые спасали себя, вдыхая воздух через рыхлую землю либо плотно укутывая голову шинелью. Поэтому логичным было решение использовать явление адсорбции на поверхности пористых веществ, то есть реализовать физический принцип нейтрализации. Для этой роли отлично подходил древесный уголь.

Новое вещество, как обычно это делали в те времена, ученые испытывали на себе. Для этого в помещении для тестов сожгли такой столько серы, что находится там без защиты было невозможно. Н.Д. Зелинский со своими помощниками, В. Садиковыми и С. Степановым зашли в помещение, предварительно закрыв рот и нос платками, в которые обильно насыпали активированный уголь, пробыв в таких адских условиях 30 минут, испытатели убедились, что план работает. А инженер-технолог завода «Треугольник» Эдмонт Куммант впоследствии решил проблему плотного прилегания противогаза к голове любого размера.

Начавшиеся испытания прототипа, тянувшиеся до начала 1916 года, раз за разом доказывали, что маска Кумманта с респиратором Зелинского - самый простой и эффективный из имеющихся противогазов. Финальным испытанием противогаза стал эксперимент в ставке при штабе верховного главнокомандующего, в ходе которого Сергей Степанов пробыл в камере с газом целых полтора часа - неожиданно в кабинет вошел дежурный по штабу и сообщил Зелинскому, что его противогаз принят на вооружение личным распоряжением Николая II. Причиной такого шага послужили газовая атака на фронте между Ригой и Вильно, в результате которой русская армия потеряла 16 тысяч человек. 

К концу 1916 года в армию было поставлено свыше 11 миллионов противогазов Зелинского-Кумманта, что снизило потери от отравляющих веществ до 0,5%.",882,17,,historyrussi
14888,2026-05-30T18:00:20+00:00,Памятник императору Александру III был торжественно открыт у Храма Христа Спасителя 30 мая 1912 года. Был снесён вскоре после революции 1918 года.,948,12,,historyrussi
14887,2026-05-29T06:02:20+00:00,"[​​](https://telegra.ph/file/6f43af733664eb4547e2e.jpg)[​​](https://telegra.ph/file/6f43af733664eb4547e2e.jpg)**Николай Иванович Пастухов — основатель «желтой» прессы в России**

Русский издатель Николай Иванович Пастухов, вероятно, и не догадывался о том, что в нашей стране именно он является основателем «желтой прессы». Но, газета Пастухова, с названием «Московский листок», изначально была рассчитана на массового читателя, а не на узкий круг интеллектуалов.

Газета издавалась с 1881 по 1918 гг. и была очень популярна среди кучеров, мелких торговцев, прачек, ремесленников и прочих лиц из, как тогда говорили, «непривилегированных сословий». Громкие преступления, самоубийства, мистические истории, скандалы – именно эти события занимали значительную часть газеты, которая быстро нашла своих читателей.

По воспоминаниям современников, газету Пастухова все ругали, но все читали. Даже знатные москвичи, не желая лично покупать такую «низкосортную» газету, отправляли слуг, которые, купив «Московский листок», тайно передавали хозяину. Неудивительно, что вскоре Пастухов открыл собственную типографию, а через несколько лет стал миллионером.

Пастухов заслуженно гордился тем, что в его «Листке» печатались такие известные писатели как Гиляровский, Чехов, Плещеев и другие. Владимир Гиляровский, известный московский репортер, вспоминал, как Пастухов увидел однажды в трактире Тестова популярного поэта Константина Бальмонта и поинтересовался у своих сотрудников: почему он ничего не пишет в «Московский листок»? Те объяснили, что Бальмонт дорого берет с издателей – по рублю за строку. Пастухов задумался, затем сказал: «Пусть напишет три строки. Я заплачу по рублю».

Уже в девяностых годах XIX века Пастухов мог позволить себе содержание корреспондентов «Московского листка» за рубежом. А в газете появилась рубрика «Заграничные новости». Тираж газеты был, для того времени, внушительным – более 30 000 экземпляров. А годовая подписка стоила 9 рублей.

Николай Иванович Пастухов скончался в 1911 году, ему было 80 лет. А газета выходила еще несколько лет. После Октябрьской революции у редакции начались проблемы с новой властью. В марте 1918 года вышел последний номер «Московского листка».",1121,14,,historyrussi
14885,2026-05-28T18:01:17+00:00,"Cessna 172 под управлением Матиаса Руста незаконно приземлилась на Красной площади 28 мая 1987. Немецкий пилот-любитель летел от Финляндии до Москвы (будучи прослеженным советской ПВО и советскими реактивными истребителями, так и не получившими указ сбить его).",1118,7,,historyrussi
14884,2026-05-28T15:08:16+00:00,"«Просмотр корреспонденции с театра войны военной цензурой.» Российская Империя. Иллюстрация из журнала ""Природа и люди"" # 30 от 28 мая 1915 года.",1075,5,,historyrussi
14883,2026-05-28T12:00:17+00:00,"Похороны пожарных Рождественской части, погибших при тушении пожара 28 мая 1906 года.",1099,5,,historyrussi
