id,date,text,views,forwards,replies,channel_short
14316,2026-06-01T16:45:48+00:00,"**Один прогноз изменит мир **

Так звучит слоган нового исторического фильма «Давление» с Эндрю Скоттом и Бренданом Фрейзером. 

Сценарий картины основан на реальных событиях, связанных с одним из наиболее известных эпизодов Второй мировой войны — высадкой союзников в Нормандии.  В центре сюжета фильма — 72 часа перед операцией, когда решение о начале вторжения зависело от критически важного фактора — прогноза погоды. 

Главный герой, британский метеоролог Джеймс Стэгг (Эндрю Скотт), оказывается в эпицентре стратегического конфликта: его расчеты напрямую влияют на то, каким будет приказ Верховного главнокомандующего союзными войсками Дуайта Эйзенхауэра (Брендан Фрейзер).

[**«Давление»**](https://karofilm.ru/film/16169?date=2026-06-15)
Премьера 15 июня в 20:00 в киноцентре «Октябрь»
Фильм представит и обсудит философ Евгений Цуркан

Партнер показа: кинопрокатная компания «Вольга»",560,7,0,karoartcinema
14315,2026-06-01T12:28:12+00:00,"**Надо жить, надо любить, надо верить.
 
Киноверсия оперы Дмитрия Чернякова «Война и мир» закроет Летний фестиваль КАРО/АРТ (про)свет ⚡** 
 
Знакомый сюжет в новом свете: Черняков оживляет классику и создает свое уникальное произведение. Он помещает действие оперы в сердце города, в прямой контакт с нашими вечными тревогами, эмоциями и повседневной жизнью. Потому что «нет величия там, где нет простоты, добра и правды».

[**«Черняков: Война и мир»**](https://karofilm.ru/film/16112?date=2026-06-21)
21 июня в Москве, Санкт-Петербурге, Краснодаре, Екатеринбурге, Калининграде и Новосибирске.
 
Партнер показа: проект TheatreHD",768,5,0,karoartcinema
14308,2026-06-01T10:53:14+00:00,"**На этой неделе в КАРО/АРТ **

[**«Убить Билла. Кровавое дело целиком»**](https://karofilm.ru/film/15758?date=2026-06-01)
Визитная карточка всемирно известного режиссера, надолго определившая его авторский почерк. Квентин Тарантино объединил культовые части дилогии «Убить Билла» в один масштабный фильм в 4К-формате и включил новую анимационную сцену.

[**«Закулисье реальности»**](https://karofilm.ru/film/16075?date=2026-06-02)
Фильм основан на одноименной городской легенде о крипипасте, в главных ролях — Чиветель Эджиофор и Ренате Реинсве.

[**«Капернаум»**](https://vk.cc/cYo5ln)
Один из самых титулованных фильмов 2018 года о буднях ливанских детей, вынужденных выживать в бейрутских трущобах.

[**«День рождения»**](https://karofilm.ru/film/16136?date=2026-06-03)
Премьера драмы о власти, любви и свободе из программы 78-го Международного кинофестиваля в Локарно с Уильямом Дефо в главной роли.

[**«Расемон»**](https://karofilm.ru/film/15662?date=2026-06-06)
Специальный показ одного из главных шедевров Акиры Куросавы с Тосиро Мифунэ в главной роли в рамках киноцикла «Такие разные Средние века».

С 4 по 14 июня в киноцентре «Октябрь» пройдет фестиваль [Beat Film Festival.](https://karofilm.ru/films/121)",803,4,0,karoartcinema
14307,2026-05-31T18:42:41+00:00,"«Обсессия» молодого режиссера Карри Баркера показывает небывалый успех в прокате — почему нам всем так понравился хоррор о пугающе нездоровых отношениях?

Послушать выпуск, посвященный фильму, можно на платформах [Mave](https://mave.stream/karoart), [Apple Podcasts](https://podcasts.apple.com/ru/podcast/встретимся-после-титров/id1828191316)[ ](https://podcasts.apple.com/ru/podcast/%D0%B1%D0%B0%D0%B9%D0%BE%D0%BF%D0%B8%D0%BA-%D0%BE-%D0%BA%D0%BE%D1%80%D0%BE%D0%BB%D0%B5-%D0%BF%D0%BE%D0%BF-%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8-%D0%BC%D0%B0%D0%B9%D0%BA%D0%BB-%D1%80%D0%B0%D0%B7%D0%B3%D0%BE%D0%B2%D0%BE%D1%80-%D1%81-%D0%BC%D0%B0%D1%80%D0%B8-%D0%B0%D1%80%D0%BC%D0%B0%D1%81/id1828191316?i=1000770061825)и на[ Яндекс Музыке ](https://music.yandex.ru/album/37410429?utm_medium=share_link_tg) 🎧

Разговор ведут профи в жанре ужасов: главный редактор RussoRosso **Полина Николайчук** и кинокритик **Кирилл Артамонов**.",1138,19,0,karoartcinema
14297,2026-05-31T15:44:29+00:00,"В какой-то момент мы поняли, что видели все фильмы Тарантино. Осталось только пересматривать…

Одна из лучших работ мастера кровопролитных боевиков [«Убить Билла. Кровавое дело целиком»](https://karofilm.ru/film/15758?date=2026-06-01) выходит в прокат в новой 4К-версии. 

💯 — если видели всё
👀 — если парочка непросмотренных еще в запасе",1053,7,0,karoartcinema
14291,2026-05-30T11:02:12+00:00,"Закулисье [«Закулисья реальности»](https://karofilm.ru/film/16075?date=2026-06-02) 📸

Премьера — 2 июня! В Москве пройдет онлайн-обсуждение с режиссером фильма **Кейном Парсонсом**. Модератор — киноблогер **Илья КиноПес**. Переводчиком выступит преподаватель и коммьюнити менеджер преподавателей школы Skyeng Мария Коротких.

В Краснодаре фильм представит и обсудит киновед** Кира Кац**.",1067,15,0,karoartcinema
14290,2026-05-29T14:59:59+00:00,"«Я писал и снимал его как один фильм — и очень счастлив дать фанатам шанс увидеть объединенную версию картины», — Квентин Тарантино.

[«Убить Билла. Кровавое дело целиком»](https://karofilm.ru/film/15758?date=2026-06-01) смотрим 1 июня в Москве. Зрителей первого зала «Октября» ждут приятные сюрпризы! А после показа обсудим увиденное с нашим обезоруживающим дуэтом — философом Евгением Цурканом и кинокритиком Ариной Бойко 💥😎",2151,24,1,karoartcinema
14289,2026-05-29T11:51:49+00:00,"**Мари Армас о короле поп-музыки Майкле Джексоне и новом байопике** 🎙

В новом выпуске «встретимся после титров» мы говорим о том, как Майкл Джексон изменил музыкальную индустрию, а также обсуждаем взорвавший мировой прокат байопик, посвященный началу карьеры певца, вместе с ведущей радио «Серебряный дождь» Мари Армас.

**Послушать выпуск можно на платформах **[**Mave**](https://mave.stream/e/V5CUlkSy3x)**, **[**Apple Podcasts **](https://podcasts.apple.com/ru/podcast/%D0%B1%D0%B0%D0%B9%D0%BE%D0%BF%D0%B8%D0%BA-%D0%BE-%D0%BA%D0%BE%D1%80%D0%BE%D0%BB%D0%B5-%D0%BF%D0%BE%D0%BF-%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8-%D0%BC%D0%B0%D0%B9%D0%BA%D0%BB-%D1%80%D0%B0%D0%B7%D0%B3%D0%BE%D0%B2%D0%BE%D1%80-%D1%81-%D0%BC%D0%B0%D1%80%D0%B8-%D0%B0%D1%80%D0%BC%D0%B0%D1%81/id1828191316?i=1000770061825)**и на **[**Яндекс Музыке**](https://music.yandex.ru/album/37410429/track/151943825?utm_source=web&utm_medium=copy_link)[** **](https://music.yandex.ru/album/37410429?utm_medium=share_link_tg)** 🎧**

[«Майкл»](https://karofilm.ru/film/16068?date=2026-05-29) уже в прокате!",1118,8,0,karoartcinema
14281,2026-05-29T09:16:13+00:00,"Новые кадры драмеди «Беспечный возраст» 👀

Премьерный показ фильма пройдет уже завтра, [30 мая в киноцентре «Октябрь»](https://karofilm.ru/film/15782). Спикер — кинокритик и автор канала «Критикиса» Арина Бойко.",1132,11,0,karoartcinema
14279,2026-05-28T14:58:19+00:00,"В июне нас ждет культовая дилогия [«Убить Билла»](https://karofilm.ru/film/15758?date=2026-06-01) на большом экране: новая 4К-реставрация оригинальной пленки дополнена оригинальной анимационной сценой, до этого не включенной в фильм 👊🥷

📍1 июня, Москва и Краснодар
📍2 июня, Санкт-Петербург

Хороший повод снова пересмотреть историю Черной Мамбы — и наконец решить: **какой фильм Квентина Тарантино у вас самый любимый?**",1272,12,5,karoartcinema
14269,2026-05-28T11:16:43+00:00,"Постановка «Бесы» Андрея Прикотенко — история гибели людей и гибели души. При всей мрачности и трагизме сюжета — это невероятно красивый спектакль, где визуальное решение работает в идеальной связке со словом и духом Достоевского.

**Смотрим и обсуждаем киноверсию спектакля с профессором Евгением Жариновым **[**31 мая в киноцентре «Октябрь»**](https://karofilm.ru/film/16001?date=2026-05-31) 👀",1193,4,0,karoartcinema
14268,2026-05-27T13:58:05+00:00,"**Пересматриваем раннего Нолана** 👀**
**
В повторный прокат выходит «Мементо» Кристофера Нолана. В свое время картина сломала традиционный подход к кинодраматургии и закрепила за Ноланом славу режиссера, экспериментирующего со временем и нелинейностью повествования. 

**«Мементо»**
[**22 июня 19:30 / Москва, киноцентр «Октябрь»**](https://karofilm.ru/film/15816?date=2026-06-22)
Разговор __→__ киновед Всеволод Коршунов

[**22 июня 19:00**](https://karofilm.ru/film/15816?date=2026-06-22)** **[**/ Краснодар, КАРО 8 Галерея**](https://karofilm.ru/film/15816?date=2026-06-22)
Разговор __→__ киновед Кира Кац

Леонард Шелби пытается найти убийцу жены. Его проблема — редкая форма амнезии, потеря короткой памяти — помня все до убийства, он не помнит, что было 15 минут назад.

Партнер показа: «Иноекино»",1762,32,0,karoartcinema
14260,2026-05-26T14:26:54+00:00,"«Капернаум» — один из самых важных арабских фильмов. О чем эта картина и как проходили съемки рассказывает киновед Алиса Мамедова __→__

Вместе с Алисой смотрим «Капернаум» [3 июня в киноцентре «Октябрь»](https://karofilm.ru/film/15813?date=2026-06-03) 👀",1402,25,0,karoartcinema
14250,2026-05-25T16:50:14+00:00,"**А вот и фото с премьеры «Колонии» Ен Сан Хо **🧟

Вчера мы одними из первых в мире увидели новый фильм режиссера, а после поговорили со зрителями и киноведом Александром Симиндейкиным (автором канала «вкус зеленого чая»). Делимся фотографиями! Ищите себя [на снимках](https://vk.com/album-21223260_311080992) Ксении Угольниковой и Елены Ефремовой 💙

[«Колония»](https://karofilm.ru/film/16157) выходит в прокат уже 18 июня!",1287,5,0,karoartcinema
14244,2026-05-25T11:20:57+00:00,"**На этой неделе в КАРО/АРТ

**[**«Майкл»**](https://karofilm.ru/film/16106?date=2026-05-25)
Премьера байопика о короле поп-музыки Майкле Джексоне. После показа — разговор с ведущей радио «Серебряный дождь» Мари Армас.

[**«Беспечный возраст»**](https://karofilm.ru/film/15782?date=2026-05-30)
Премьера комедийной драмы о взрослении из программы кинофестиваля в Торонто с Одессой Эзайон в главной роли.

[**«Ночь»**](https://karofilm.ru/film/15808?date=2026-05-25)
Драма Микеланджело Антониони о браке, одиночестве и невозможности подлинного общения.

[**«Сад изящных слов»**](https://karofilm.ru/film/15783?date=2026-05-26)
Пронзительная визуальная поэма об одиночестве и красоте мимолетных встреч от Макото Синкая. 

[**«Бесы»**](https://karofilm.ru/film/16001?date=2026-05-31)
Киноверсия постановки новосибирского театра «Красный факел» по одноименному роману Федора Достоевского.

📽️",1317,6,1,karoartcinema
14235,2026-05-24T15:27:22+00:00,"**Персонажные постеры драмы «День рождения»** 👀

Картина о власти, любви и свободе была представлена на кинофестивале в Локарно. В главной роли — Уиллем Дефо, Виктория Кармен Сонне, Джо Коул и Эмма Суарес. 

3 июня премьера [«Дня рождения»](https://karofilm.ru/film/16136?date=2026-06-03) в Москве и Краснодаре пройдет в рамках проекта КАРО/АРТ. После показа со зрителями встретятся кинокритик Кирилл Артамонов (Москва) и киновед Кира Кац (Краснодар).",1336,12,1,karoartcinema
