id,date,text,views,forwards,replies,channel_short
12618,2026-06-01T18:12:42+00:00,"Нет возможности побывать в Новой Зеландии и осмотреть места, где проходили съемки «Властелина колец»? Не волнуйтесь!

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",25,1,,kinostro4ka
12614,2026-06-01T17:04:50+00:00,"Тизер и пара постеров фантастической ленты Стивена Спилберга **День разоблачения (Disclosure Day)**.

Сюжет повествует о контакте с человечества с инопланетянами. 

Премьера - лето 2026 год

Ждем 👍
НЕ ждем 🙈

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",26,1,,kinostro4ka
12604,2026-06-01T16:23:15+00:00,"**ЧТО БУДЕМ СМОТРЕТЬ В ИЮНЕ:**

🏄‍♂️ Фильм «**Хокум**» // Цифровой релиз — 2 июня

🏄‍♂️ Фильм «**Грязные деньги**» // Цифровой релиз — 2 июня

🏄‍♂️ Мультсериал «**Легенда о Vox Machina**» // 4 сезон — 3 июня

🏄‍♂️ Сериал «**Мыс страха**» // 1 сезон — 5 июня

🏄‍♂️ Мультсериал «**Мои приключения с Суперменом**» // 3 сезон — 13 июня

🏄‍♂️ Сериал «**Шугар**» // 2 сезон — 19 июня

🏄‍♂️ Сериал «**Агентство**» // 2 сезон — 21 июня

🏄‍♂️ Сериал «**Дом Дракона**» // 3 сезон — 22 июня

🏄‍♂️ Сериал «**Аватар: Легенда об Аанге**» // 2 сезон — 25 июня

🏄‍♂️ Сериал «**Медведь**» // 5 сезон — 26 июня

😈[ **@kinostro4ka**](https://t.me/+z-hmp7BtE10wMmJi)

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",18,1,,kinostro4ka
12600,2026-06-01T15:02:52+00:00,"Тизер и пара постеров экшн-хоррора **Колония (Gunche) (Colony)**.

Группа выживших после глобального зомби-апокалипсиса - укрывается в многоквартирном доме. 

Режиссер: Ëн сан-хо (""Поезд в Пусан 1-2"") 

Премьера в России - 18 июня

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",24,1,,kinostro4ka
12599,2026-06-01T15:00:40+00:00,"💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",28,1,,kinostro4ka
12591,2026-06-01T15:00:37+00:00,"Топ лучших чёрных комедий.

В этих фильмах юмор возникает в ситуациях, когда смеяться неуместно, только культовые произведения:

1. «Догма» (1999)
2. «Семь психопатов» (2012)
3. «Жмурки» (2005)
4. «Клерки» (1994)
5. «Святые из Бундока» (1999)
6. «Залечь на дно в Брюгге» (2007)
7. «Криминальное чтиво» (1994)
8. «Большой Лебовски» (1998)
9. «Джей и Молчаливый Боб наносят ответный удар» (2001)

Сохраняйте и делитесь с друзьями.

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub

**💓 Смотрите сами:** [Проверьте, как правильно настроить рекламный бюджет для вашего канала! 📊🔍](https://insidead.ru/+kLRr8d) | [InsideAds](https://t.me/InsideAds_bot/openRU?startapp=r_-1001504856846_utm_source-insideadsInternal-utm_medium-signTeaser-utm_campaign-default)",17,1,,kinostro4ka
12588,2026-06-01T13:03:20+00:00,"Кадры из приключенческого триллера **Вышка 2 (Fall 2)**

Первый фильм вышел в 2022 году и собрал $22 млн при бюджете в $3 млн. Лента рассказывала о двух девушках-скалолазах, которые залезли на заброшенную радиовышку и застряли на ней. 

Сюжет сиквела: Пара альпинистов оказывается отрезана от мира на огромной высоте после сошедшего оползня. 

Премьера - 2 сентября

Крутяк. Ждем 👍
НЕ ждем 🤡
Не смотрел первый 🍌

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",25,1,,kinostro4ka
12587,2026-06-01T12:47:17+00:00,"Выяснилось, что во время съемок «Проекта „Конец света“» дочери Райана Гослинга, Эсмеральда и Амада, порой общались с актером вместо Рокки:

«В некоторых сценах фильма я смеюсь или просто восхищен Рокки. На самом деле это мои дети разговаривают со мной и поддерживают меня».

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",27,1,,kinostro4ka
12586,2026-06-01T11:04:54+00:00,"Конфликт между Томом Харди и одним из создателей «Гангстерленда» пытаются уладить — возвращение актёра в третьем сезоне ещё может случиться.

Как сообщает Variety, во время съёмок второго сезона у Харди возникали конфликты: актёр спорил из-за сценария, опаздывал на площадку и тормозил производственный процесс. 

Но при этом стало известно, что сценарий постоянно переписывали в последний момент, а шоураннер Джез Баттеруорт редко появлялся на съёмках.

Производство третьего сезона планируют начать этой осенью.

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",30,1,,kinostro4ka
12585,2026-06-01T10:09:19+00:00,"Если бы «Пацаны» были созданы в 90-х.

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",30,1,,kinostro4ka
