id,date,text,views,forwards,replies,channel_short
108512,2026-06-02T06:00:03+00:00,"📰 **Эксклюзивные материалы свежего номера газеты «Коммерсантъ»:**

🔵 Гендиректор «Арнест ЮниРусь» (бывшее подразделение Unilever в РФ) Елена Тябутова [в интервью «Ъ» раскрыла](https://www.kommersant.ru/doc/8708955?tg) детали приобретения российских активов Avon.

🔵 Средний чек на покупку цветов в России за год [вырос только на 2,4%.](https://www.kommersant.ru/doc/8709116?tg)

🔵 В мае [было выставлено](https://www.kommersant.ru/doc/8709156?tg) на продажу банковских долгов почти на 30 млрд руб.

🔵 Экспорт российского угля [подорожал](https://www.kommersant.ru/doc/8709039?tg) почти на 10% за неделю из-за спроса в Азии.

🔵 Программисты [столкнулись с проблемами](https://www.kommersant.ru/doc/8709060?tg) в разработке из-за ограничений VPN-трафика.

🔵 84% российских мобильных приложений [имеют критические уязвимости.](https://www.kommersant.ru/doc/8709035?tg)

🔵 Воспитывавшие участников СВО пожаловались [на отсутствие выплаты](https://www.kommersant.ru/doc/8708981?tg) после их гибели.

🔵 [По данным «Ъ»,](https://www.kommersant.ru/doc/8708982?tg) на внутреннем рынке наблюдались проблемы с предложением авиатоплива, а оптовые цены достигали 110 тыс. руб. за тонну. 

👉 __Читайте другие эксклюзивные заметки __[__на сайте «Ъ». __](https://www.kommersant.ru/daily/166385?tg)

#Ъузнал",1244,0,,kommersant
108511,2026-06-02T05:52:19+00:00,"**Минобороны РФ сообщило о массированном ударе сегодня ночью по предприятиям ОПК** в Киеве, Запорожье, Харькове и Днепропетровске, а также в Полтавской, Хмельницкой и Сумской областях, объектам топливной, транспортной инфраструктуры Украины, используемым в интересах ВСУ, и военным аэродромам. В ведомстве заявили, что удар был нанесен в ответ на террористические акты киевского режима.

Уточняется, что в ходе массированного удара по целям на Украине применено оружие большой дальности, в том числе гиперзвуковые аэробаллистические ракеты.

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",2676,10,,kommersant
108510,2026-06-02T05:35:34+00:00,"🗞🗞🗞🗞 **Средний чек на покупку цветов в России за январь—май вырос только на 2,4% год к году: **россияне тратили на приобретение цветов в среднем 4,1 тыс. руб. [Покупатели экономят,](https://www.kommersant.ru/doc/8709116?tg) все чаще отдавая предпочтение менее пышным букетам. 

В натуральном выражении продажи срезанных цветов в январе—мае вовсе сократились на 5% год к году. Управляющий центра Panin Plants Владимир Панин говорит, что на рынок в целом влияет ограниченная покупательная способность. Вторым фактором, по его мнению, могли стать перебои с поставками свежесрезанных цветов из Кении. 

В ближайшее время рынок может столкнуться с дополнительными сложностями из-за введенных в мае Россельхознадзором ограничений на импорт цветов из Армении.

Охлаждение спроса сказалось и на рознице. 57% владельцев цветочных магазинов не планируют в этом году расширять свой бизнес. Главными сложностями предприниматели называли высокую конкуренцию на рынке, наем флористов и трудности с закупкой цветов.

#Ъузнал",4190,21,,kommersant
108509,2026-06-02T05:22:26+00:00,"«То, что хотел сказать Владимир Путин, уложилось в пару фраз в конце»

Кремлевская пресс-служба до позднего вечера не раскрывала тему совещания и состав участников. 

Когда оно началось, выяснилось, что участие принимают генпрокурор Александр Гуцан, зампред правительства Татьяна Голикова, глава Следственного комитета Александр Бастрыкин, глава ЛНР Леонид Пасечник, глава Старобельского муниципального округа Владимир Чернев.

📰 **Как Владимир Путин высказался по поводу происшедшего в Старобельске — **[**в репортаже**](https://www.kommersant.ru/doc/8709270?tg)** специального корреспондента «Ъ» Андрея Колесникова.  **

__📷____ пресс-служба президента РФ__

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",5936,0,,kommersant
108508,2026-06-02T04:56:47+00:00,"❗️ **ФСБ сообщила о выявлении масштабной схемы по внедрению шпионского ПО иностранными спецслужбами на мобильную технику высокопоставленных чиновников РФ. **

По данным ведомства, информацию со смартфонов высокопоставленных российских служащих снимали с помощью возможностей крупных международных IT-корпораций. 

Как заявили в ФСБ, вредоносное ПО позволяло прослушивать переговоры и вести негласный контроль вблизи устройств. Представители Центра общественных связей ФСБ России отмечают, что западные спецслужбы намеренно делали ставку на технологические методы сбора данных, считая их более эффективными и дешевыми по сравнению с вербовкой информаторов. 

«Сбор данных о контактах, планах и настроениях в обществе планировали осуществить напрямую, без посредников»,— считают в ФСБ. 

Также фиксируется устойчивая закономерность: после взлома устройств и сбора компромата жертвы слежки системно попадают в санкционные списки США и Евросоюза, а затем становятся объектами для давления.

В ведомстве подчеркнули, что обсуждение конфиденциальной информации по мобильным средствам связи и вблизи них __«недопустимо, так как содержание ваших переговоров может стать известно третьим лицам и повлечь наступление необратимых последствий».__

**Подробности — **[**в материале «Ъ».  **](https://www.kommersant.ru/doc/8709173?tg)

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",8393,149,,kommersant
108507,2026-06-02T04:31:44+00:00,"🗞🗞🗞🗞 **​​Активный спрос азиатских импортеров стимулирует рост цен на энергетический уголь из России:** за неделю в мае [котировки подскочили](https://www.kommersant.ru/doc/8709039?tg) на 8–9%, и топливо высокой калорийности подорожало до максимума с конца 2024 года. 

Участники рынка, впрочем, отмечают, что рост мировых цен на уголь вовсе не означает улучшения положения в угольной отрасли, прежде всего из-за чрезмерно крепкого рубля. Собеседник «Ъ» добавляет, что затраты на производство и поставку номинированы в рублях. Дополнительное давление оказывает рост себестоимости, серьезно выросли и логистические затраты.

В результате, по словам источника «Ъ», значительная часть поставок остается низкорентабельной или убыточной.

#Ъузнал",8695,21,,kommersant
108506,2026-06-02T04:21:56+00:00,"Силы ПВО сбили за ночь **148 беспилотников** над регионами России, сообщили в Минобороны.

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",8076,4,,kommersant
108505,2026-06-02T04:01:01+00:00,"**⛅️**** Главные новости к утру**

🔸 МИД России [назвал](https://www.kommersant.ru/doc/8709217?tg) задержание танкера Tagor примером правового нигилизма.

🔸 Президент Сербии Александр Вучич [пообещал немедленно отменить](https://www.kommersant.ru/doc/8709225?tg) любое решение о введении виз для россиян.

🔸 Дональд Трамп во время телефонного разговора [назвал](https://www.kommersant.ru/doc/8709223?tg) Биньямина Нетаньяху сумасшедшим и обвинил в неблагодарности из-за ударов по Ливану.

🔸 Евросоюз [намерен ужесточить](https://www.kommersant.ru/doc/8709233?tg) миграционную политику.

🔸 Владимир Путин [присудил](https://www.kommersant.ru/doc/8709224?tg) гранты 103 проектам в области культуры и искусства.

🔸 Генпрокуратура [подала новый иск](https://www.kommersant.ru/doc/8709227?tg) к основателю «Русагро» Вадиму Мошковичу.

🔸 В Краснодарском крае [произошло возгорание](https://www.kommersant.ru/doc/8709238?tg) на НПЗ после атаки БПЛА. В Курской области при атаке дрона [погиб](https://www.kommersant.ru/doc/8709222?tg) мирный житель.

#главноекутру",9029,16,,kommersant
108504,2026-06-02T03:41:01+00:00,"**Евросоюз намерен ужесточить миграционную политику**

Представители Европарламента, Европейской комиссии и Совета ЕС 1 июня утвердили текст соглашения, которое регламентирует ускорение процесса депортаций из ЕС и увеличение их количества, а также позволяет депортировать мигрантов в специальные центры за пределами блока.

[Как сообщает Politico](https://www.kommersant.ru/doc/8709233?tg), соглашению предстоит ратификация в Европарламенте и Совете ЕС, а новые правила должны стать частью масштабной миграционной реформы, вступающей в силу с 12 июня.

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",8816,16,,kommersant
108503,2026-06-02T03:08:03+00:00,"**84% российских мобильных приложений имеют критические уязвимости**, [выяснил «Ъ». ](https://www.kommersant.ru/doc/8709035?tg)

Эксперты по кибербезопасности обнаружили 48,8 тыс. уязвимостей в популярных мобильных приложениях российских разработчиков за 2025 год, что на 63% больше показателя годом ранее. При этом количество критических угроз составило более 19 тыс.

Этому способствует увеличение объемов использования ИИ-сгенерированного кода в разработке, который тиражирует ошибки и небезопасные паттерны хранения чувствительных данных.

📡 [Сети меняются. Мы следим. Подписывайтесь](https://t.me/+SkQgmXpzMqFjZjli).",9380,60,,kommersant
