id,date,text,views,forwards,replies,channel_short
143060,2026-06-02T06:01:01+00:00,"**Внимание, загадка от спецкора «Медузы» Андрея Перцева! Почему КПРФ не отправит на выборы в округах политиков, которые точно победят?**

На выборы в округа от коммунистов не попадут несколько самых сильных и любимых электоратом политиков в партии. Например, депутат Госдумы от Коми Олег Михайлов и парламентарий от Якутии Петр Аммосов.

Это происходит не впервые: на выборах 2021-го коммунисты не стали выдвигать по округам популярного бурятского политика Вячеслава Мархаева и бывшего иркутского губернатора Сергея Левченко.

Рассказываем, почему КПРФ проводит контринтуитивную политику перед осенними выборами.

Открыть [с VPN](https://meduza.io/feature/2026/06/02/vnimanie-zagadka-ot-spetskora-meduzy-andreya-pertseva?utm_source=tg_live&utm_medium=post_ru) | [без VPN](https://bit.ly/meduzamirror#/feature/2026/06/02/vnimanie-zagadka-ot-spetskora-meduzy-andreya-pertseva?utm_source=tg_live&utm_medium=post_ru)

@meduzalive",10424,2,,meduzalive
143059,2026-06-02T05:35:25+00:00,"**На Кубани атакован Ильский НПЗ — уже в 16-й раз с начала войны**

__Внимание. В видео есть мат.__

На Ильском нефтеперерабатывающем заводе в Краснодарском крае — одном из крупнейших на юге России — произошел пожар из-за атаки дрона Украины, сообщил краевой оперативный штаб.

По предварительным данным, никто не ранен.

Как сообщает Astra, этот нефтезавод атаковали уже в 16-й раз с начала полномасштабной войны.

Видео: [Astra](https://t.me/astrapress/114409)

@meduzalive",32569,75,,meduzalive
143054,2026-06-02T05:26:24+00:00,"**Киев и Днепр после удара России. Фотографии**

В Киеве в результате удара России повреждены жилые дома. По последним [данным](https://bit.ly/meduzamirror#/news/2026/06/02/rossiya-udarila-po-kievu-i-dnepru-dronami-i-raketami-pogibli-ne-menee-10-chelovek?utm_source=tg_live&utm_medium=post_ru), четверо погибших, 58 раненых.

В Днепре — шестеро погибших в результате ночной атаки России. Один из них — спасатель, прибывший на место и попавший под повторный удар. Повреждения получили жилые дома, предприятие и пожарно-спасательная часть.

На фото — последствия удара по Киеву (первые три кадра) и Днепру (оставшиеся два).

Фото: Государственная служба по чрезвычайным ситуациям Украины

@meduzalive",39956,72,,meduzalive
143053,2026-06-02T05:05:07+00:00,"**❗️Массированный удар по Украине. Что известно**

✹ Вооруженные силы РФ в ночь на 2 июня нанесли масштабный удар по Украине, применив 73 ракеты и 656 беспилотников. Основной целью удара стал Киев. В разных райнах Киева разрушены жилые дома, под завалами могут быть люди.

✹ В Киеве, по данным на момент публикации, в результате удара погибли четыре человека, ранения получили 58 человек.

✹ В Днепропетровской области погибли шесть человек, ранены 36. В Днепре после удара разрушено 49 зданий, в том числе многоквартирные дома. Повреждены предприятие и пожарная часть. Несколько человек не выходят на связь.

✹ В Харьковсой области в результате атаки ранены 14 человек, включая ребенка. Повреждены многоквартирные дома. 

На фото: карта движения российских ракет и дронов в Украине этой ночью.

@meduzalive",60497,199,,meduzalive
143052,2026-06-01T21:08:01+00:00,"**Главные новости 1 июня**

✹ Путин [заявил](https://bit.ly/meduzamirror#/news/2026/06/01/putin-zayavil-chto-atakoy-na-starobelsk-ukraina-pridala-novoe-kachestvo-vsey-voyne-zelenskiy-preduprezhdaet-chto-moskva-gotovit-massirovannyy-udar?utm_source=tg_live&utm_medium=post_ru), что атакой на Старобельск Украина придала «новое качество» всей войне. Зеленский предупреждает, что Москва готовит массированный удар

✹ Центробанк и Минфин [предупредили](https://bit.ly/meduzamirror#/news/2026/06/01/tsentrobank-i-minfin-predupredili-putina-chto-voennye-rashody-neposilny-dlya-rossiyskogo-byudzheta?utm_source=tg_live&utm_medium=post_ru) Путина, что военные расходы непосильны для российского бюджета

✹ Пашинян [отказался](https://bit.ly/meduzamirror#/news/2026/06/01/pashinyan-otkazalsya-provodit-v-armenii-referendum-o-vybore-mezhdu-evropeyskim-i-evraziyskim-soyuzami-etogo-trebovali-rossiya-belarus-kazahstan-i-kyrgyzstan?utm_source=tg_live&utm_medium=post_ru) проводить в Армении референдум о выборе между ЕС и Евразийским союзом. Этого требовали Россия, Беларусь, Казахстан и Кыргызстан

✹ Россия впервые [запретила](https://bit.ly/meduzamirror#/news/2026/06/01/rossiya-vpervye-zapretila-eksport-aviatsionnogo-kerosina?utm_source=tg_live&utm_medium=post_ru) экспорт авиационного керосина

✹ ИИ-гигант Anthropic [подал](https://bit.ly/meduzamirror#/news/2026/06/01/ii-gigant-anthropic-podal-zayavku-na-ipo-to-zhe-samoe-planiruet-sdelat-ego-glavnyy-konkurent-openai?utm_source=tg_live&utm_medium=post_ru) заявку на IPO. То же самое планирует сделать его главный конкурент OpenAI

[Текст дня](https://bit.ly/meduzamirror#/feature/2026/06/01/naskolko-uspeshna-borba-vlastey-s-vpn-i-chem-ona-zakonchitsya?utm_source=tg_live&utm_medium=post_ru): Насколько успешна борьба властей с VPN? И чем она закончится? Объясняет Мария Коломыченко (Carnegie Politika)

@meduzalive",125119,80,,meduzalive
143051,2026-06-01T21:04:59+00:00,"**Крупнейшие сети заправок Крыма **[**перестали**](https://bit.ly/meduzamirror#/news/2026/06/01/krupneyshie-seti-zapravok-kryma-perestali-prodavat-talony-na-benzin-na-poluostrove-toplivnyy-krizis?utm_source=tg_live&utm_medium=post_ru)** продавать талоны на бензин**

Компании «ТЭС» и «АТАН», которые располагают крупнейшими сетями АЗС в аннексированном Крыму, остановили продажу талонов на бензин на фоне [топливного кризиса](https://meduza.io/feature/2026/06/01/voyna).

C 31 мая в Крыму ввели временные ограничения на продажу бензина АИ-95 и АИ-92. АИ-95 начали отпускать только по талонам, АИ-92 — без талонов, но не больше 20 литров на одно транспортное средство. Похожие ограничения начали действовать и в Севастополе.

@meduzalive",118873,75,,meduzalive
143049,2026-06-01T20:14:57+00:00,"**Трамп **[**заявил**](https://bit.ly/meduzamirror#/news/2026/06/01/tramp-zayavil-o-prodolzhenii-kontaktov-s-iranom-ranee-tegeran-ostanovil-peregovory-iz-za-eskalatsii-mezhdu-izrailem-i-livanom?utm_source=tg_live&utm_medium=post_ru)** о продолжении диалога с Ираном. Ранее Тегеран остановил переговоры из-за эскалации между Израилем и Ливаном
**
Президент США Дональд Трамп заявил, что договорился с Израилем и Ливаном о прекращении взаимных атак и таким образом обеспечил продолжение переговоров с Ираном.

«Переговоры с Исламской Республикой продолжаются быстрыми темпами», — подчеркнул Трамп в соцсети Truth Social. Иранская сторона публично не подтвердила продолжение контактов.

Днем 1 июня иранское государственное агентство Tasnim сообщило, что Иран приостановит обмен сообщениями с США в связи с ударами Израиля по Ливану, где находятся объекты проиранской террористической группировки «Хизбалла». 

@meduzalive",141094,41,,meduzalive
143048,2026-06-01T19:48:07+00:00,"**Путин **[**заявил**](https://bit.ly/meduzamirror#/news/2026/06/01/putin-zayavil-chto-atakoy-na-starobelsk-ukraina-pridala-novoe-kachestvo-vsey-voyne-zelenskiy-preduprezhdaet-chto-moskva-gotovit-massirovannyy-udar?utm_source=tg_live&utm_medium=post_ru)**, что атакой на Старобельск Украина придала «новое качество» всей войне. Зеленский предупреждает, что Москва готовит массированный удар**

Президент России Владимир Путин провел совещание в связи с расследованием украинского удара по зданию колледжа в Старобельске.

«Похоже, что сознательно — именно сознательно — совершая тяжелейшее преступление против детей, подростков, в педагогическом колледже в Старобельске… киевская верхушка решила открыть новую страницу в череде своих преступлений, придать новое качество конфликту в целом», — заявил Путин и добавил: «Ну что ж, это их выбор».

Президент Украины Владимир Зеленский c 29 мая предупреждает украинцев о возможности массированного удара России. Он повторил это предупреждение и в вечернем обращении 1 июня: «Массированный удар может быть. Они его подготовили. Наши защитники неба готовы 24/7 настолько, насколько это возможно с имеющимися поставками».

@meduzalive",126183,145,,meduzalive
143047,2026-06-01T18:49:33+00:00,"**«Коммерсант» назвал Константина Эрнста потерпевшим по делу о подделке работ Эрнста Неизвестного. А потом **[**удалил**](https://bit.ly/meduzamirror#/news/2026/06/01/konstantin-ernst-priznan-poterpevshim-po-ugolovnomu-delu-o-poddelke-rabot-ernsta-neizvestnogo?utm_source=tg_live&utm_medium=post_ru)** эту информацию
**
Генеральный директор «Первого канала» Константин Эрнст проходит потерпевшим по уголовному делу о подделке работ скульптора и графика Эрнста Неизвестного. Об этом «Коммерсанту» рассказали два источника на арт-рынке и подтвердил источник в Третьяковской галерее.

Подделки были обнаружены на выставке к 100-летию Эрнста Неизвестного, которая проходила в Новой Третьяковке с 16 декабря 2025 года по 12 мая 2026 года, рассказал один из собеседников «Коммерсанта».

«Выставку Неизвестно к его 100-летию лоббировал Константин Львович Эрнст. Он очень крупный собиратель графики и [работ художников-]нонконформистов, [к которым относят и Неизвестного]. Третьяковка приняла его работы как оригинальные», — сказал источник.

СК сообщил об уголовном деле в связи с подделкой работ Эрнста Неизвестного 29 мая. Обвиняемым по нему проходит замначальника штаба Северного флота ВМФ России капитан 2-го ранга Максим Кошкарев. По версии следствия, он и его сообщники (они пока не установлены) подделали не меньше 30 работ Эрнста Неизвестного и продавали их частным коллекционерам.

———

**Обновлено**. «Коммерсант» удалил из статьи информацию о том, что Константин Эрнст признан потерпевшим. Теперь газета пишет, что Эрнст не фигурирует в деле «ни в каком качестве». Среди потерпевших по делу «Коммерсант» называет основательницу галереи «Веллум» Любовь Агафонову, директора аукционного дома «Первые имена» Розу Верховину и исполнительного директора Prometheus Art Foundation Вячеслава Ершова. 

@meduzalive",135074,195,,meduzalive
143046,2026-06-01T18:07:54+00:00,"**ИИ-гигант Anthropic **[**подал**](https://meduza.io/news/2026/06/01/ii-gigant-anthropic-podal-zayavku-na-ipo-to-zhe-samoe-planiruet-sdelat-ego-glavnyy-konkurent-openai?utm_source=tg_live&utm_medium=post_ru)** заявку на IPO**

Anthropic — компания-создатель модели искусственного интеллекта Сlaude — не назвала сроки и масштабы IPO, заявив, что это будет зависеть от «рыночной конъюнктуры и других факторов». The New York Times предполагает, что выход на биржу может состояться уже этой осенью.

Подав заявку на IPO, Anthropic опередила своего главного конкурента — OpenAI, создателя чат-бота ChatGPT, который тоже планирует выход на биржу. Та из двух компаний, которая первой выйдет на IPO, наверняка покажет лучшие результаты в гонке за финансированием, отмечает NBC News.

Кроме того, в конце июня состоится IPO компании SpaceX Илона Маска, которая считается еще одним гигантом в сфере ИИ. IPO Anthropic, OpenAI и SpaceX могут стать одними из крупнейших в истории.

@meduzalive",134705,294,,meduzalive
