id,date,text,views,forwards,replies,channel_short
15014,2026-06-02T06:02:31+00:00,"👶🏻 **Здоровье человека формируется с детства**

Именно в юном возрасте закладываются привычки, которые в дальнейшем влияют на физическое состояние, уровень энергии и общее самочувствие.

💪 Если здоровый образ жизни становятся нормой в детстве, то в старшем возрасте мы начинаем следовать ему не потому что «так надо», а потому что забота о себе становится базовой потребностью.

Мы подготовили карточки, в которых наглядно показали, как маленькие шаги в детстве становятся фундаментом здоровых привычек в старшем возрасте.

💬 [Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)",235,5,5,minzdrav_ru
15011,2026-06-01T16:45:17+00:00,"🏥 **Михаил Мурашко: Бесплатным лекобеспечением охвачены свыше 3 млн. человек, перенесших сосудистые катастрофы**

Об этом министр здравоохранения РФ Михаил Мурашко сообщил на ежегодной сессии НМИЦ сердечно-сосудистой хирургии им. А.Н. Бакулева Минздрава России, посвященной 70-летию центра.

Министр отметил, что изменения, происходящие сегодня в отрасли здравоохранения, в том числе в сердечно-сосудистой хирургии, носят масштабный характер. 

➡️ Завершившийся нацпроект «Здравоохранение» сформировал систему медицинской помощи, доступной для граждан нашей страны независимо от места их проживания. Новый нацпроект «Продолжительная и активная жизнь» строится на основе результатов и инициатив, доказавших свою эффективность.

__— Нацпроект «Продолжительная активная жизнь» включает лекарственное обеспечение всех пациентов, перенесших сосудистые катастрофы, а это уже более 3 млн человек. Сегодня на терапии находится почти один миллион человек. Хочу отметить, что этот проект в Народной программе «Единая Россия» занимает главенствующее место, поскольку именно он дал возможность снизить летальность от повторных инфарктов, инсультов и обеспечить комфортную реабилитацию пациентов, перенёсших сосудистую катастрофу, — сказал он.__

↪️ Он добавил, что сегодня по поручению Президента реализуется программа по модернизации и внедрению новых технологий в работу федеральных центров.

Также в рамках нацпроекта «Продолжительная и активная жизнь» создается сеть центров, которые проводят диагностику с помощью радиофармпрепаратов, включая поставку оборудования для ПЭТ/КТ, циклотронов. 

__— В НМИЦ сердечно-сосудистой хирургии им. А.Н. Бакулева Минздрава России также идёт создание циклотронного комплекса, который создаст новые возможности для диагностики заболеваний, — уточил министр.__

📌 Михаил Мурашко подчеркнул, что программа государственных гарантий не отстает от темпов развития материально-технической базы.  

__— В прошлом году более 60 млрд рублей было дополнительно направлено на оказание медицинской помощи. В первую очередь, это были пациенты с сердечно-сосудистыми заболеваниями, — сказал министр.

__💬 [Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)

#СетьНМИЦев",874,5,4,minzdrav_ru
15005,2026-06-01T14:10:16+00:00,"🏥 **Михаил Мурашко поздравил сотрудников НМИЦ сердечно-сосудистой хирургии им. А.Н. Бакулева Минздрава России с 70-летием Центра**

Министр здравоохранения РФ Михаил Мурашко вместе с Председателем Совета Федерации Валентиной Матвиенко вручил коллективу центра Орден Пирогова.

➡️ Также гости вручили государственные награды сотрудникам центра и посетили клинические подразделения медучреждения, пообщались с пациентами и сотрудниками детских клинических подразделений, ознакомились с выставкой медицинских изделий, разработанных и изготавливаемых в центре им. Бакулева.

Михаил Мурашко отметил, что сегодня в России действует 846 сосудистых центров. 

📌 Также помощь детскому населению с врожденными пороками сердца оказывается в 83 центрах страны, из них для детей первого года жизни — 33 медорганизации, для новорожденных — 31.

__— В НМИЦ сердечно-сосудистой хирургии им. А. Н. Бакулева Минздрава России в 2025 году получили хирургическую помощь более 930 новорожденных детей, — сказал министр.__

Также министр сообщил, что в детском реабилитационном центре на базе НМИЦ сердечно-сосудистой хирургии им. А. Н. Бакулева Минздрава России ежегодно более 2 тыс. маленьких пациентов проходят восстановительное лечение.

➡️ В подразделении разрабатываются и внедряются такие уникальные методики, как тренировки на аква-велотренажере, доказавшие свою эффективность в повышении физической работоспособности и адаптации к гипоксии.

Важно, что в НМИЦ сердечно-сосудистой хирургии им. А. Н. Бакулева Минздрава России проводятся диагностика и лечение всего спектра патологий сердечно-сосудистой системы у пациентов любого возраста: врожденных и приобретенных пороков сердца, ишемической болезни сердца, аритмий, сердечной недостаточности, сосудистых заболеваний и множества других.

__— Ежегодно через консультативно-диагностический блок проходит более 65 тыс. человек, 25 тыс. пациентов получают лечение в стационарном отделении, 17,5 тыс. пациентам оказывают хирургическое лечение, из них 5 тыс. — это операции на открытом сердце, — сообщил Михаил Мурашко. __

↪️ Министр подчеркнул, что НМИЦ сердечно-сосудистой хирургии им. А. Н. Бакулева Минздрава России  — это не только ведущее медучреждение по сердечно-сосудистой хирургии, но и научно-образовательный центр, а также база для проведения телемедицинских консультаций.

__— За последние 6 лет в 70 раз увеличилось количество телемедицинских консультаций с федеральными центрами, — сказал глава Минздрава России. __

Он отметил методологическую роль федерального центра Минздрава России в области сердечно-сосудистой хирургии.

__— Специалисты центра приняли участие в разработке более 40 клинических рекомендаций. Эти клинические рекомендации позволили нам с 2026 года перейти к новому формату диагностики и ведения пациентов. Мы сегодня погрузили в программу государственных гарантий раннюю диагностику дислипидемий, врожденных дислипидемий, — сказал министр. __

✅ Помимо лекарственной терапии, активно внедряются сорбционные методы лечения пациентов с такими патологиями. Для этой категории граждан также предусмотрены отдельные тарифы на оказание медицинской помощи.

__— Все это позволяет избежать ранних сосудистых катастроф, которые встречаются у молодых людей трудоспособного возраста 40-50 лет, — сказал он.__

Министр подчеркнул, что в целом все принятые меры принесли ощутимые результаты.

__— В сфере сердечно-сосудистой хирургии малоинвазивные вмешательства с сосудистым доступом выросли только за последние пять лет на более чем 60%. Также за последние шесть лет в целом по стране снизились показатели смертности на 23%. Это, конечно, заслуга, в том числе и сотрудников центра, — заключил он.__

#ЗдоровьеДетей
#СетьНМИЦев",791,6,3,minzdrav_ru
14998,2026-06-01T13:03:43+00:00,"👦 #ПростыеПравила: **Как защитить ребенка от падения из окна в летний период?
**
Об этом рассказал заведующий отделением травматологии и ортопедии Российской детской клинической больницы Минздрава России Александр Саутенко.

__— С наступлением жаркой погоды возрастает риск тяжелых травм у детей, связанных с падением из окон. Маленькие дети активно исследуют пространство, при этом еще не способны оценивать высоту и риск падения, — рассказал эксперт.
__
 Наиболее уязвимы дети младшего возраста — примерно от 1,5 до 7 лет: они уже достаточно активны, но еще не понимают опасности высоты.

❗️ **Как обезопасить ребенка:**

 ▫️ Установить защитные механизмы на окна;
 ▫️ Убрать мебель от подоконников, чтобы ребенок не мог забраться наверх;
 ▫️ Отказаться от открытия окна нараспашку, если в комнате находится маленький ребенок;
 ▫️ Обеспечить постоянный контроль за ребенком в помещении с открытым окном.

Подробнее об этом смотрите в наших карточках 📲

О полезных привычках смотрите  на сайте [ТакЗдорово](https://www.takzdorovo.ru/)

**1 июня — Международный день защиты детей

**💬[ Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)",1949,16,1,minzdrav_ru
14996,2026-06-01T10:10:31+00:00,"👨‍⚕️ **Врачи Тюменской области спасли пациента с раком легкого благодаря ранней диагностике**

62-летний мужчина обратился в поликлинику по месту жительства с жалобами на длительный кашель, одышку и общую слабость. По словам пациента, он курил более 40 лет.

➡️ В ходе обследования врачи выявили затемнение в верхней доле левого легкого. Медики провели антибактериальную терапию и направили пациента в Многопрофильный клинический медицинский центр ""Медицинский город"". 

В медучреждении специалисты провели компьютерную томографию, а также биопсию участка легочной ткани. Гистологическое исследование подтвердило диагноз — плоскоклеточный рак легкого. Опухоль не вышла за пределы органа, метастазов обнаружено не было.

В ходе малотравматичной операции хирурги через небольшие проколы с помощью камеры удалили пораженный участок легкого в пределах здоровых тканей.

💡 Данный метод позволяет сократить сроки восстановления, снизить болевые ощущения и быстрее вернуться к обычной жизни.

—__ Курил почти всю жизнь, знал, конечно, что вредно, но думал, меня это обойдёт стороной. Пока однажды кашель не стал таким сильным, что ночью спать перестал, — рассказал пациент. —  Врачи нашли опухоль рано, успели прооперировать. Теперь понимаю, везунчик я оказался. Но зачем ждать чуда? Лучше бросить заранее.__

❤️ Операция прошла успешно. Сейчас пациент чувствует себя хорошо, находится в ремиссии и выписан домой под амбулаторное наблюдение.

#МедицинаРегионов

💬[ Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)",1012,7,0,minzdrav_ru
14995,2026-06-01T06:03:11+00:00,"😷** ****#ПростыеПравила****: Как пассивное курение опасно для  здоровья детей**

Об этом рассказала заведующая Консультативно-диагностическим центром Российской детской клинической больницы Минздрава России, педиатр Анна Усачева.

__— У детей не существует безопасного уровня воздействия табачного дыма. Даже если взрослые курят не рядом с ребенком, продукты горения табака сохраняются в помещении, оседают на одежде, волосах и предметах, формируя так называемое остаточное воздействие, — заявила эксперт.__

🚭 Пассивное курение особенно опасно для здоровья детей, так как у них дыхательные пути и слизистая легче воспаляются, а иммунная система только формируется. 

Из-за того, что дети делают вдохи чаще, чем взрослые, их маленький организм получает гораздо больше токсинов на килограмм веса, чем организм взрослого.

📋 Чем пассивное курение опасно для ребенка:

1️⃣ Риск бронхитов и пневмоний повышается на 50–100%, а риск госпитализации — на 30–70%;
2️⃣ Вероятность симптомов астмы и свистящего дыхания вырастает на 20–40%, а при уже имеющейся астме частота обострений увеличивается на 20–50%;
3️⃣ Риск среднего отита выше на 20–60%, что в раннем возрасте может влиять на слух и развитие речи.
4️⃣ К школьному возрасту у ребенка могут ухудшиться показатели работы легких, а во взрослой жизни — повыситься риск хронических бронхолегочных заболеваний.

__— Даже редкое курение в семье создает накопительный эффект. Ребенок подвергается воздействию ежедневно, и ключевую роль играет именно длительность контакта, — подчеркнула Анна Усачева.__

🚨 Наиболее эффективной мерой защиты ребенка остается полный отказ от курения в семье, особенно если дети маленькие или имеют заболевания дыхательной системы.
**
**💬[ Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)",1778,17,0,minzdrav_ru
14994,2026-05-31T16:25:29+00:00,"🧑‍⚕️ **Медсестра из Новгородской области спасла женщину, которая впала в диабетическую кому **

Старшая медицинская сестра Центральной городской клинической больницы Великого Новгорода Ольга Алексеева, возвращаясь домой, увидела женщину без сознания.

Медик почувствовала запах ацетона, характерный при жизнеугрожающем состоянии у людей с диабетом. Как позже выяснилось, женщина забыла вовремя сделать инъекцию инсулина и выпила сладкий напиток.

Старшая медсестра незамедлительно вызвала скорую, оказала первую помощь и до приезда бригады контролировала состояние женщины.

❤️ Все время до приезда бригады скорой медицинской помощи Ольга Алексеева оставалась рядом, а затем сопроводила женщину в больницу.

#МедицинаРегионов

💬[ Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)",1722,5,1,minzdrav_ru
14993,2026-05-31T11:04:54+00:00,"🚭 #ПростыеПравила: **Почему отказ от курения – лучшее решение для вашего здоровья
**
Об этом рассказала руководитель Центра профилактики и контроля потребления табака НМИЦ терапии и профилактической медицины Минздрава России Маринэ Гамбарян.

__– Негативное воздействие табачного дыма и никотина практически на все органы и системы организма начинается с первой выкуренной сигареты, что делает риск рака легкого и инфаркта лишь частью долгосрочных последствий курения, – заявила эксперт. __

📋 **К каким последствиям приводит курение:**

▫️ Даже одна сигарета в день более чем в два раза повышает риск смерти от инфаркта миокарда и инсульта;
▫️ До 80–90% случаев хронической обструктивной болезни легких связаны с курением;
▫️ Курение вызывает рак легкого, полости рта, гортани, пищевода, желудка, поджелудочной железы, мочевого пузыря, почек и шейки матки;
▫️ Курение повышает риск гастрита, язвенной болезни и рефлюкса, а также увеличивает риск развития сахарного диабета 2-го типа на 30–40%;
▫️ У мужчин ухудшается качество сперматозоидов и повышается риск эректильной дисфункции, у женщин снижается фертильность, осложняется течение беременности;
▫️ Ворзрастает риск заболеваний десен и зубов. 

__— После отказа от курения организм начинает восстанавливаться практически сразу. Уже в первые месяцы улучшается дыхание и кровообращение, а в течение года риск сердечно-сосудистой смерти снижается примерно вдвое, — подытожила эксперт.

__**31 мая – Всемирный день без табака**

💬[ Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)",3678,50,4,minzdrav_ru
14992,2026-05-31T06:03:52+00:00,"👨‍⚕️ **Молодой специалист приступил к работе в Республике Тыва**

Новый фельдшер Чамбал Оваадай приступил к работе в фельдшерско-акушерском пункте в селе Тоолайлыг.

➡️ Молодой специалист в 2023 году окончил Республиканский медицинский колледж в Кызыле по специальности «Лечебное дело» и после прошел службу в армии.

__— После службы я хотел вернуться в родной район и продолжить работу по специальности. Когда узнал, что в Тоолайлыге нужен фельдшер, решил, что хочу здесь работать. Здесь моя помощь действительно нужна людям, — рассказал Чамбал Оваадай.__

Сегодня фельдшер ежедневно принимает пациентов, обеспечивая своевременную диагностику и лечение заболеваний. 

❤️‍🩹 Чамбал Оваадай стал участником программы «Земский доктор», которая направлена на поддержку медицинских кадров, переехавших на работу в сельскую местность.

#МедицинаРегионов
#БудущееМедицины

💬[ Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)",1661,2,1,minzdrav_ru
14989,2026-05-30T11:02:22+00:00,"🏥 **Врачи федерального центра Минздрава России спасли 6-летнего мальчика с гигантской опухолью сердца
**
В НМИЦ им. ак. Е.Н. Мешалкина Минздрава России поступил 6-летний пациент из Екатеринбурга. Из-за редчайшей генетической особенности с рождения ему диагностировали фиброму сердца (доброкачественное новообразование).

📌 Обычно такая опухоль не угрожает жизни, но у ребенка она поразила практически весь орган: межжелудочковую перегородку, переднюю стенку правого желудочка и элементы левых отделов сердца.

На этом фоне у мальчика всю жизнь наблюдались нарушения сердечного ритма. Ранее их удавалось контролировать с помощью лекарственной терапии, но затем состояние ребенка ухудшилось. 

➡️ Специалисты НМИЦ им. ак. Е.Н. Мешалкина Минздрава России решили провести сложную операцию. За три часа они удалили большую часть фибромы, обходя проводящую систему сердца, которая генерирует электрические импульсы и заставляет сердечную мышцу сокращаться.

❤️ Вмешательство прошло успешно. Сейчас мальчик чувствует себя хорошо. Врачам удалось уменьшить проявление аритмии и восстановить способность органа ритмично сокращаться и перекачивать кровь.

💬[ Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)

#СетьНМИЦев",1507,4,0,minzdrav_ru
