id,date,text,views,forwards,replies,channel_short
56099,2026-06-02T06:01:50+00:00,"♻️ **На ВДНХ **[**открылась фотовыставка**](https://www.mos.ru/news/item/170757073/)** «Экология в деталях». **Ее героями стали ученые, инспекторы и дендрологи столицы. Гостям напомнят о важности раздельного сбора отходов и заботы о природе. Увидеть экспозицию можно бесплатно до 14 июня включительно.

📍ВДНХ, Центральная аллея",292,5,,mosrutop
56098,2026-06-02T05:00:23+00:00,"⛅️⛅️ Доброе утро! Сегодня в столице будет облачно с прояснениями. Температура воздуха поднимется до +18 °С. 

✅ Подпишитесь на канал «[Город Москва](https://t.me/mosrutop)» — официальные новости столицы здесь.",1135,12,,mosrutop
56097,2026-06-01T16:01:55+00:00,"🎭 **Театр «Школа драматического искусства» и «Мосбилет» **[**приглашают**](https://www.mos.ru/news/item/170745073/)** на специальный вечер, приуроченный к юбилею Михаила Булгакова. **Организаторы расскажут о малоизвестных фактах его биографии.

В программе запланированы [лекция](https://bilet.mos.ru/event/679792257/?) и спектакль «[Таська](https://bilet.mos.ru/event/347960257/?)» о первой жене автора. После показа постановки состоится открытое обсуждение с участием режиссера и артистов. 

📅 11 июня",2782,11,,mosrutop
56093,2026-06-01T15:05:17+00:00,"**Идеальные квартирные компаньоны: **знакомьтесь с небольшими собаками из приютов, которым подойдет жизнь в мегаполисе 🏙

✍️ [Ася](https://pets.mos.ru/priyuty/catalog/1388011/) попала в приют с улицы, где долгое время жила у многоэтажек без своего дома. Первое время она может казаться скромной, но уже скоро тычется носом в руку, чтобы ее погладили, и с удовольствием играет.

✍[️ Альвин](https://pets.mos.ru/priyuty/catalog/1745063/) попал в приют совсем крохой вместе со своими братьями и сестрами. Двум из них уже посчастливилось найти своих мам и пап. А он находится в активном поиске! Альвин активный и жизнерадостный мальчик, которому очень нравится гулять, играть и обниматься. 

✍️ [Юнона](https://pets.mos.ru/priyuty/catalog/2221905/) — вихрь позитива! Эта умная девочка уже знает, что такое поводок, она очень сообразительна и готова следовать за своим человеком хоть на край света. 

#ПушистыйПонедельник",2781,4,,mosrutop
56092,2026-06-01T14:00:26+00:00,"🐭 **Цифровой ассистент «Москва» теперь помогает **[**узнавать результаты ОГЭ и ЕГЭ**](https://www.mos.ru/news/item/170719073/?)**.** Достаточно попросить его показать оценки прямо в чате поддержки на mos.ru или в приложении «Моя Москва».

При необходимости результаты можно отфильтровать по конкретному экзамену. Если данные еще не загружены, ассистент предложит подписаться на уведомления в личном кабинете. Узнать баллы также можно через портал mos.ru или «Московскую электронную школу».",2488,8,,mosrutop
56089,2026-06-01T13:04:15+00:00,"❤️ **Участниками социального проекта «Давай дружить!» **[**стали более 2 тыс. детей**](https://www.mos.ru/news/item/170735073/?)**.** За 5 лет он помог исполнить свыше 285 желаний ребят, оказавшихся в трудной жизненной ситуации.

Благодаря проекту дети знакомятся с разными профессиями, посещают мастер-классы, находят наставников и получают поддержку от горожан и организаций. Любой желающий может оставить заявку [на сайте](https://dobrayamoskva.ru/nastavniki).",2396,1,,mosrutop
56083,2026-06-01T12:04:43+00:00,"🧳 **Новый сезон «Лета в Москве» **[**объединил**](https://max.ru/mossobyanin/AZ6ChPayId8)** уже свыше 1,4 тыс. компаний. **Тема этого года — «Время быть вместе». Мероприятия пройдут более чем на 500 площадках по всему городу.

Гостей ждут бассейны и зоны отдыха, кинотеатр под открытым небом и товары локальных брендов в арт-павильонах. На Тверском бульваре можно посетить мастер-классы и дегустации. Всего для москвичей подготовили более 2,4 тыс. бесплатных мероприятий.

🐭 «Город Москва» в [МАКС](https://max.ru/mosru) и [Telegram](https://t.me/mosrutop)",2399,4,,mosrutop
56078,2026-06-01T11:01:23+00:00,"😻 **На онлайн-трансляциях Московского зоопарка можно **[**увидеть редких животных**](https://www.mos.ru/news/item/170675073/)**.** Среди них дальневосточный леопард, амурский тигр, орангутаны, малайские медведи и гигантские выдры. Благодаря обновленной [странице](https://zoo.mos.ru/) наблюдать за обитателями зоосада стало еще удобнее.

Камеры работают в вольерах, что позволяет зрителям следить за активностью животных в течение дня. Новый раздел «Звезда месяца» поможет не пропустить самые интересные моменты.

🐭 «Город Москва» в [МАКС](https://max.ru/mosru) и [Telegram](https://t.me/mosrutop)",2437,10,,mosrutop
56077,2026-06-01T10:04:58+00:00,"📲 **Благотворительный сервис на портале ****mos.ru**** **[**помогает поддерживать детей**](https://www.mos.ru/news/item/170717073/)** с тяжелыми заболеваниями. **В нем собрано 46 проверенных организаций, которые заботятся о самых юных подопечных. Благодаря пожертвованиям неравнодушных москвичей для ребят приобретают лекарства, оборудование, оплачивают работу специалистов.

Каждый может внести вклад, выбрав одну из десятков программ поддержки. Оформить пожертвование можно на странице [сервиса](https://www.mos.ru/city/projects/blago/vy-pomogali/).",2604,1,,mosrutop
56074,2026-06-01T09:01:10+00:00,"🚗 **Автофестиваль «ПроДвижение-2026» **[**пройдет на ВДНХ**](https://www.mos.ru/news/item/170570073/)** с 30 июля по 2 августа. **Гости увидят более 300 автомобилей: модели представят российские и зарубежные бренды.

В программе запланированы выставка раритетных машин, детские заезды и финал Кубка Москвы по историческому ралли. Завершится праздник выступлениями ансамбля и оркестра. Вход на основные площадки свободный.",3386,49,,mosrutop
56073,2026-06-01T08:02:30+00:00,"❤️ В День защиты детей желаем юным москвичам теплых улыбок, верных друзей и [яркого лета](https://leto.mos.ru/).

#Москва_в_объективе",2876,5,,mosrutop
56072,2026-06-01T07:02:46+00:00,"**Дорогие москвичи, с Днём защиты детей!
** 
По традиции лето начинается с этого прекрасного праздника, проникнутого заботой о будущем нашей страны, города и каждой московской семьи. 
 
**Всю свою любовь мы отдаём нашим детям и внукам.** И эта любовь возвращается нам сторицей — в улыбках новорождённого малыша, гордости за школьные успехи подростков и нежной заботе, которую дарит в старости молодое поколение семьи. 
 
Пусть тепло семейного очага помогает нашим детям расти достойными людьми. А Москва и впредь будет делать [всё необходимое для счастливого детства](https://www.mos.ru/news/item/170552073/) нынешнего и будущего поколений. 
 
Желаю вам крепкого здоровья, мира, добра и отличного летнего отдыха! 

[Подписаться на МАКС](https://max.ru/mossobyanin)",2426,7,,mosrutop
56068,2026-06-01T06:02:04+00:00,"🐭 **Центр госуслуг района Покровское-Стрешнево **[**открылся по новому адресу**](https://www.mos.ru/news/item/170659073/)**. **После переезда площадь офиса увеличилась почти в 2 раза. Для посетителей с детьми оборудовали комнату матери и ребенка и игровой уголок.

В центре также появились фотокабина, зона обмена книгами и вендинговые аппараты. Офис работает ежедневно с 08:00 до 20:00 по адресу: Тушинская улица, дом 19.",3348,7,,mosrutop
