id,date,text,views,forwards,replies,channel_short
41812,2026-06-01T15:46:57+00:00,"❗️❕‼️🟥🟧** Путин спас друга от тюрьмы | СВОшников не пускают в Думу | В Москве дорожает бензин**

Итоги дня: https://youtu.be/XTuTerVZ0Us

Мерзкий доносчик, путинский актёр и одиозный генерал — расскажем, кто провалил праймериз «Единой России». Запесоцкого восстановили в должности ректора университета профсоюзов. А Мединский хочет усилить контроль за фильмами, которые снимаются на государственные деньги.

__🚫 Не работает YouTube? Используйте __[__@rosvpnbot__](http://t.me/rosvpnbot?start=tg_pp)__
__
__🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1438,3,1,politica_media
41810,2026-06-01T15:06:03+00:00,"**🔴****🟠****🟡****  Талоны на бензин | Новый виток блокировок | Путин теряет рейтинг**

Включайте эфир в 18:30: https://youtube.com/live/N6Ce4FPlkHs**
**
Рейтинг доверия к Путину снова рухнул — об этом сообщают даже прокремлёвские социологи. В Сыктывкаре восьмилетних школьников хотят изъять из семей за то, что они играли на инсталляции из кубиков к 9 Мая. А топливный кризис начали ощущать даже жители Москвы.

Эти и другие новости обсудим в новом выпуске «Бойко о главном».

__🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1411,3,0,politica_media
41808,2026-06-01T14:16:23+00:00,"❗️**Чем закончится конфликт Путина и Пашиняна?**

Смотреть: https://youtu.be/zYZ4620pqXo

Путин усиливает давление на Армению: под предлогом карантина блокируется импорт фруктов, коньяка и рыбы, звучат угрозы пересмотра цен на газ и нефтепродукты. На фоне сближения Еревана с ЕС Кремль пытается спровоцировать внутреннее недовольство перед выборами. 

Почему Армения не идёт на уступки и ищет новые рынки вместо зависимости от Москвы — разбираем с политиком Степой Сафаряном.
__
🚫 Не работает YouTube? Используйте __[__@rosvpnbot__](http://t.me/rosvpnbot?start=tg_pp)__**
**
____🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1346,5,0,politica_media
41806,2026-06-01T13:53:03+00:00,Сейчас тут буду в прямом эфире рассказывать про жулика из ВЦИОМ https://www.youtube.com/watch?v=XlncuZfrMX8,1204,1,0,politica_media
41805,2026-06-01T13:05:56+00:00,"**ФБК выпустил расследование о главе ВЦИОМ** **Валерии Фёдорове**

По данным расследования, ВЦИОМ перечислял сотни миллионов рублей сети индивидуальных предпринимателей, многие из которых не имеют отношения к социологии. Среди получателей денег — сотрудники турфирм, автосалонов, фотограф и руководитель аквапарка.

У жены Фёдорова Дарьи Васильевой расследователи нашли элитную недвижимость, автомобили Porsche и Maserati, а также коллекцию сумок стоимостью 53 миллиона рублей.

__🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1435,5,0,politica_media
41804,2026-06-01T12:23:42+00:00,"❗️**Бриллианты, Porsche и тяжелый люкс. Как живет семья главного социолога России**

Смотреть: https://youtu.be/gtD0UkwItOM

Расследование ФБК о главе ВЦИОМ Валерии Фёдорове: как главный социолог Кремля зарабатывает на «серых» схемах с подрядами и обеспечивает роскошную жизнь молодой жене. 

Кто получает миллионы и как устроена эта система — разбираем с Георгием Албуровым.
__
🚫 Не работает YouTube? Используйте __[__@rosvpnbot__](http://t.me/rosvpnbot?start=tg_pp)__**
**
____🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1486,2,0,politica_media
41803,2026-06-01T10:54:19+00:00,"❗️❕‼️🟥**🟧****КРЫМ ОСТАЛСЯ БЕЗ БЕНЗИНА | АВАРИЯ В ДАГЕСТАНЕ | УНИЧТОЖЕНЫ ДВА РОССИЙСКИХ САМОЛЁТА**

Смотреть: https://youtu.be/o5EuWpI7jVg**__
__**
ФБК опубликовал расследование про главу ВЦИОМа Валерия Фёдорова. ВСУ нанесли восьмой удар по саратовскому НПЗ. А в Табасаранском районе Дагестана сошёл оползень — из-за этого оказалась разрушена дорога, соединяющая несколько сёл.

__🚫 Не работает YouTube? Используйте __[__@rosvpnbot__](http://t.me/rosvpnbot?start=tg_pp)__
__
🦙 [Популярная политика](http://t.me/politica_media) | [Поддержать](http://donate.fbk.info/smm)",1566,2,0,politica_media
41802,2026-06-01T09:00:01+00:00,"🔥 **Сегодня в 17:00: Честное слово с Марией Певчих**

__Включайте трансляцию в нашем Telegram-канале или на YouTube: ____https://youtube.com/live/XlncuZfrMX8__

Поговорим про [новое расследование](https://youtu.be/U8kY9qLnGgg) о том, как семья главы ВЦИОМ Валерия Фёдорова обогащается на лояльности Кремлю.

Обязательно посмотрите его и подключайтесь к эфиру. 

__🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",5199,9,0,politica_media
41799,2026-06-01T07:34:22+00:00,"**▪️****▫️****◾️****◽️****◼️****◻️****🔳****  В 11:00: Честное слово с Ильёй Новиковым**

Включайте трансляцию в нашем Telegram-канале или на YouTube: https://youtube.com/live/JBMu-VdpRIo

__🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1828,1,0,politica_media
41798,2026-05-31T07:03:59+00:00,"**💙**** Поддержите работу «Популярной политики»**

Становитесь спонсором: youtube.com/channel/UC7Elc-kLydl-NAV4g204pDQ/join

__🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",2220,3,0,politica_media
