id,date,text,views,forwards,replies,channel_short
4774,2026-06-02T05:13:02+00:00,"«Иммунотерапевтические подходы действительно дают эффект, но чаще всего он временный — к сожалению, **обычно речь идет о нескольких месяцах, в лучшем случае — о 2–3 годах. **Это тоже очень важно: это подаренное человеку время жизни. Но до полного излечения рака за счет активации противоопухолевого иммунитета еще далеко», — доктор биологических наук Иван Воробьев.

**Почему опухолевые клетки очень коварны **— читайте в лонгриде: https://postnauka.org/longreads/158050",394,5,0,postnauka
4773,2026-06-01T15:38:01+00:00,"Когда модель выдает ерунду, это результат того, что она **жестко привязана к фактуре, на которой обучалась,** и движется внутри вероятностных соотношений этой фактуры, а не внутри мира так, как это делает человек.

Ребенку достаточно один раз показать кошку, чтобы потом он отличал кошек от собак в самых разных условиях, при другом освещении, в другой позе, даже в другой степени схематичности, тогда как **языковой модели или системе распознавания нужны огромные массивы примеров**, после чего она начинает демонстрировать что-то похожее на обобщение.

Именно поэтому **нынешнее развитие ИИ не может считаться финальной стадией истории: **[https://postnauka.org/talks/158024](https://postnauka.org/talks/158024?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExMUZpa01Na2ZIUlVUVmlyZXNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR7VM-mCYVQf0sSocG7F8NpiOkrIlmzDrW0klcFrVU0NJJjbZ7VtcpxU67PfUA_aem_V1i4CZIosSvMTSjt5BjVCg)",966,11,0,postnauka
4772,2026-06-01T06:38:01+00:00,"Опасность возникает, когда появляется вариант вируса, который может передаваться и между людьми.
**
Можно ли это предвидеть? **Объясняет вирусолог Леонид Марголис: https://postnauka.org/talks/158051",1185,7,0,postnauka
4771,2026-05-31T14:52:01+00:00,"«**Не первый раз технологии кажутся нам разрушительными.** Многие из них — от парового двигателя до электричества — уже кардинально изменили наш образ жизни. Как и все предыдущие инновации, **искусственный интеллект преобразует все области нашей жизни: **как мы рождаемся, живем, работаем, играем и умираем. Но в одном **революция искусственного интеллекта все же будет отличаться**, а именно — скоростью, с которой она трансформирует все вокруг».

**Как AI из технологической новинки превращается в силу**, способную радикально изменить экономику, науку и повседневную жизнь: https://postnauka.org/chapters/158043",1389,16,0,postnauka
4770,2026-05-31T06:19:01+00:00,"Построить квантовый компьютер, устойчивый к ошибкам, — возможно, **один из самых трудных вызовов**, с которыми человечество сталкивалось в науке и технологиях.

**Как далеко продвинулась наука на пути к этой цели? **Читайте в интервью с физиком Алексеем Федоровым: https://postnauka.org/talks/158052",1397,6,0,postnauka
4769,2026-05-30T06:09:01+00:00,"🎙[Инвестиции глазами инженера, цена риска и private equity](https://yt.openinapp.co/vvihc) | Ивар ft. Алексей Фридлянд

📝[Почему опухолевые клетки очень коварны](https://postnauka.org/longreads/158050)

📝[«Следующую эпидемию предсказать нельзя»:](https://postnauka.org/talks/158051) почему вирусы меняются и чему нас научил ковид

📝[Почему шумы — главное препятствие для квантовых компьютеров](https://postnauka.org/talks/158052) и на каком этапе находится технология

📝[Наука как стартап:](https://postnauka.org/longreads/158048) почему врач и исследователь строит компанию

📝[Как мышление учёного становится инвестиционным инструментом](https://postnauka.org/longreads/158049)

💻[«Развитие научной карьеры в эпоху AI»:](https://luma.com/v9xivksd) 5 июня вебинар для участников программы Naukka Talents

#PNweekly",1433,7,1,postnauka
4768,2026-05-29T16:06:17+00:00,"Что такое теория когнитома, предложенная нейробиологом Константином Анохиным, и на какие вопросы она отвечает?

Читайте в отрывке из книги **«Мозг и его “Я”. Кто мы? Откуда мы? Куда мы идем?»**: https://postnauka.org/chapters/158042",1440,21,1,postnauka
4767,2026-05-29T05:08:36+00:00,"**29 мая 1919 года британские астрономы впервые получили экспериментальное подтверждение общей теории относительности.**

Во время полного солнечного затмения экспедиция Артура Эддингтона сфотографировала звезды рядом с Солнцем и обнаружила, что их видимое положение смещается именно так, как предсказывал Эйнштейн. Это стало первым подтверждением того, что гравитация может искривлять свет. **Подробнее о событии и о том, как оно повлияло на современную астрофизику:** https://postnauka.org/talks/154859 

На картинке — разворот из газеты The Illustrated London News за ноябрь 1919 года со схемой эксперимента Эддингтона, картой наблюдений и снимком солнечной короны во время затмения.",1579,18,1,postnauka
4766,2026-05-28T15:12:01+00:00,"Логика тех, кто полагает время и пространство объективными свойствами мира, опирается на здравый смысл и естественные установки нашего сознания. Нам **кажется, что все изменения в мире совершенно объективны, равно как и пространственный характер всех материальных объектов**, которые нам даются. Однако объективистская трактовка не может объяснить, почему и пространство, и время мыслятся нами не так, как все остальные законы физики.

**Пытаемся разгадать загадки пространства и времени **с Дианой Гаспарян в одном из уроков курса Академии ПостНауки «Философский поиск»: https://postnauka.org/link/philosophy_tg.",1666,18,0,postnauka
4765,2026-05-28T03:58:31+00:00,"«Для нейтральных частиц такая возможность существует. Например, фотон и Z-бозон являются античастицами самим себе, а другие нейтральные частицы — нет. **Для нейтрино вопрос пока открыт. И он связан с двумя разными математическими описаниями: **дираковскими и майорановскими нейтрино.
Пока не очень понятно, как на этот вопрос удастся ответить. По сути, главный эксперимент, который мог бы пролить на это свет, — это **безнейтринный двойной бета-распад.** Но пока никаких четких результатов нет», — доктор физико-математических наук Дмитрий Казаков. 

**О темной материи, нейтрино и границах Стандартной модели **— читайте в интервью с Дмитрием Казаковым: https://postnauka.org/talks/158041",1757,14,0,postnauka
4764,2026-05-27T15:54:01+00:00,"Присоединяйтесь к циклу вебинаров о построении карьеры за рубежом! Третья встреча пройдет 5 июня. 

**Узнать подробности и стать участником **— по ссылке: https://luma.com/v9xivksd",1778,7,0,postnauka
4763,2026-05-27T06:54:01+00:00,"Цвет кажется нам свойством предмета, но на самом деле это результат обработки сигнала, который мозг получает от глаза. **Цвет возникает потому, что зрительная система по-разному реагирует на разные участки спектра.** За это отвечают колбочки — рецепторы, чувствительные к разным диапазонам волн. Мозг определяет цвет по сочетанию их сигналов, поэтому один и тот же цветовой эффект может возникать при разных комбинациях света.

Особенно заметно это в сумерках: **колбочки перестают давать достаточно надежный сигнал, и в дело вступают палочки** — более чувствительные, но лишенные полноценного цветового анализа рецепторы.

**5 фактов о цвете: **https://postnauka.org/lists/158044",1846,28,0,postnauka
4762,2026-05-26T13:03:54+00:00,"**Почему одни технологии получают шанс изменить мир, а другие исчезают?**

Дело не только в научном прорыве. Важно, кто готов поверить в технологию в момент, когда она ещё выглядит слишком рискованной, дорогой или просто странной.

Говорим о научном мышлении инвестора, оценке рисков и создании новых индустрий — с Алексеем Фридляндом, PhD в Aerospace Engineering и инвестором с 20-летним опытом: https://youtu.be/wO38RyCuA34",1863,11,0,postnauka
4761,2026-05-26T06:43:01+00:00,Как авторитарные режимы одновременно **ограничивают науку и создают для нее особые условия **существования: [https://postnauka.org/longreads/158039](https://postnauka.org/longreads/158039?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExa0RzZENPV1hVWFJsTGg5enNydGMGYXBwX2lkDzUxNDc3MTU2OTIyODA2MQABHkAFxFHAsItw_5-V1lmnMhgwkP1JGXnBOmh2gijTMoaSs5VuO9AjAnxlRYZC_aem_Ee6uAF59hjBTQLd9bGu3qw),1945,16,0,postnauka
4760,2026-05-25T15:17:01+00:00,"Препараты, которые недавно были одобрены против Альцгеймера, о**бъективно показывают статистически значимые изменения **в прогрессии деменции у пациентов. Бета-амилоидные бляшки удаляются, но **эффект этих препаратов не является клинически ценным.** С точки зрения пациента, его окружения и врача улучшение остается незаметным и в итоге почти не влияет на развитие заболевания в целом.

На этом фоне растет **интерес к нефармакологическим решениям**, которые могут использоваться синергетично с препаратом и усиливать его воздействие.

**Как медицина уходит от таблеток к данным и VR: **https://postnauka.org/talks/158035",2125,19,0,postnauka
4759,2026-05-25T06:07:30+00:00,"Многие устройства работали бы лучше, **если бы свет можно было заставить распространяться только в одну сторону,** не давая ему рассеиваться назад. Это важно и для протоколов квантовой связи, и для передачи квантового ключа. Любое обратное **рассеяние вносит в систему неопределенность:** сигнал частично рассеивается назад, повторно взаимодействует с элементами схемы и тем самым ухудшает точность управления.

Доктор физико-математических наук Иван Иорш объясняет, **как физики пытаются заставить свет двигаться только вперед: **https://postnauka.org/talks/158022",2143,8,0,postnauka
4758,2026-05-24T13:58:01+00:00,"«В США любая встреча с врачом приводит к выписыванию нескольких лекарств. В итоге практически здоровые люди начинают пользоваться более чем десятью лекарствами», — объясняет венчурный инвестор и deeptech-предприниматель Аллан Гоббс.

**Почему это проблема и что приходит на смену таблеткам **— обсуждаем в [подкасте](https://yt.openinapp.co/old84).",2388,22,0,postnauka
