id,date,text,views,forwards,replies
27023,2026-05-23T17:40:18+00:00,,30761,403,
27022,2026-05-23T17:40:18+00:00,"Мужчина жестоко избил дочь в лифте в Балашихе — его задержали, возбуждено уголовное дело.

Перед этим девочка попросила помощи у прохожего и сказала, что мужчина ей не отец и бьет её и младшую сестру. В ответ он заявил, что девочки — его, а после того, как двери лифта закрылись, начал избивать ребенка и оскорблять ее матом.

После публикации кадров ситуацией занялись следователи и прокуратура. Девочек забрали правоохранительные органы. По словам знакомой семьи, произошедшее стало для нее шоком, а сама семья считалась благополучной.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",30927,410,
27021,2026-05-23T15:33:42+00:00,"Дом и баня загорелись в Троицке, огонь перекинулся на соседний участок.

Пожар произошел в СНТ «Лесное». На месте работают сотрудники МЧС. Обстоятельства произошедшего выясняются.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",37023,85,
27020,2026-05-23T13:26:59+00:00,"Еще один марафонец пострадал в результате забега в центре Москвы. Спортсмен впал в кому.

35-летнему мужчине стало плохо из-за жары во время марафона.
Пострадавшего госпитализировали.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",42790,680,
27019,2026-05-23T12:45:53+00:00,"Три человека погибли в ДТП в Ставропольском крае.

Столкновение двух легковушек произошло на 7-м километре трассы «Краснодар — Ставрополь». В аварии пострадали 5 человек, среди них один ребенок. Все они госпитализированы. 

🤩 [Главные происшествия — 112](https://t.me/ENews112)",48726,33,
27018,2026-05-23T11:40:18+00:00,"12 россиян после ДТП с автобусом в Анталье отправили по отелям, двоих оставили в больнице. Им должны провести операцию. 

Генконсульство России в Анталье находится в контакте с сотрудниками туроператора, страховой компании и врачами и держит ситуацию на приоритетном контроле.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",44911,27,
27017,2026-05-23T10:37:44+00:00,"Мужчина пережил клиническую смерть во время марафона в центре Москвы.

На Китайгородском проезде 37-летний спортсмен потерял сознание прямо во время забега и упал без признаков жизни.
Медикам удалось откачать мужчину и доставить в больницу.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",49547,813,
27016,2026-05-23T10:13:39+00:00,"Петербуржец забил соседа по коммуналке кувалдой до смерти.

Тело 66-летнего мужчины нашли 22 мая в квартире на улице Руднева. По версии следствия, во время конфликта сосед несколько раз ударил его кувалдой по голове. От полученных травм мужчина скончался на месте.

Нападавшего задержали и предъявили ему обвинение по статье «Убийство». Сейчас решается вопрос об аресте.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",47560,130,
27015,2026-05-23T08:18:13+00:00,"14 россиян пострадали в ДТП с экскурсионным автобусом в Анталье.

По данным 112, авария произошла в Белдиби — экскурсионный автобус врезался в препятствие. Пострадали 14 граждан России. Всех доставили в больницы с травмами легкой и средней степени тяжести.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",48081,126,
27014,2026-05-23T07:02:46+00:00,"Многократного чемпиона мира по шахматам Гарри Каспарова объявили в международный розыск*. 

Ему вменяют [оправдание](https://t.me/ENews112/24102) терроризма и нарушение порядка деятельности иноагента.

__* признан иноагентом, внесен в перечень террористов и экстремистов

__🤩 [Главные происшествия — 112](https://t.me/ENews112)",56686,103,
27013,2026-05-23T06:02:21+00:00,"Украинские спецслужбы пытались завербовать жительницу Белгородской области в смертницы.

Женщина перевела крупную сумму на «безопасный счет» после звонка мошенников. Позже с ней связались неизвестные, представившиеся силовиками, и убедили помочь в «задержании преступников».

По указанию кураторов белгородчанка должна была забрать из тайника взрывное устройство, принести его в людное место и активировать. Взрыв должен был убить и ее саму, и окружающих людей.

Женщина заподозрила неладное и сама обратилась в ФСБ. Теракт удалось предотвратить, взрывное устройство обезвредили. Сейчас ищут организаторов и их пособников.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",51254,101,
27012,2026-05-22T17:47:21+00:00,"Житель Ростова угнал машину скорой помощи, чтобы покататься и уехал в Волгоград.

В полицию обратились с заявлением об угоне служебной машины. Оперативники быстро вычислили любителя погонять на чужих автомобилях. Им оказался 32-летний мужчина, он поведал, что увидел незапертое авто и решил покататься на нем. Путешественник доехал до соседнего города, бросил на одной из улиц и пошел по своим делам. 

Уйти далеко не получилось, горе-угонщика нашли, ему избрали меру пресечения в виде подписки о невыезде, а машину благополучно вернули медикам.

А карта была?

🤩 [Главные происшествия — 112](https://t.me/ENews112)",57613,150,
27011,2026-05-22T15:54:10+00:00,"112 публикует момент ДТП с автобусом и грузовиком в Царицыно.

Авария произошла у ТЦ «Эльбрус». На видео — автобус потерял управление и врезался в заднюю часть самосвала. Пострадали восемь человек, троих госпитализировали.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",56796,116,
27010,2026-05-22T15:18:48+00:00,"Один человек погиб в результате ДТП на северо-западе Москвы.

По данным источника 112, на Северо-Западной хорде столкнулись три машины. Предварительно, погибший зажат между машинами. Информация о пострадавших уточняется.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",55386,41,
27009,2026-05-22T12:57:54+00:00,,57752,192,
27008,2026-05-22T12:57:54+00:00,"Блогер-миллионник попал в аварию на ретроавтомобиле Chevrolet в Петербурге.

Автор канала Combat Crew с 2 миллионами подписчиков, Игорь Рязанцев взял раритетную Chevrolet El Camino у друга, чтобы записать видео для блога. На дороге в его редкую машину въехал грузовик Hyundai, по итогу американский пикап отбросило в Газель.

__«Я стоял на месте, в меня въехал грузовик, и мы вместе въехали в другой грузовик»,__ — рассказал автоблогер.

У машины повреждены задняя и передняя часть. Ранее El Camino был в коллекции частного музея ретроавтомобилей и машину часто возили на выставки. Сам блогер получил незначительные травмы — у него рассечение на переносице.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",55980,191,
27007,2026-05-22T12:51:21+00:00,"Адвоката Игоря Поповского, обвиняемого в крупном мошенничестве, отправили под домашний арест до 28 июня.

По данным следствия, в июне 2022 года он [защищал](https://t.me/ENews112/26978) одну женщину и пообещал за 6 млн рублей повлиять на суд и прокуратуру, чтобы закрыть уголовное дело. Никаких возможностей, чтобы решить ситуацию он не имел и деньги потратил на свои нужды. 

🤩 [Главные происшествия — 112](https://t.me/ENews112)",53165,32,
27006,2026-05-22T12:37:34+00:00,"В Петербурге обиженный бывший тайком читал переписки девушки и пересылал друзьям.

По версии следствия, в январе 41-летний местный житель получил доступ к личным сообщениям своей экс-возлюбленной в одной из соцсетей. Приревновав, он всю зиму читал её личные сообщения, а особо запоминающиеся скриншотами отправлял друзьям. 

Прокуратура Приморского района утвердила в отношении мужчины обвинительное заключение за нарушение неприкосновенности частной жизни. Петербуржцу может грозить штраф до 200 тыс рублей, обязательные работы или до двух лет лишения свободы. 

Когда ревность + скриншоты = уголовное дело

🤩 [Главные происшествия — 112](https://t.me/ENews112)",52793,163,
27005,2026-05-22T12:05:43+00:00,"Женщина упала в горную реку Лиахви в Южной Осетии, её унесло бурным течением. Её ищут почти сутки, публикуем момент падения россиянки в воду.

По данным МЧС, сейчас продолжаются поиски 52-летней Анны Тиц, спасатели обследуют более 50 километров русла от Дзауского района до микрорайона ЦАРЗ. 

🤩 [Главные происшествия — 112](https://t.me/ENews112)",52470,187,
27004,2026-05-22T11:01:23+00:00,,54456,364,
27003,2026-05-22T11:01:23+00:00,"Сантехник, чинивший ванну у Тарховой-младшей, рассказал на суде: ""ничего такого я не заметил"". Тем временем он прочищал засор из гречки, смешанный с останками Виктора и Натальи Тарховых.

С Екатериной, внучкой экс-мэра Самары, он уже был знаком — раньше чинил трубу в их доме. А 15 января 2025-го она позвонила снова: засор в ванне, надо прочистить. Объяснила просто —  вазу мыла гречневой крупой, воду слила, вот всё и забилось. Сантехника это не смутило. Говорит, сам иногда тары песком с водой отмывает, так что поверил — дело житейское. И запахов посторонних не почувствовал.

В начале января соседи снизу пожаловались на протечку, это и стало причиной необходимости услуг слесаря. Тарховы-старшие трубку не брали, потом всё-таки ответила внучка. Сказала, уехали на юбилей, в квартиру никого не пустит, сама всё починит.

Накануне Тархова полностью призналась в убийстве деда — того самого Виктора Тархова, бывшего мэра Самары, — и его жены. По версии следствия, в декабре 2024-го она с двумя подельниками отравила стариков, заморозила тела азотом и расчленила. Останки провернула через мясорубку, смешала с гречкой — чтобы отбить запах и часть смыть в канализацию.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",54745,365,
27002,2026-05-22T09:43:48+00:00,"Число пострадавших в ДТП с автобусом и самосвалом увеличилось до 8 человек.

Троих госпитализировали, амбулаторная помощь понадобилась 5 пострадавшим.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",53408,48,
27001,2026-05-22T09:31:42+00:00,,58545,184,
27000,2026-05-22T09:31:42+00:00,"Автобус наехал на припаркованный грузовик в столичном районе Царицыно. Несколько человек пострадали.

По данным 112, ДТП произошло возле ТЦ «Эльбрус». Предварительно, столкнулись автобус маршрута №850 и самосвал. Водитель автобуса сейчас зажат в кабине.

UPD: 6 человек пострадали в ДТП с автобусом и грузовиком.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",59695,185,
26999,2026-05-22T08:27:45+00:00,,53872,167,
26998,2026-05-22T08:27:45+00:00,"На мужчину совершили покушение в районе Кутузовского проспекта. В него выстрелили из огнестрельного оружия.

По данным 112, все произошло на улице Студенческой. Как рассказали жильцы соседних домов, поздней ночью они слышали выстрелы. На место оперативно прибыли экстренные службы и госпитализировали раненного мужчину.

Обстоятельства произошедшего выясняются. 

🤩 [Главные происшествия — 112](https://t.me/ENews112)",55367,167,
26997,2026-05-22T08:19:24+00:00,,53912,519,
26996,2026-05-22T08:19:24+00:00,"Посредством уколов в ягодицы воспитатели наказывали детей — источник 112.

Воспитатели детского сада №15 в Кызыле ставили уколы тем детям, которые медленно ели или много бесились. На шприцах каких-либо веществ выявлено не было — при уколах ничего не вводилось.

В родительском чате уже неоднократно жаловались на детсад. По словам родителей, весь персонал нервный, с территории постоянно выгоняют, а воспитатели не прислушиваются к проблемам.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",54419,521,
26995,2026-05-22T07:32:11+00:00,"Подозрительные уколы делали воспитатели детского сада четырёхлетним детям в Кызыле.

В полицию родители воспитанников обратились, когда заметили у своих детей следы от уколов на ягодицах. Малыши рассказали, что воспитатель и его помощник якобы уводили их в туалет и ставили инъекции шприцем. 

МВД по Республике Тыва проводит проверку. 

🤩 [Главные происшествия — 112](https://t.me/ENews112)",53498,351,
26994,2026-05-22T07:16:57+00:00,"Муж пациентки напал на медсестру в больнице Орска.

Всё произошло в приёмном отделении стационара на улице Новосибирской. Туда поступила избитая женщина. Медики оперативно оказали ей помощь и оформили документы. Поздним вечером туда заявился её пьяный муж. Он требовал пустить его к супруге в неприемное время, материл медперсонал, а после выбил ногой дверь и напал на медработницу.

После пьяной выходки неадекват сбежал с места. Администрация больницы надеется на строгое наказание для любителя избить женщин.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",55398,144,
26993,2026-05-22T06:36:04+00:00,"Трехлетнюю девочку, перебегавшую через дорогу, сбили в Абакане. 

ДТП попало на камеры видеонаблюдения. Водитель автомобиля «Toyota Hilux» не заметил малышку. После удара девочку отбросило к другим машинам, она получила легкие ссадины и ушибы.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",56583,268,
26990,2026-05-22T05:35:21+00:00,"Возбуждено уголовное дело по факту аварии в Челябинской области. СК требует техническую документацию о состоянии транспорта и обеспечении пассажиров в пути.

Пресс-атташе «Бионорд Про» рассказал 112, что авария произошла в 4 утра по местному времени. Шесть игроков пострадали, серьезную травму получил сопровождающий — его прооперировали. Команда ехала с матча в Магнитогорске, они играли в VII тандеме «Мастер» мужского Чемпионата России 3х3 и победили.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",55990,36,
26989,2026-05-22T05:04:14+00:00,,57890,65,
26988,2026-05-22T05:04:14+00:00,,58595,65,
26987,2026-05-22T05:04:14+00:00,,56667,65,
26986,2026-05-22T05:04:14+00:00,"Баскетбольная команда «Бионорд Про» попала в серьезное ДТП в Челябинской области.

Спортсмены возвращались с соревнований. Водитель автобуса выехал на встречную полосу и врезался в «Газель», он погиб. Один из сопровождающих госпитализирован в больницу в Златоусе, ему провели операцию. Ещё шесть игроков с ушибами и легкими травмами доставлены в больницу.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",56099,66,
26985,2026-05-22T03:45:32+00:00,"Плюс одна фобия: в Сургуте у девушки прямо в лифте взорвался пауэрбанк. Двери закрылись, и в кабине начался пожар.

Всё произошло в доме на улице Крылова. Жительница зашла в лифт, и зарядное устройство, которое было в сумке, неожиданно вспыхнуло. Она скинула сумку на пол и в панике стучала по кабине. К счастью, огонь не успел распространиться, а двери быстро открылись. Девушка не пострадала, но точно испугалась (мы тоже).

🤩 [Главные происшествия — 112](https://t.me/ENews112)",62675,883,
26984,2026-05-21T18:53:47+00:00,"Уголовное дело возбуждено в отношении Дато Агджабединского, лидера клановой войны против знаменитого вора в законе Лоту Гули. На текущий момент Дато — глава криминального мира азербайджанской диаспоры в России.

Затеяли эту войну в 2016 году четыре азербайджанских «законника». В отношении одного из них, Дато Агджабединского (Джавид Мамедов — реальное имя вора), возбудили дело по факту занятия высшего положения в преступной иерархии. Спустя четыре года после начала конфликта — [Лоту убили](https://t.me/ENews112/7475) в турецком ресторане. Причём сделал это ближайший [сподвижник вора](https://t.me/ENews112/7477) в законе.

По нашим данным, Дато Агджабединский придерживается криминальной идеологии и обладает безоговорочным авторитетом в преступной среде, в том числе в России — с 2013 года по настоящее время он ""рулит"" делами в исправительных учреждениях Московского региона и поддерживает воровской ""общак"". По предварительным данным, он также являлся смотрящим по печально известному Владимирскому централу.

Дато трижды задерживали на Украине, каждый раз после этого ему запрещали въезд на территорию Незалежной. В нашу страну ему тоже вход заказан: вору грозит от восьми до пятнадцати лет лишения свободы. Проводятся мероприятия по установлению местоположения Мамедова.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",70227,160,
26983,2026-05-21T18:02:29+00:00,,61599,69,
26982,2026-05-21T18:02:28+00:00,"Виктория Боня требует взыскать с бывшей Лепса 3 млн рублей за оскорбления любовницей.

Звездный конфликт тянется давно. В своем запретграме Аврора Киба назвала телеведущую любовницей, которая продает свое тело богатым мужчинам. По словам Виктории, такие высказывания наносят вред ее репутации, и из-за них она может потерять доверие бизнес-партнеров. Помимо этого, Боня отмечает, что эти слова ранят психику ее несовершеннолетней дочери Анджелины.

Сторона Виктории просит взыскать моральную компенсацию и публично опровергнуть все, при этом сама публикация уже удалена. Представитель Кибы заявил, что в материалах дела нет подтверждения, что пост был выложен Авророй.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",61331,69,
26981,2026-05-21T16:43:35+00:00,"Трое мужчин задержаны за драку на станции «Площадь Революции».

В метро они избили 38-летнего москвича. Пострадавший до сих пор находится в больнице. Дебоширов нашли и задержали по камерам видеонаблюдения. 

Возбуждено уголовное дело по статье «Хулиганство». Двое заключены под стражу, третьему назначен запрет определённых действий.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",60310,86,
26980,2026-05-21T15:33:55+00:00,"«Мама, я тут»:** **спасатели трехлетней девочки из Дубны рассказали 112, как несколько километров на руках несли кроху из леса.

Одним из первых, кто [нашел Нику](https://t.me/ENews112/26963) — оказался местный сотрудник скорой по имени Виталий. Узнав о пропаже, он не смог усидеть дома.

«Я вчера узнал, а сегодня с утра жену поднял, тёщу поднял. И поехали втроем. А что, стоять и ждать? Мы приехали, записались и пошли блуждать по лесу», — рассказал Виталий 112.

Волонтеров выстроили в шеренгу и отправили прочесывать лес. Спасатель признался нам, даже взрослые люди недоумевали — как девочка могла [так далеко забраться](https://t.me/ENews112/26958): идти было очень тяжело. 

Во время маршрута люди внезапно услышали «кря» из леса, причем несколько раз. Виталий не понял, откуда в лесу утки, затем «кря» сменился на «Мама, я тут!». Так Вероника звала на помощь.

«Мы ломанулись туда, думали, она в болоте застряла. Там два сросшихся дерева. Я подбегаю, а она меня снизу за ногу хватает. Я наклонился, а она напрыгнула. Сначала даже не плакала», — вспоминает Виталий.

Малышка очень сильно устала к тому моменту и была совершенно без сил, всю ночь она провела в чаще. Единственным гостем за сутки была собака, которая случайно забежала в лес: как призналась своим спасителям Ника, в этот момент ей стало «чуточку легче и не так страшно».

🤩 [Главные происшествия — 112](https://t.me/ENews112)",62044,324,
26979,2026-05-21T14:56:14+00:00,"Главный архитектор Алушты задержан по подозрению в получении взятки в крупном размере.

По данным источника 112, Александра Струбалина задержали 20 мая. Ему избрали меру пресечения в виде подписки о невыезде.

Струбалин — начальник управления градостроительства и архитектуры администрации Алушты, а также награжден званием заслуженного архитектора Крыма.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",58522,138,
26978,2026-05-21T14:03:43+00:00,"По данным 112, адвокат Игорь Поповский признал вину по делу о мошенничестве. Следователи будут ходатайствовать о домашнем аресте.

🤩 [Главные происшествия — 112](https://t.me/ENews112)",57450,52,
26977,2026-05-21T13:17:20+00:00,"Задержан адвокат Игорь Поповский, который вел «болотное дело», за обман подзащитной на 6 миллионов рублей.

В июне 2022 года Игорь взялся защищать женщину на этапе следствия, обещал помочь как настоящий решала. В апреле 2025 года он убедил её, что за деньги сможет повлиять на суд и прокуратуру, чтобы закрыть уголовное дело.

На деле никакого влияния не было, а 6 миллионов рублей он потратил на свои хотелки. Поповского задержали, возбуждено уголовное дело по статье «Мошенничество, совершенное в особо крупном размере».

Игорь Поповский в свое время защищал участников «Болотного дела» — это дело о массовых беспорядках и сопротивлении полиции в центре Москвы в 2012 году. В шествии по Большой Якиманке и в митинге на Болотной площади принимали участие больше 8000 человек, из них 430 были задержаны. 

🤩 [Главные происшествия — 112](https://t.me/ENews112)",58753,156,
