id,date,text,views,forwards,replies
128514,2026-05-23T18:02:02+00:00,"🙂 **С чем связано появление спарки Су-57, какие функции он будет выполнять и какова роль второго пилота в боевой авиации будущего? **

Дорогие читатели, в свете появления на свет этого интереснейшего аппарата на свет, **мы побеседовали с исполнительным директором агентства Авиапорт, Олегом Пантелеевым**, который поделился своим мнением по этому поводу. 

Мы уверены, что нет ни одного любителя авиации, которого не заинтересовали бы затронутые нами вопросы. Поэтому, если вы вдруг упустили наше интервью, **приглашаем вас ознакомиться с ним!** 

🙂 [Связано ли появление ""на публике"" спарки Су-57 с возросшим интересом наших азиатских партнёров именно в этой конфигурации платформы?](https://t.me/aviasalonmaks/25437)

🙂 [Какое влияние может иметь увеличенный в размерах фонарь кабины на аэродинамические характеристики и радиолокационную скрытность?](https://t.me/aviasalonmaks/25438)

🙂 [С всё более активной интеграцией ИИ, насколько необходимым будет второй пилот в ближайшие десятилетия? Сможет ли ИИ полноценно заменить оператора систем?](https://t.me/aviasalonmaks/25439)

🙂 [Почему только Россия и Китай создали спарки своих истребителей пятого поколения?](https://t.me/aviasalonmaks/25440)

📷 __ОАК__

#Постфактум #ЭкспертноеМнение #Су57 #ЭтоИнтересно

🙂** **[**Подписывайся на нас в MAX**](https://max.ru/aviasalonmaks)
🙂 [**Онлайн-проект eMAKS**](https://www.aviasalon.com/)** 
****🙂**** **[**Авиасалон МАКС в Телеграм**](https://t.me/aviasalonmaks)",793,3,0
128513,2026-05-23T17:37:02+00:00,,734,2,
128512,2026-05-23T17:37:02+00:00,,730,2,
128511,2026-05-23T17:37:02+00:00,,721,2,
128510,2026-05-23T17:37:02+00:00,"🇰🇪 **Небольшое происшествие в Кении
**
Благополучно завершилось авиационное происшествие с самолётом Dornier 228-202, (б/н 5Y-CES) авиакомпании Kaskasi Aviation вчера, 22 мая, в аэропорту Найроби-Уилсон (WIL/HKNW) столицы Кении.

Самолёт совершил посадку с частично вышедшей правой основной стойкой шасси, которая подломилась при касании ВПП.

Пассажиров на борту не было, экипаж не пострадал. Самолёт эксплуатируется компанией KASAS Kenya для Гуманитарной авиационной службы Организации Объединенных Наций (KASAS Kenya for United Nations Humanitarian Air Service).

**🛫️️**** **[**AviaNews**](https://t.me/+iggi1A5K0Cw4MDJi)** **[**в телеграм**](https://t.me/+iggi1A5K0Cw4MDJi)** |  ""**[**Запасной аэродром"" в MAX**](https://max.ru/AviaCT)** ****📲**",724,2,0
128509,2026-05-23T17:01:27+00:00,"Вечерело…

🫡 [Ил-76 Экипаж](https://t.me/IL_76_CREW)",741,4,2
128508,2026-05-23T16:33:04+00:00,"🇵🇰 В Россию намерена летать пакистанская авиакомпания Fly Jinnah — посольство страны [направило](https://favt.gov.ru/novosti-novosti-mezhdunarodnogo-sotrudnichestva/?id=18611) соответствующее письмо в Минтранс РФ.

🗯 «Правительство Пакистана назначило компанию М/s Fly Jinnah, пакистанского авиаперевозчика, для осуществления согласованных рейсов между Пакистаном и Россией в соответствии с положениями двустороннего Соглашения о воздушном сообщении», — говорится в письме. 

Между какими городами планируют выполнять полёты — в сообщении не уточняется.

Fly Jinnah — пакистанская бюджетная авиакомпания, cозданная авиакомпанией Air Arabia. Свою коммерческую деятельность она начала в 2022 году. Во флоте у лоукостера [8 самолётов](https://www.flightradar24.com/data/airlines/9p-fjl/fleet) Airbus A320-200.

✈️ @ranarod",824,4,2
128507,2026-05-23T15:52:46+00:00,"🟥 **Уровень риска событий от 23 мая 2026**
__Суточный профиль риска формируется совокупностью нескольких существенных, но контролируемо завершившихся событий: потерей связи и контроля над БВС с задействованием силовых структур, отказом системы управления элеронами с прерванным взлетом А320 в Сочи и конфликтом с птицами на глиссаде CRJ-200, потребовавшим ухода на повторный заход. На этом фоне прочие инциденты носили характер ограниченных технических и операционных сбоев без прямой угрозы полетам воздушных судов с пассажирами. __[__Воздушная яма. Подписаться на канал__](https://t.me/+hJZpr-if67ozMDNk)",865,2,
128506,2026-05-23T15:52:46+00:00,"📑 **Сводка событий от 23 мая 2026**

**🛰️ Отказы навигации и связи**

**Оператор БВС Голубенко П.А., БВС Z071770, район н.п. Б. Сидельниково** — потеря связи с БВС, по расчету должен быть на земле, на точку вылета не вернулся, информация передана в силовые структуры.

**АО «КрасАвиа», Як-42 RA-42380, Новосибирск (Толмачево) – Красноярск (Емельяново), рейс SSJ9311** — в полете доложена потеря сигнала GPS, полет продолжен на аэродром назначения.

**Авиакомпания «Скайт гейтс эйрлайнс», Ил-96 RA-96101, Казань – Шицзячжуан, рейс SAY9219/A2462** — под АСКАЛ/АЛУМА отсутствовали доклады и ответы на запросы, радиосвязь восстановлена под МОТОГ.

**⚙️ Отказы систем и индикации**

**АО «Аэрофлот», А-320 RA-73179, Сочи (Адлер) – Стамбул, рейс AFL640** — при разбеге на скорости около 100 км/ч КВС прервал взлет из‑за отказа компьютера, отвечающего за элероны, дальнейший вылет отменен.

**АО «И8», Ми-8АМТ RA-22374, вертолетная площадка Тулун – Иркутск, рейс ИК9170** — после взлета кратковременно загорались табло отказа правого авиагоризонта и «крен велик», затем параметры нормализовались, неисправность устранена по результатам проверки.

**🐦 Столкновения с птицами и БПЛА**

**АО «АТК «ЯМАЛ», А320 RA-73691, Салехард – Тюмень (Рощино), рейс LLM955** — после посадки экипаж доложил о столкновении с птицей на выравнивании, следов на ВПП не обнаружено.

**Авиакомпания «Северсталь», CRJ-200 RA-67230, Великий Устюг – Череповец, рейс SSF115** — при заходе на посадку обнаружена стая гусей на предпосадочной прямой, выполнен уход на второй круг, повторный заход и посадка благополучно.

**🧰 Прочие технические неисправности**

**АО «ИрАэро», CRJ-200 RA-67162, Иркутск – Чита, рейс IAE169** — после выруливания выполнен возврат на стоянку по технической причине, вылет не состоялся.

**📝 Прочие инциденты**

**Авиакомпания «Победа», B737-800 RA-73248, Сочи – Саратов, рейс PBD329** — экипаж доложил PAN PAN из‑за больного пассажира, выполнена приоритетная благополучная посадка, медицинская служба встретила борт.

[Воздушная яма. Подписаться на канал](https://t.me/+hJZpr-if67ozMDNk)",756,2,0
128505,2026-05-23T15:25:35+00:00,,754,0,
