id,date,text,views,forwards,replies
95265,2026-05-23T22:52:03+00:00,"**Американские СМИ: возле Белого дома были слышны, предположительно, звуки выстрелов **

Репортер телеканала ABC Селина Ван [опубликовала](https://x.com/selinawangtv/status/2058312115098697760) в соцсети Х видео, на котором слышны звуки, похожие на десятки выстрелов возле Белого дома. 

В посте она указала: «Я снимал видео на свой iPhone для социальных сетей с северной лужайки Белого дома, когда мы услышали выстрелы. Казалось, что раздалось несколько десятков выстрелов. Нам было приказано бежать в зал для пресс-брифингов, где мы сейчас находимся». 

Секретная служба эвакуировала корреспондентов с Северной лужайки Белого дома, на которой они обычно работают, уточняет ABC News. 

Внутри Белого дома репортерам было приказано оставаться на месте, а агенты Секретной службы кричали «ложитесь» и предупреждали о «выстрелах», отмечает CNN.  

Представитель Секретной службы США сообщил CNN, что ведомство расследует сообщения о выстрелах на углу 17-й улицы и Пенсильвания-авеню, что находится непосредственно за пределами комплекса Белого дома.",3481,28,
95264,2026-05-23T21:51:26+00:00,"**Президент США Дональд Трамп заявил, что соглашение с Ираном **[**«в значительной степени достигнуто»**](https://storage.googleapis.com/gsc-link/www.bbc.com/e18df64b.html)** и что подробности будут объявлены в ближайшее время. Он рассказал, что сделка будет предусматривать открытие Ормузского пролива, однако не стал раскрывать подробности.**

В субботу официальный представитель министерства иностранных дел Ирана Эсмаил Багаи заявил в эфире государственного телевидения, что в последнюю неделю позиции США и Ирана стали сближаться, однако предупредил, что это не означает достижения договоренностей по ключевым вопросам, и обвинил американскую сторону в «противоречивых заявлениях».

В социальных сетях Трамп написал, что у него состоялся «очень продуктивный разговор» с лидерами Саудовской Аравии, Объединенных Арабских Эмиратов, Катара и других стран по поводу «Меморандума о взаимопонимании, касающегося МИРА».

🔗 [Сайт без VPN](http://bit.ly/bbcrussian) | [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",11034,15,
95263,2026-05-23T19:59:00+00:00,"**Фильм «Минотавр» российского режиссера Андрея Звягинцева **[**получил Гран-при 79-го Каннского кинофестиваля**](https://storage.googleapis.com/gsc-link/www.bbc.com/93db1d99.html)

Это первый фильм режиссера за последние девять лет. Международное признание Андрей Звягинцев получил в 2003 году, когда его дебютный полнометражный фильм «Возвращение» завоевал Гран-при Венецианского кинофестиваля.

В своей речи во время награждения Звягинцев на русском языке обратился напрямую к президенту России Владимиру Путину.

💬__«Единственный человек, который может остановить эту мясорубку, — вы, господин президент Российской Федерации. Закончите уже эту бойню. Весь мир ждет этого__💬, — заявил режиссер, говоря о войне в Украине.

[Вот наша недавняя рецензия](https://www.bbc.com/russian/articles/c1m27ep0rpxo) на антивоенный фильм Андрея Звягинцева.

🔗 [Сайт без VPN](http://bit.ly/bbcrussian) | [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",23759,156,
95262,2026-05-23T17:15:48+00:00,"**Посольство США в Киеве выпустило предупреждение о «потенциально значительной» воздушной атаке в ближайшие 24 часа**

Посольство США в Киеве опубликовало на своем сайте сообщение о том, что оно получило информацию о «потенциально значительной воздушной атаке, которая может произойти в любое время в ближайшие 24 часа».

Ранее президент Украины Владимир Зеленский заявил, что наблюдаются признаки подготовки Россией комбинированного удара, в частности по Киеву, и что в этом ударе может быть применена гиперзвуковая баллистическая ракета «Орешник». Он призывал пользоваться укрытиями «начиная с сегодняшнего вечера».

Американское посольство в [своем сообщении](https://ua.usembassy.gov/security-alert-u-s-embassy-kyiv-ukraine-may-23-2026/) не упоминает это заявление украинского президента. Оно рекомендует американским гражданам заранее узнать расположение ближайших укрытий, немедленно следовать в них в случае тревоги, а также иметь запасы еды, воды и медикаментов.

🔗 [Сайт без VPN](http://bit.ly/bbcrussian) | [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",42663,224,
95261,2026-05-23T16:18:30+00:00,"**Зеленский: есть разведданные о подготовке российского удара «Орешником»**

Президент Украины Владимир Зеленский написал в соцсетях о том, что разведка доложила ему, что получены данные «о подготовке россиянами удара с использованием „Орешника“». По его словам, эти данные получены «в том числе от американских и европейских партнеров» и сейчас проверяются.

«Видим признаки подготовки комбинированного удара по территории Украины, в частности по Киеву, с использованием разного вооружения. Указанное вооружение средней дальности может быть в таком ударе», — продолжает Зеленский. Он дважды в своем посте призывает всех пользоваться укрытиями «начиная с сегодняшнего вечера».

Он призвал США и Европу не оставлять без реакции применение подобного оружия. «Рассчитываем на реакцию мира и на то, что она будет не постфактум, а превентивной — надо нажать на Москву, чтобы они не расширяли войну», — заявил украинский президент.

«Мы готовим ПВО настолько, насколько это возможно, и будем отвечать полностью справедливо на каждый российский удар. Мы дали разрешение на парад, но разрешения на безумие у России нет», — сказал в заключение Зеленский, ссылаясь на свой указ о ненанесении ударов по Москве во время парада 9 мая.

«Орешник» — это [российская гиперзвуковая баллистическая ракета средней дальности](https://www.bbc.com/russian/articles/c748yrmzvzpo), способная нести ядерный боезаряд. Россия дважды атаковала Украину такими ракетами в неядерном оснащении: в ноябре 2024 года — Днепр, а в январе 2026 года — Львов.

🔗 [Сайт без VPN](http://bit.ly/bbcrussian) | [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",40728,139,
95260,2026-05-23T15:37:39+00:00,"**Стало известно о гибели еще одного британца на войне в Украине

**23-летний Айртон Редферн из Южного Девона погиб в Донецкой области 9 мая.

В тот день формально действовало перемирие по случаю Дня Победы. Обе стороны заявляли о том, что оно не соблюдалось, хотя крупных ударов по глубокому тылу как в Украине, так и в России в тот день не было.

Его мать, попросившая называть себя Наташа, сообщила, что в 2025 году Редферн вступил в состав специального подразделения, оказывающего поддержку украинской армии.

Британский МИД заявил, что оказывает «поддержку семье британского гражданина, который погиб в Украине», и находится в контакте с украинскими властями.

Редферн в 12 лет присоединился к авиационному кадетскому корпусу города Торки. В 17 лет он поступил на службу в Военно-воздушные силы Великобритании, а затем отправился за границу.

🔗 [Сайт без VPN](http://bit.ly/bbcrussian) | [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",39383,42,
95259,2026-05-23T15:17:28+00:00,"💬**ВСУ второй раз с начала весны заявляют о поражении фрегата «Адмирал Эссен»**

__Специальный корреспондент Русской службы Би-би-си Илья Барабанов*__:

Командующий Силами беспилотных систем Украины Роберт Бровди, больше известный под позывным «Мадяр», заявляет о втором с начала весны этого года попадании украинского беспилотника по фрегату Черноморского флота, носителю ракет «Калибр», «Адмирал Эссен» в порту Новороссийска. Насколько серьезно корабль поврежден, неизвестно, уточнил командующий.

После того как в апреле 2022 года затонул флагман Черноморского флота крейсер «Москва», в составе ЧФ оставались три фрегата, которые могли претендовать на звание нового флагмана флота — «Адмирал Макаров», «Адмирал Григорович» и «Адмирал Эссен». Это новые корабли проекта 11356Р «Буревестник», построенные на заводе «Янтарь» в Калининграде и спущенные на воду в 2014–2015 годах.

«Адмирал Григорович» встретил начало российского вторжения в Украину у берегов Сирии, после закрытия для российских военных кораблей турецких проливов потерял возможность вернуться в Черное море и несколько месяцев назад был переведен на Балтику. Фрегаты «Адмирал Макаров» и «Адмирал Эссен», после того как бухты Севастополя перестали быть безопасными для Черноморского флота из-за ударов ВСУ, были переведены в Новороссийск.

В начале марта Генштаб ВСУ заявлял, что в результате ударов по военно-морской базе в Новороссийске эти два фрегата были повреждены. В середине апреля этого года источник Русской службы Би-би-си подтверждал серьезные повреждения, полученные «Адмиралом Макаровым». По «Адмиралу Эссену» украинские беспилотники сегодня попали второй раз с начала 2026 года. О возможной гибели кого-то из экипажей этих двух фрегатов пока не сообщалось.

__*Власти России включили Илью Барабанова в реестр «иностранных агентов». Би-би-си категорически возражает против этого решения и оспаривает его в суде.__

🔗 [Сайт без VPN](http://bit.ly/bbcrussian) | [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",37861,31,
95258,2026-05-23T14:46:58+00:00,"❗ **Главное за неделю от Русской службы Би-би-си **

📝 «Если выход завалит — все!» Почему Подмосковье [оказалось не готово](https://www.bbc.com/russian/articles/cg5pglvye8qo) к атакам беспилотников (без VPN читайте [здесь](https://storage.googleapis.com/snaplink/P8ovA.html))

📝 «Минотавр» Звягинцева [в Каннах](https://www.bbc.com/russian/articles/c1m27ep0rpxo): Россия привилегированного меньшинства (без VPN читайте [здесь](https://storage.googleapis.com/snaplink/RxJgA.html))

📝 «Механизм против неудобных». Как Минюст России лишает адвокатуру самоуправления и [чем это грозит](https://www.bbc.com/russian/articles/c7753prmeygo) обычным людям (без VPN читайте [здесь](https://storage.googleapis.com/snaplink/9p4X9.html))

📝Тень Волыни, угроза России. Как украинские и польские историки [попробовали найти](https://www.bbc.com/russian/articles/cd9pe2wy5d4o) общий язык (без VPN читайте [здесь](https://storage.googleapis.com/snaplink/ALrLR.html))
 
📹 [О чем Путин и Си договорились в Китае?](https://www.youtube.com/watch?v=wbcrOD7VWiI)

🎙 Удары по Москве продолжатся? | [Подкаст «Что это было?»](https://www.youtube.com/watch?v=HA8RI8F48EY)

🔗 [Сайт без VPN](http://bit.ly/bbcrussian) | [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",37993,10,
95257,2026-05-23T13:32:22+00:00,"**Зеленский сообщил об атаке на химзавод в Пермском крае**

Президент Украины поблагодарил СБУ за нанесение удара по заводу «Метафракс Кемикалс». Это один из крупнейших российских производителей метанола и его производных. Завод находится в городе Губаха Пермского края.

«Продукция предприятия обеспечивает десятки других российских военных производств», — написал Владимир Зеленский в своем телеграм-канале. По его информации, теперь производственный процесс на предприятии остановлен.

Ранее власти Пермского края сообщили об атаке беспилотников на «одно из промышленных предприятий региона». Губернатор объявил, что пострадавших нет, а несколько беспилотников были сбиты на подлете. 

Местный телеграм-канал «Пермь 36,6» писал, что жители Губахи слышали три взрыва и опубликовал фото дыма, предположительно, поднимавшегося над заводом.

Утечка метанола может быть опасной. Он ядовит, в том числе при вдыхании паров, и легко воспламеняется при низких температурах, при этом пламя плохо заметно при дневном свете.

🔗 [Сайт без VPN](http://bit.ly/bbcrussian) | [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)",41294,98,
95256,2026-05-23T13:06:53+00:00,"**Число погибших в Старобельске выросло до 16**

Как сообщает МЧС РФ, под завалами, предположительно, остаются еще пять человек.

💬__Тела еще четверых погибших извлечены из-под завалов в Старобельске на месте обрушения общежития колледжа Луганского педагогического университета. Всего пострадали 58 человек, из них 16 погибли. Предварительно, под завалами находятся пять челове__к💬, — говорится в сообщении.

🔗 [Сайт без VPN](http://bit.ly/bbcrussian) | [Telegram](https://t.me/bbcrussian) | [WhatsApp](https://whatsapp.com/channel/0029VaZ437k4Y9li4jkzIU0G) | [YouTube](https://www.youtube.com/@bbcnewsrussian) | [Рассылка](https://forms.office.com/e/DwxsSgvpyR)

.",41657,46,
