id,date,text,views,forwards,replies
96305,2026-05-23T16:58:57+00:00,"Прогноз Nvidia по новому рынку центральных процессоров объемом $200 млрд включает Китай, [пишет](https://www.forbes.ru/biznes/561473-reuters-prognoz-nvidia-po-novomu-rynku-processorov-ob-emom-200-mlrd-vklucaet-kitaj) Reuters со ссылкой на гендиректора компании Дженсена Хуанга. Nvidia ранее получила разрешение правительства США на поставку в КНР чипов H200, однако не получила одобрения китайских властей. Хуанг был в составе американской делегации, посетившей Китай в мае этого года вместе с президентом Трампом, однако вопрос с поставками чипов так и не был решен, напомнило агентство. В разговоре с журналистами в Тайбэе гендиректор Nvidia подчеркнул, что китайский рынок очень большой и «очень важен»",6355,15,
96304,2026-05-23T15:24:21+00:00,"Гарри Каспаров (признан в России иноагентом, внесен Росфинмониторингом в перечень лиц, причастных к терроризму и экстремизму) объявлен в международный розыск по обвинению в оправдании терроризма и уклонении от обязанностей иноагента, [сообщает](https://www.forbes.ru/society/561471-garri-kasparova-ob-avili-v-mezdunarodnyj-rozysk-po-obvineniu-v-opravdanii-terrorizma) «РИА Новости». В материалах суда указано, что решение было принято еще в конце 2025 года. В декабре Замоскворецкий суд Москвы заочно арестовал оппозиционного политика, за два месяца до этого он стал фигурантом уголовного дела о захвате власти",9166,32,
96303,2026-05-23T15:22:37+00:00,"🟢 **Субботний венчур: 500 млн рублей на роботов-уборщиков и товары с Wildberries в Китае**

• Оператор «Ростелеком» вложит «несколько сотен миллионов рублей» в собственный онлайн-сервис бронирования отелей для госорганов и госкомпаний. Агрегатор развивает компания «Система бронирования отелей» (СБО). С марта 2024-го СБО возглавляет Дмитрий Олиферко, экс-гендиректор сервиса бронирования гостиниц «Броневик». По собственным данным, к агрегатору подключено 7000 отелей по России. 

• Разработчик автономных роботов для коммерческого клининга Robo привлек 500 млн рублей от инвестиционной компании Kama Flow. Деньги пойдут на масштабирование проекта, развитие платформы и подготовку к локализации производства. Клиенты используют сервис на объектах ретейла, жилых комплексов, паркингов, складов, школ, больниц и инфраструктурных учреждений. Robo управляет парком из более чем 90 роботов и ежемесячно обслуживает свыше 3 млн кв. м.

• Wildberries запустила пилотный проект по экспорту российских товаров в Китай. Местные компании будут покупать товары российского производства оптом по модели, схожей с той, которая действует на маркетплейсе для российских продавцов при закупке товаров в Китае. В частности, китайские покупатели смогут оформлять B2B-заказы онлайн, получать закрывающие документы и пользоваться инфраструктурой Wildberries для логистики и таможенного сопровождения.

Forbes публикует очередной еженедельный дайджест новостей из мира стартапов и венчура. Дайджест охватывает период с 16 по 22 мая. [Читайте на сайте](https://www.forbes.ru/svoi-biznes/561434-subbotnij-vencur-500-mln-rublej-na-robotov-uborsikov-i-tovary-s-wildberries-v-kitae)

__📸: Фото Доната Сорокина / ТАСС__",7851,7,
96302,2026-05-23T15:04:15+00:00,"Сын президента США Эрик Трамп действительно помогал через свой фонд детям с онкологическими заболеваниями, однако при этом он годами культивировал миф вокруг своей благотворительной организации, который продолжает эксплуатировать и сегодня. Тысячи страниц документов, полученных в результате запроса в рамках закона о свободе информации, вскрывают весь масштаб обмана, лежащего в основе рекламной кампании Эрика Трампа. 

Так, только с 2011 по 2016 год его фонд перевел не менее $500 000 благотворительных средств в пользу объектов, принадлежащих его семье, посредством ряда транзакций. [Как Эрик Трамп собирал деньги на детей, а отдавал их отцу?](https://www.forbes.ru/milliardery/561186-paren-vlozivsij-dusu-kak-erik-tramp-sobiral-den-gi-na-detej-a-otdaval-ih-otcu)

Фото Joe Raedle / Getty Images",7180,20,
96301,2026-05-23T15:01:27+00:00,,2806,8,
96300,2026-05-23T15:01:27+00:00,,2817,8,
96299,2026-05-23T15:01:27+00:00,,3074,9,
96298,2026-05-23T15:01:27+00:00,,2955,8,
96297,2026-05-23T15:01:27+00:00,,2963,9,
96296,2026-05-23T15:01:27+00:00,"За 12 месяцев с момента выхода рейтинга-2025 десять самых высокооплачиваемых спортсменов мира успели заработать более $1,4 млрд. Лидером этого забега остается Криштиану Роналду, который в мае 2026 года впервые прибавил к своей коллекции титулов победу в первенстве в Саудовской Аравии. Португальскому феномену уже за 40, но он продолжает побеждать и на поле, и за его пределами. Впрочем, вся первая четверка нашего рейтинга может считаться ветеранами по спортивным меркам: Роналду уже 41 год, Канело — 35, Месси — 38, а ЛеБрону — 41. Что не помешало им поделить $747,8 млн годового дохода — больше чем все остальные участники топ-10, вместе взятые.

Читайте о рейтинге самых высокооплачиваемых спортсменов мира [в материале на сайте](https://www.forbes.ru/sport/561435-10-samyh-vysokooplacivaemyh-sportsmenov-mira-2026?utm_source=forbes&utm_campaign=lnews)",2966,7,
