id,date,text,views,forwards,replies
14877,2026-05-23T16:04:21+00:00,"Русский крейсер «Громобой» уничтожает японский транспорт «Идзуми-мару», 1904 год. Русско-японская война.",373,4,
14876,2026-05-23T13:00:25+00:00,,475,3,
14875,2026-05-23T13:00:25+00:00,,469,3,
14874,2026-05-23T13:00:25+00:00,,466,3,
14873,2026-05-23T13:00:25+00:00,,450,3,
14872,2026-05-23T13:00:25+00:00,,449,3,
14871,2026-05-23T13:00:25+00:00,"Отличные новости для всех любителей истории России и хорошей литературы — «Чёрная сотня» переиздала «Дроздовцев в огне» Туркула в обработке Сергея Лукаша.

Как бы вы ни относились к разным персонажам Гражданской, эта книга — блестящий документ эпохи и летопись одного из ярчайших её эпизодов — похода «Яссы-Дон».

Да и сам подход к изданию вызывает желание поставить на полку: отличная обложка, дореформенная орфография, карта А3 в комплекте и дневник самого Дроздовского в подарок. Есть даже коллекционная версия с дополнениями. Словом, смотрите сами, оно того стоит!

**__♥️ __**[**__Оформить предзаказ__**](https://chernaya100.com/turkul-drozdovtsy-v-ogne/history?utm_source=history)",444,3,
14870,2026-05-23T12:04:22+00:00,"Венчание на царство Ивана Грозного. Лицевой летописный свод, Царственная книга, лист 288.",483,8,
14869,2026-05-23T10:49:19+00:00,"[​​](https://cdn30.notepost.ru/F1iquiVMBfOcsI72-1713794627480.jpeg)[​​](https://cdn30.notepost.ru/F1iquiVMBfOcsI72-1713794627480.jpeg)**Царь-Книга**

Лицевой (т. е. иллюстрированный, с изображением «в лицах») летописный свод является не только памятником русской рукописной книги и шедевром древнерусской книжности. Это – литературный, исторический, художественный памятник мирового значения. Неслучайно он неофициально называется Царь-Книгой (по аналогии с Царь-Пушкой и Царь-Колоколом). 

Лицевой летописный свод был создан во 2-й половине XVI века по распоряжению царя Иоанна IV Васильевича Грозного в единственном экземпляре для его детей. Над книгами Лицевого свода работали митрополичьи и «государевы» мастеровые: около 15 писцов и 10 художников. Свод состоит из около 10 тыс. листов и свыше 17 тыс. иллюстраций, причём изобразительный материал занимает около 2/3 всего объёма памятника. 

Рисунки-миниатюры (пейзажного, исторического, батального и бытового жанров) не только иллюстрируют текст, но и дополняют. Некоторые события не написаны, а только нарисованы. Рисунки рассказывают читателям как выглядели в древности одежда, воинские доспехи, церковные облачения, оружие, орудия труда, предметы обихода и прочее. 

В истории мировой средневековой письменности нет памятника, подобного Лицевому летописному своду как по широте охвата, так и по объёму. В его состав вошли священная, древнееврейская и древнегреческая истории, повествования о Троянской войне и Александре Македонском, сюжеты истории Римской и Византийской империй, а также летопись, освещающая важнейшие события России четырёх с половиной столетий: с 1114 по 1567 гг. (Предполагается, что не сохранилось начало и завершение этой летописи, а именно – Повесть временных лет, значительная часть истории царствования Иоанна Грозного, а также некоторые другие фрагменты.) В Лицевом своде история государства Российского рассматривается неразрывно со всемирной историей.",571,8,
14868,2026-05-21T18:00:18+00:00,"Русско-японская война. Подъесаул Филипп Кузьмич Миронов (стоит) с сослуживцами и пленными японцами. (8) 21 мая 1905 года.

Позднее он станет командармом 2-й конной армии красных, будет писать В.И. Ленину письма против расказачивания, и будет застрелен в 1921 году во дворе Бутырской тюрьмы без суда. Песня «Бывший подъесаул» — как раз про него.",960,18,
14867,2026-05-18T06:25:05+00:00,"[​​](https://telegra.ph/file/d9c2fdb46c2100c9e1580.jpg)**АНТ-20 «Максим Горький»**

Построенный в честь 40-летнего юбилея литературной деятельности Максима Горького, АНТ-20 с 8-ю моторами и размахом крыла в 61 метр был самым крупным самолетом своего времени. После успешного испытательного полета 17 июня 1934 года «Максим Горький» уже через два дня лениво рассекал воздушное пространство над Красной площадью, поражая воображение жителей тогда еще молодого советского государства своими габаритами. 

Внутри крыльев располагались места, оборудованные для сна, а в центральной части можно было найти типографию, лабораторию и даже библиотеку. Предполагалось, что самолет будет использоваться по очень широкому спектру направлений: от вещательной (и не только) агитации до развлекательных пассажирских перелетов. 

Однако дальнейшая история АНТ-20 трагична: 18 мая 1935 года произошел несчастный случай, в результате которого единственный экземпляр самолета разбился, а весь экипаж с 35 пассажирами на борту погиб. Ни АНТ-20, ни его модификации так и не поступили в серийное производство.",1628,6,
14866,2026-05-16T12:07:12+00:00,Открытие памятника генералу Ф.Ф. Радецкому в Одессе 16 мая 1891 года.,1634,6,
14865,2026-05-14T18:00:23+00:00,"Коронация императора Николая II в Москве, 14(26) мая 1896 г.

Уникальная кинохроника является первой пленкой, снятой в России. Фильм также считается первым в мире фильмом-репортажем.
Съемкой руководил представитель компании Люмьеров Камилл Серф. 

Для реставрации фильма были использованы различные нейронные сети.",2076,29,
