id,date,text,views,forwards,replies
14233,2026-05-23T16:34:29+00:00,,860,14,
14232,2026-05-23T16:34:29+00:00,,859,14,
14231,2026-05-23T16:34:29+00:00,,854,14,
14230,2026-05-23T16:34:29+00:00,"**Последний фильм кинопрограммы «Разбирая Карвая» — закрываем цикл показов «Чунгкингским экспрессом» ****🎬**

«Чунгкингский экспресс» был снят за минимальные средства во время двухмесячного простоя в работе над «Прахом времен». Реакция на фильм оказалась прямо противоположной затраченным силам и бюджету. 

Мелодрама из жизни жителей большого города стала для Карвая «визитной карточкой» и принесла ему международный успех. Она получила личную поддержку Квентина Тарантино и сколько бы раз не звучала с экрана «California Dreaming» группы The Mamas & The Papas, она удивительным образом не надоедает.

[**«Чунгкингский экспресс**](https://karofilm.ru/film/15777?date=2026-06-10)» 
10 июня 19:30 / Москва, киноцентр «Октябрь»
Разговор __→__ китаист, исследователь современной китайской литературы и автор канала «китайский арбуз» Юлия Дрейзис",856,14,0
14229,2026-05-23T13:15:06+00:00,,684,10,
14228,2026-05-23T13:15:06+00:00,"Ночь / La notte / Микеланджело Антониони / 1961

Специальный показ 4K-реставрации классики киномодернизма пройдет [25 мая](https://karofilm.ru/film/15808?date=2026-05-25) в Москве с киноведом Всеволодом Коршуновым и в Краснодаре с киноведом Кирой Кац  👀",685,10,0
14227,2026-05-23T11:23:51+00:00,,766,5,
14226,2026-05-23T11:23:51+00:00,,766,5,
14225,2026-05-23T11:23:51+00:00,,762,5,
14224,2026-05-23T11:23:51+00:00,,730,5,
14223,2026-05-23T11:23:51+00:00,,733,5,
14222,2026-05-23T11:23:51+00:00,"**Любим, смотрим и обсуждаем: делимся разговорами после титров ** 👀

**«Гостиница Окко»**
Об истории аниме, синтоизме, буддизме и прошлом Японии рассказывает искусствовед Анна Голда.

**«Отец мать сестра брат»**
Аналитический психолог Ольга Макарова рассказывает о родительском доме, близости и семейных ролях.

**«Александр Невский»**
Изучаем Средневековье в кинематографе с кинокуратором Максимом Павловым.

**«Без крыши, вне закона»**
О мифологическом образе бродяги и о том, как мы воплощаем себя в реальности рассказывает Ольга Макарова.

**«Зона интересов»**
О героях фильма Джонатана Глейзера, литературном источнике и способах осмысления трудного наследия рассказывает искусствовед Данила Чернышов.

💥 Слушайте выпуски «Гостиница Окко» и «Зона интересов» на платформах [Mave,](https://mave.stream/karoart) [Apple Podcasts](https://podcasts.apple.com/ru/podcast/встретимся-после-титров/id1828191316) и на [Яндекс Музыке](https://music.yandex.ru/album/37410429?utm_medium=share_link_tg).

💥 Записи «Отец мать сестра брат», «Александр Невский», «Без крыши, вне закона» смотрите на нашем [youtube-канале](https://www.youtube.com/@karofilmart) и в [VK Видео](https://vkvideo.ru/@karofilmart).",733,5,3
14221,2026-05-22T16:01:25+00:00,,848,6,
14220,2026-05-22T16:01:25+00:00,,853,6,
14219,2026-05-22T16:01:25+00:00,,866,6,
14218,2026-05-22T16:01:25+00:00,,809,6,
14217,2026-05-22T16:01:25+00:00,,827,6,
14216,2026-05-22T16:01:25+00:00,"**Рассматриваем** **альтернативные постеры **[**«Беспечного возраста»**](https://karofilm.ru/film/15782?date=2026-05-30)** с Одессой Эзайон** 🌊

Готовимся к жаркому лету премьерой молодежного драмеди. 30 мая встречаемся в киноцентре «Октябрь», о фильме расскажет кинокритик и автор канала «Критикиса» Арина Бойко.

«Беспечный возраст» / Pools был представлен на кинофестивале TIFF 2025. По словам критиков, «фильм притворяется подростковой комедией в духе середины 2000-х», но раскрывает переживания и ощущение внутреннего хаоса взрослеющей героини.",813,6,0
14215,2026-05-22T14:10:15+00:00,,902,7,
14214,2026-05-22T14:10:15+00:00,,907,7,
14213,2026-05-22T14:10:15+00:00,,900,7,
14212,2026-05-22T14:10:15+00:00,,888,10,
14211,2026-05-22T14:10:15+00:00,"Что, кроме самого кино, объединяет нас с Beat Film Festival? Разговор о кино**.**

В этом году в «Октябре» встретимся с Найком Борзовым на показе «Боуи: последняя глава», поговорим о Канье Уэсте с Николаем Редькиным и обсудим «Ломаный английский» с Машей Федоровой. Откроет фестиваль премьера «Марк глазами Софии» и команда Beat 🩷

**4–14 июня**
[**Расписание всех показов и билеты**](https://karofilm.ru/films/121)
**При поддержке КАРО/АРТ**",896,7,0
14210,2026-05-22T10:10:01+00:00,"**Премьера **[**«Закулисье реальности»**](https://karofilm.ru/film/16075?date=2026-06-02)** с Ренатой Реинсве и Чиветелем Эджиофором уже 2 июня **⚡️

В Москве после показа зрители смогут задать вопросы режиссеру фильма Кейну Парсонсу, который подключится к нам онлайн. В Краснодаре, по традиции, разговор после титров проведет киновед Кира Кац.

Хоррор от студии A24 основан на феномене лиминальных пространств — бескрайних лабиринтах желтых коридоров, где не действуют привычные законы времени и пространства.",1028,19,0
14209,2026-05-21T15:03:51+00:00,"[«Сад изящных слов»](https://karofilm.ru/film/15783) — пронзительная визуальная поэма об одиночестве и красоте мимолетных встреч, которые оставляют вечный след в сердце.

🍃 Специальный показ с обсуждением пройдет 26 мая в киноцентре «Октябрь». Спикер — исследователь аниме Валерий Корнеев.",1060,21,0
14208,2026-05-21T12:23:25+00:00,"**Дополнительные показы «Убить Билла» в Санкт-Петербурге и Краснодаре ⚡️**

Покажем «Убить Билла. Кровавое дело целиком» в трех городах. Новая версия объединяет две части культовой дилогии «Убить Билла» в один фильм именно так, как изначально его задумывал Тарантино. Картина отреставрирована в 4К-формате и включает новую, ранее не демонстрировавшуюся, анимационную сцену.

[**1 июня / Москва, киноцентр «Октябрь»**](https://karofilm.ru/film/15758?date=2026-06-01)
Разговор после показа проведут кинокритик Арина Бойко и философ Евгений Цуркан

[**1 июня / Краснодар, КАРО 8 «Галерея»**](https://karofilm.ru/film/15758?date=2026-06-01)
18:30 __→__ фильм представит и обсудит со зрителями киновед Кира Кац
19:00 __→__ фильм представит киновед Кира Кац
[
**2 июня / Санкт-Петербург, КАРО 9 «Варшавский экспресс»**](https://karofilm.ru/film/15758?date=2026-06-02)
19:00 __→__ фильм представит продюсер Владислав Пастернак",1174,18,2
14207,2026-05-20T17:00:51+00:00,,1235,29,
14206,2026-05-20T17:00:51+00:00,,1251,29,
14205,2026-05-20T17:00:51+00:00,,1271,29,
14204,2026-05-20T17:00:51+00:00,,1207,29,
14203,2026-05-20T17:00:51+00:00,"**Уиллем Дефо в роли греческого олигарха**

Новая картина «День рождения» Мигеля Анхеля Хименеса основана на одноименном романе Паноса Карнезиса, а сам персонаж Уиллема Дефо вдохновлен биографией греческого олигарха Аристотеля Онассиса. Фильм был представлен на 78-м кинофестивале в Локарно в программе Piazza Grande. Картина

Покажем премьеру картины в Москве и Краснодаре 3 июня!

Действие разворачивается на частном острове в Средиземном море в конце 1970-х. Могущественный миллиардер устраивает вечеринку в честь дня рождения дочери, но праздник быстро превращается в драму о власти, любви и свободе.

[**«День рождения»**](https://karofilm.ru/film/16136?date=2026-06-03)
**3 июня 20:00 / Москва, киноцентр «Октябрь»**
Разговор __→__ кинокритик, автор канала «Усы Никандера» Кирилл Артамонов

**3 июня в 19:00 / Краснодар, КАРО 8 «Галерея»**
Разговор __→__ киновед, автор канала «Кира пишет» Кира Кац

Партнер показа: дистрибьюторская компания Run of Sun Pictures",1151,29,0
