id,date,text,views,forwards,replies
12431,2026-05-23T17:03:38+00:00,"Warner Bros снимут фильм по мультсериалу «Рик и Морти».

Режиссёр Джейкоб Хэр, который до этого работал над эпизодами самого мультсериала. Подробностей сюжета и дат пока нет.

Девятый сезон «Рика и Морти» стартует 24 мая.

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",38,1,
12430,2026-05-23T15:03:36+00:00,,43,1,
12429,2026-05-23T15:03:36+00:00,,43,1,
12428,2026-05-23T15:03:36+00:00,"Наглядная инструкция, как поймать Генри Кавилла: просто принести ему набор по Warhammer 40,000. 

Во время съемок ремейка «Горца» в польском Лодзе владелец местного магазина по «Вахе» пришел к площадке с подарком для актера — набором юнитов Адептус Кустодес.

Учитывая любовь Кавилла к Warhammer, шансов пройти мимо у него просто не было.

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub

**👀 Загляни к нам 👉:** [Все думают, что VPN «тормозит», но чаще виноват выбор страны. 🧪 Сравните 3 локации за 1 минуту 🚀](https://insidead.ru/+MjwXlM) | [InsideAds](https://t.me/InsideAds_bot/openRU?startapp=r_-1001504856846_utm_source-insideadsInternal-utm_medium-signTeaser-utm_campaign-default)",43,1,
12427,2026-05-23T13:04:53+00:00,"Дженна Ортега сыграет главную роль в фильме Lily May B.

Режиссёром выступит Леос Каракс, снявший «Корпорация ""Святые моторы""» и «Токио!».

Картину описывают как сюрреалистичный роуд-муви с элементами антиутопии.

В центре сюжета девушка, молодой человек и мальчик, каждый из которых скрывает тяжёлую тайну. Вместе они отправляются в путешествие через опустевшие города, заброшенные трассы и древние леса в поисках самих себя.

Съёмки начнутся весной 2027 года.

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",50,1,
12426,2026-05-23T11:04:30+00:00,"Хвастунишки.

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",47,1,
12425,2026-05-23T09:05:29+00:00,,53,1,
12424,2026-05-23T09:05:29+00:00,"Японец три года повторял упражнения из аниме и превратился в главного героя «Ванпанчмена».

Мужчина начал тренироваться по программе Сайтамы: каждый день делал по 100 отжиманий, 100 приседаний, 100 приседаний с прыжком и бегал 10 километров.

За три года тренировок он не пропустил ни одной. Суммарно японец пробежал более 16.000 км и сделал больше 100.000 отжиманий!

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",55,1,
12423,2026-05-23T07:06:08+00:00,"**DISCOVERY VPN: ТВОЙ ИНТЕРНЕТ — ТВОИ ПРАВИЛА 🦾**

Надоело смотреть на крутилку загрузки? Пока остальные ищут рабочие прокси, наши юзеры забыли, что такое блокировки. 📺🔓

🚀 **Скорость 25 Гбит/с** — выжимаем максимум из твоего провайдера.
🎁 **Тест-драйв 24 часа** — пробуй бесплатно и убедись сам!
💰 **Всего от 79₽** — честная цена за премиум-качество.
🛡 **Обход любых списков** — работаем там, где другие сдаются.
⚡️ **Старт за 10 секунд** — один клик и ты в сети.

Свободный интернет без цензуры и тормозов. Хватит ждать — пора летать! ✅

🤖 **Бот:** [@DiscoveryVPN_bot](https://insidead.ru/+D6cV3H)

📢 [InsideAd](https://t.me/InsideAds_bot/openRU?startapp=r_-1001504856846_utm_source-insideadsInternal-utm_medium-signAdPost-utm_campaign-default)",50,0,
12422,2026-05-23T07:00:53+00:00,"Финальный трейлер «Паука-Нуара» с Николасом Кейджем — с русскими субтитрами.

В центре сюжета — Бен Рейли, постаревший частный детектив из Нью-Йорка 1930-х годов, который когда-то был единственным супергероем города.

Все эпизоды выйдут 27 мая на Prime Video.

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",42,1,
12421,2026-05-23T06:00:31+00:00,,38,1,
12420,2026-05-23T06:00:31+00:00,,38,1,
12419,2026-05-23T06:00:30+00:00,,38,1,
12418,2026-05-23T06:00:30+00:00,"Джейкоб Элорди и его звёздные экранные партнёрши.

Мужики, стараемся не завидовать.

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",39,1,
12417,2026-05-22T17:02:46+00:00,"Дж. К. Симмонс в тизере многосерийной криминальной драмы **Западный район (The Westies)**.

80-е годы XX века, район Манхэттена ""Адская кухня"", два друга детства идут по жизни разными путями полицейского и бандита. 

Премьера - 12 июля

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",59,1,
12416,2026-05-22T15:57:44+00:00,"У «**Паука-Нуара**» с **Николасом Кейджем** появились первые оценки — сериал получил **89% свежести на Томатах **🕸

Посмотревшие хвалят атмосферу классического нуара, стиль старых детективов и необычное сочетание супергероики с мрачным расследованием. Главным украшением сериала конечно называют **Николаса Кейджа**, а второстепенных персонажей — важной частью истории. При этом некоторые обозреватели считают, что проекту не хватает более сильного сценария. Премьера всех **восьми эпизодов** в двух цветах состоится уже **27 мая**

😈[ **@kinostro4ka**](https://t.me/+z-hmp7BtE10wMmJi)

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",63,1,
12415,2026-05-22T15:04:26+00:00,"**Мэтт Дэймон** может заменить **Райана Гослинга** в масштабной фантастической ленте от режиссеров оскароносного **Все, везде и сразу** Дэниэла Шайнерта и Дэна Квана. 

Подробностей сюжета пока нет. 

Кто круче? 

Дэймон 🔥
Гослинг 👍

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",49,1,
12414,2026-05-22T14:05:01+00:00,"Первый трейлер сериала «**Восход корпорации Vought**» 🪖

Действие спин-оффа «**Пацанов**» развернется в **50х** и расскажет о похождения **Солдатика и Штормфронт**. Съемки уже завершены, выйдет в первой половине 2027 

😈[** @kinostro4ka**](https://t.me/newsjetflix)

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",44,1,
12413,2026-05-22T13:01:26+00:00,"На BBC снимут новый сериал про бельгийского сыщика **Эркюля Пуаро**.

В самой известной экранизации книг Агаты Кристи - Пуаро играл Дэвид Суше. 

Съемки планируют начать этим летом. 

Крутяк. Ждем 👍
НЕ ждем. Суше не переплюнуть 🙈

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",40,1,
12412,2026-05-22T11:02:59+00:00,"Дочь Мартина Скорсезе **Франческа Скорсезе** сыграет во 2 сезоне сериала **Мистер и миссис Смит (Mr. and Mrs. Smith)**.

Марк Эйдельштейн сыграет мистера Смита. Экранной женой артиста станет Софи Тэтчер (""Еретик"", ""Компаньон""). 

Первый сезон вышел в 2024 году и рассказывал о паре спецагентов, которые выдают себя за супругов. 

Крутяк. Ждем 👍
НЕ ждем 🙈
Не смотрел 1 сезон 🍌

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",62,1,
12411,2026-05-22T09:05:20+00:00,"Тизер комедии **Ëлки 13**.

Премьера - декабрь

Ждем 👍
НЕ ждем 🙈

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",43,1,
12410,2026-05-22T08:39:19+00:00,"**Тома Харди **погнали из сериала «**Гангстерленд**»** Гая Ричи **после конфликтов на съемках второго сезона 👨‍🎨

**Paramount** отказались продлевать контракт с актером на третий сезон из-за постоянных опозданий на съемки и попыток вмешиваться в сценарий. Также сообщается, что **Харди** был недоволен тем, что сериал, изначально строившийся вокруг его героя, со временем стал больше фокусироваться на персонажах **Хелен Миррен и Пирса Броснана**. Это далеко не первый подобный скандал с **Томом Харди** — **Шарлиз Терон** рассказывала, что на съемках «**Безумный Макс: Дорога ярости**» актер регулярно опаздывал на площадку на несколько часов и постоянно конфликтовал с ней. Забавно, что сам **Харди** числится исполнительным продюсером **Ганстерленда** и его уволили из своего же сериала

😈[ **@kinostro4ka**](https://t.me/+z-hmp7BtE10wMmJi)

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",38,0,
12408,2026-05-22T07:04:54+00:00,,35,0,
12407,2026-05-22T07:04:54+00:00,"Финальный трейлер сериала «Паук-Нуар».

Нью-Йорк, 1930-е годы. Следователь Бен Райлли, который переживает не лучшие времена, сталкивается со своим прошлым. Бену, единственному супергерою в городе, приходится бороться с внутренними демонами и снова стать Человеком-пауком, чтобы спасти мегаполис и себя.

Премьера 27 мая.

В каком варианте будете смотреть шоу — цветном или ч/б?

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",34,0,
12406,2026-05-22T06:01:57+00:00,"Marvel выпустили эмоциональный ролик с параллелями из своих фильмов.

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",32,0,
12405,2026-05-21T17:24:19+00:00,,48,1,
12404,2026-05-21T17:24:19+00:00,"Постер и трейлер второго сезона «**Аватара: Легенда об Аанге**» 🌪

Все **восемь эпизодов** выйдут на **Нетфликс** уже **25 июня**. Шоу заранее продлили на **третий сезон**

😈[ **@kinostro4ka**](https://t.me/+z-hmp7BtE10wMmJi)

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",53,1,
12403,2026-05-21T17:04:56+00:00,"Женская дружба: Годами проверяется на
прочность

Мужская дружба: Один раз забухал с левым типом в баре и вот он уже стоит с тобой на Суде Семерых, рискуя именем, кровью и будущим, лишь бы ты не был один в этот трудный час

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",45,1,
12402,2026-05-21T15:43:05+00:00,"Спинофф «**Однажды в Голливуде**» под названием «**Приключения Клиффа Бута**» выйдет на **Нетфликсе** **23 декабря** **🍿**

Перед релизом фильм также покажут в кинотеатрах. Режиссером выступил **Дэвид Финчера**, а сценарий написал **Квентин Тарантино**. События картины развернутся спустя восемь лет после финала оригинального фильма и расскажут о жизни постаревшего **Клиффа Бута** в исполнении** Брэда Питта**. **Леонардо ДиКаприо** подтвердил, что его персонаж **Рик Далтон** в фильме не появится

😈[ **@kinostro4ka**](https://t.me/+z-hmp7BtE10wMmJi)

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",53,1,
12401,2026-05-21T15:05:25+00:00,"В США идут иммерсивные показы «Гарри Поттера».

Зрителей ждёт полноценное 4D-представление — антураж зала меняется в зависимости от сцены.

**🎬 **@kinostro4ka

 💯 - отлично
❤️ - мне нравится

Мы теперь и в MAX - https://max.ru/thaihub",45,1,
12400,2026-05-21T13:14:27+00:00,,39,1,
