id,date,text,views,forwards,replies
107905,2026-05-23T22:34:39+00:00,"**❗️**** Стрельба произошла возле Белого дома в Вашингтоне**, сообщили журналисты ABC и NBC.

«Прозвучали десятки выстрелов. Нам сказали бежать в зал для пресс-брифингов», — написала в Х журналистка ABC News Селина Ван.

▶️__ X/selinawangtv__

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",1933,20,
107904,2026-05-23T21:56:22+00:00,"Что делать банкиру-займодавцу, если его должник не может и не хочет возвращать огромную сумму денег? А если при этом заемщик обладает неограниченной властью и неподсуден никому?

Семь веков назад крупнейшим банкирам Европы — флорентийским семьям Барди и Перуцци — довелось узнать ответ на эти вопросы.

👉** Краткая история двух суперкомпаний Средневековья — **[**на сайте «Ъ».**](https://www.kommersant.ru/doc/8671334?tg)

📷 __The National Gallery__

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",3291,30,
107903,2026-05-23T20:56:18+00:00,"Сделка с Ираном «в значительной степени согласована», сообщил Дональд Трамп.

«В настоящее время обсуждаются последние аспекты и детали сделки, они будут объявлены в ближайшее время. В дополнение ко многим другим элементам соглашения будет открыт Ормузский пролив»,— написал президент США в Truth Social.

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",5577,15,
107902,2026-05-23T20:34:27+00:00,"Число погибших при ударе ВСУ по общежитию колледжа в Старобельске в ЛНР увеличилось до 21, сообщили в МЧС.

Как отметили в ведомстве, все тела погибших извлечены из-под завалов, поисковые работы завершены.

@kommersant",7148,21,
107901,2026-05-23T20:04:00+00:00,"🎞 **Золотую пальмовую ветвь — главную награду Каннского кинофестиваля — **[**присудили**](https://www.kommersant.ru/doc/8688741?tg)** картине «Фьорд» румынского режиссера Кристиана Мунджиу.
**
Гран-при получил фильм «Минотавр» режиссера Андрея Звягинцева.
 
Награды за лучшую режиссуру разделили Хавьер Амбросси и Хавьер Кальво за фильм «Черный шар», а также Павел Павликовский за ленту «Отечество». Приз за лучший сценарий —  французский режиссер и сценарист Эммануэль Марре.

За лучшую мужскую роль награду получили Эммануэль Маччиа и Валентен Кампань за фильм «Трус» (режиссер Лукас Донт), за лучшую женскую роль — актрисы Вирджини Эфира и Тао Окамото за картину «Внезапно» (Рюсукэ Хамагути).

Приз жюри достался ленте «Приключения мечты» немецкого режиссера Валески Гризебах. 

🔵 __Про фильм «Минотавр», атмосферу премьеры и первые реакции посмотревших __[__рассказывает__](https://www.kommersant.ru/doc/8673925?tg)__ Андрей Плахов.__

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",9516,51,
107900,2026-05-23T19:41:21+00:00,"Президент Чехии Петр Павел призвал страны НАТО «показать зубы» России в ответ на инциденты на восточном фланге альянса. В качестве возможной меры он предложил отключение интернета. Об этом чешский президент [заявил](https://www.kommersant.ru/doc/8688730?tg) в интервью изданию The Guardian.

Петр Павел заявил, что такие меры должны «принудить Россию к переговорам». По его словам, Россия заинтересована в снятии санкций и обсуждении новой архитектуры европейской безопасности. 

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",10283,61,
107899,2026-05-23T19:05:21+00:00,"🌒 **Главные новости к вечеру**

▪ Число жертв удара ВСУ по общежитию колледжа в Старобельске Луганской народной республики [увеличилось](https://www.kommersant.ru/doc/8688697?tg) до 18 человек. 

▪ Взгляды Ирана и США после нескольких недель переговоров сблизились, [заявил](https://www.kommersant.ru/doc/8688711?tg) представитель МИД Ирана Эсмаил Багаи.

▪ Глава МИД Армении Арарат Мирзоян[ заявил,](https://www.kommersant.ru/doc/8688718?tg) что Ереван заинтересован в сохранении и развитии партнерских отношений с Россией.

▪ Дональд Трамп [заявил](https://www.kommersant.ru/doc/8688726?tg) о возможном принятии завтра решения по Ирану.

▪ В Чехии [предложили](https://www.kommersant.ru/doc/8688730?tg) отключить Россию от интернета для принуждения к переговорам.

▪ Конференция по ДНЯО третий раз подряд [не смогла принять](https://www.kommersant.ru/doc/8688699?tg) итоговый документ.

▪ Бывшего сенатора Василия Думу [арестовали](https://www.kommersant.ru/doc/8688682?tg) по делу экс-адвоката Майкла Калви.

▪ При взрыве газа на угольной шахте в провинции Шаньси на севере Китая [погибли](https://www.kommersant.ru/doc/8688603?tg) 90 человек. 

#главноеквечеру",10869,13,
107898,2026-05-23T18:39:09+00:00,"**Глава МИД Армении Арарат Мирзоян заявил, что Ереван заинтересован в сохранении и развитии партнерских отношений с Россией. **Так он [прокомментировал](https://www.kommersant.ru/doc/8688718?tg) заявления российских политиков о возможном дрейфе Армении в сторону ЕС и ухудшении двусторонних связей.

По его словам, развитие сотрудничества Армении с США и Евросоюзом не направлено против Москвы, а взаимодействие с зарубежными партнерами строится на взаимовыгодной основе.

Сегодня глава МИД РФ Сергей Лавров заявил, что Армению пытаются втянуть в антироссийский лагерь.

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",11761,24,
107897,2026-05-23T18:18:37+00:00,"🎭 26 мая на сцене Театра Маяковского пройдет перформанс «Дисциплина личности».

**Weekend** **разыгрывает пару билетов. Итоги подведут уже 25 мая. **

👉 Об условиях розыгрыша [читайте здесь](https://t.me/myweeekend/7368).

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",11918,7,
107896,2026-05-23T17:25:27+00:00,"В марте они отметили 50-летие супружеской жизни. В мае юбилей у жены. Казалось бы, что в этом удивительного? А то, что речь идет о представителях профессии, в которой подобные браки встречаются исключительно редко. Они — рок-музыканты. Шерил и Элис Купер.

Когда Элис делал Шерил предложение, это было похоже на шоу. Полвека спустя в интервью журналу Hello! она рассказывала об этом так: «Я принимала душ, и он вошел в ванную, когда я была в душе. Я завернулась в полотенце, волосы собрала в тюрбан из белого полотенца, отодвинула занавеску, а он сидел на унитазе с опущенной крышкой, полностью одетый, и выглядел очень подавленным. Я могла думать только об одном: ""Мои родители умерли?"" Он даже не смотрел на меня! А теперь представьте: я в полотенце и тюрбане сижу у него на коленях, а он на унитазе. Он говорит: ""Я долго что-то искал и не знал, что это. Сегодня, похоже, это нашел"". Конечно, я ничего этого не поняла. Я не видела кольца, он достал коробочку, открыл ее и сказал… ничего. Ничего не сказал. Я, еще вся мокрая, смотрю на это кольцо в коробочке и думаю: ""Что это?"" Я ничего не говорила. Он тоже ничего не говорил. Наконец он нарушил молчание: ""Ну, мне кажется, кто-то обручился""».

❤️ **Любовная рок-история Куперов — **[**в материале «Ъ».**](https://www.kommersant.ru/doc/8655784?tg)

__📷____ Nick Ut / AP__

▪ [Подписывайтесь на «Ъ» в MAX |](https://max.ru/kommersant) [в Telegram](https://t.me/+bPtk49gFbCBkYzdi)",13940,55,
