id,date,text,views,forwards,replies
14921,2026-05-23T13:00:53+00:00,,869,6,
14920,2026-05-23T13:00:53+00:00,,865,6,
14919,2026-05-23T13:00:53+00:00,,863,6,
14918,2026-05-23T13:00:53+00:00,,828,6,
14917,2026-05-23T13:00:53+00:00,,830,6,
14916,2026-05-23T13:00:53+00:00,,826,6,
14915,2026-05-23T13:00:53+00:00,"🩺** ****#ПростыеПравила****: Как обеспечить здоровье щитовидной железы? **

Об этом рассказала эндокринолог НМИЦ «Лечебно-реабилитационный центр» Минздрава России Анастасия Артемьева.

🤔 Щитовидная железа — это орган, вырабатывающий жизненно важные гормоны (тироксин и трийодтиронин), которые:

▫️ регулируют скорость обмена веществ;
▫️ контролируют сердечный ритм и кровяное давление;
▫️ влияют на функции мозга, нервной системы;
▫️ участвуют в процессах роста и развития детей;
▫️ обеспечивают репродуктивную функцию.

__— Нарушения в работе щитовидной железы могут привести к серьезным последствиям для здоровья — от нарушений обмена веществ до когнитивных проблем, — заявила эксперт.__

❗️ Йод — ключевой микроэлемент, необходимый для синтеза гормонов щитовидной железы. Чтобы его достаточное поступление, важно соблюдать простые правила:

1️⃣ Используйте йодированную соль: храните ее в закрытой непрозрачной таре и добавляйте в блюдо после приготовления.
2️⃣ Ешьте продукты, богатые йодом: морепродукты, морскую капусту, молочные продукты, яйца.

Видимое увеличение шеи в области щитовидной железы, изменение веса, повышенная утомляемость, непереносимость холода или жары, изменения сердечного ритма, нарушения менструального цикла, выпадение волос — симптомы, которые могут указывать на нарушения в работе органа.

👩🏻‍⚕️ В таких случаях необходимо обратиться к врачу.

О полезных привычках смотрите на сайте ➡️ [ТакЗдорово](https://www.takzdorovo.ru/)

💬 [Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)",805,7,1
14914,2026-05-23T06:00:27+00:00,"🖥 **Успейте подать заявку на Международную Премию ****#МЫВМЕСТЕ**

Международная Премия #МЫВМЕСТЕ — главная премия социальных проектов, реализуемая при поддержке Президента. 

Ее цель — признание и поддержка лидеров общественно значимых инициатив, направленных на помощь людям и повышение качества жизни в России

В 2026 году заявки принимаются по четырем направлениям:

1️⃣ Категория «Личность»

Для граждан РФ старше 18 лет, занимающихся меценатством, волонтёрством, наставничеством или руководящих НКО.

Номинации:

▫️ «Волонтёр года» — за вклад в волонтёрское движение и помощь людям (18+);
▫️ «Наставник года» — за достижения в наставничестве (21+);
▫️ «Лидер НКО» — за эффективное управление НКО и развитие гражданского общества (21+).

2️⃣ Категория «НКО и проекты»

Для НКО, госучреждений и общественных объединений (от 14 лет), реализующих значимые социальные проекты.

Номинации:

▫️ «Устойчивое будущее» — экология, охрана природы, технологии реагирования;
▫️ «Герои нашего времени» — поддержка СВО, ветеранов, жителей исторических территорий;
▫️ «Поколение добра» — проекты подростков от 14 до 17 лет;
▫️ «Страна возможностей» — развитие образования, спорта, добровольчества, науки, культуры;
▫️ «Код милосердия» — защита прав человека, помощь уязвимым группам, пропаганда ЗОЖ, донорства, здравоохранение.

3️⃣ Категория «Компании»

Для МСП и крупного бизнеса, реализующих проекты КСО и устойчивого развития.

Номинации:

▫️ «Лидер социальных изменений. Крупный бизнес»;
▫️ «Лидер социальных изменений. МСП».

4️⃣ Категория «Территория»

Для регионов и муниципалитетов, поддерживающих НКО и добровольчество.

Номинации:

▫️ «Муниципальные образования и моногорода»;
▫️ «Субъекты Российской Федерации».

✅ В 6 сезоне премии появилась также специальная номинация «Сила единства», посвящённая Году единства народов России.
 
Подавайте свои проекты на Международную премию #МЫВМЕСТЕ в 2026 году! 

Заявки принимаются на сайте ➡️ премия.мывместе.рф до 24 мая

💬 [Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)",1048,7,1
14913,2026-05-22T16:01:57+00:00,"🩺 **Михаил Мурашко: В сфере общественного здоровья ключевые задачи стран СНГ — профилактика инфекций и расширение охвата вакцинацией**

Об этом сообщил министр здравоохранения РФ Михаил Мурашко на 60 сессии Межпарламентской ассамблеи СНГ.
__
— В сфере общественного здоровья наши ключевые задачи — профилактика инфекций и расширение охвата вакцинацией — это направление максимально актуально, — подчеркнул он.__

➡️ Он добавил, что не менее значима борьба с неинфекционными заболеваниями через ограничение потребления алкоголя, табака, соли, сахаромодержащих продуктов.

Михаил Мурашко поблагодарил присутствующих на заседании руководителей законодательных органов стран СНГ за законы по борьбе с социально-вредными привычками и поддержке здорового образа жизни.
__
— Эти инициативы критически важны для гармонизации нашего законодательства в сфере общественного здоровья, — уточнил он.__

✅ Также поддержана актуализация Стратегии «Здоровье населения государств — участников СНГ». В рамках этой работы в марте прошло заседание межгосударственной Сети институтов организации и информатизации здравоохранения, посвященное продвижению здорового питания.

__— Делегаты Армении, Беларуси, Казахстана, Кыргызстана, России, Таджикистана, Узбекистана предметно обсудили подходы к маркировке продуктов, налогообложению сладких напитков и ограничению их маркетинга, — отметил Михаил Мурашко.__

🖥 Со своей стороны, Минздрав России развивает официальный портал Takzdorovo.ru. Это единое, экспертное информационное пространство, транслирующее достоверные знания о здоровье на понятном гражданам языке. 

__— На сайте открыт специальный раздел «Здоровое питание» с правилами составления рациона, калькулятором калорий и видеорецептами полезных блюд, — сообщил глава Минздрава России.__

📋 Министр добавил, что ожирение —  ещё один серьёзный вызов для здоровья населения стран СНГ.

__— Сегодня в рамках борьбы с этим тяжелым недугом на базе НМИЦ эндокринологии им. ак. И.И. Дедова Минздрава России также созданы специальные подразделения, которые методологически и терапевтически оказывают медицинскую помощь, помогая избежать многим пациентам инфарктов, инсультов, злокачественных новообразований, — заключил он.__

💬 [Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)

#ЗдоровьеВПриоритете
#МеждународноеСотрудничество",1282,8,0
14912,2026-05-22T14:03:36+00:00,"🌐 **Михаил Мурашко: Минздрав России видит в сети базовых организаций СНГ мощный инструмент профессиональной кооперации**

Об этом сообщил министр здравоохранения РФ Михаил Мурашко на 60 сессии Межпарламентской ассамблеи СНГ.

__— Минздрав России видит в сети базовых организаций СНГ мощный инструмент профессиональной кооперации. Они консолидируют лучшие компетенции и формируют единое экспертное поле, — подчеркнул он.__

➡️ В частности, уже состоялись запланированные заседания общественных советов базовых организаций в области детской травматологии и ортопедии (на базе НМИЦ детской травматологии и ортопедии им. Г.И. Турнера Минздрава России), а также в сфере терапии и профилактической медицины (на базе НМИЦ терапии и профилактической медицины Минздрава России).

Министр добавил, что сегодня также принято решение о развитии сотрудничества по профилю гематология на базе НМИЦ гематологии Минздрава России.

__— Этот центр — уникальный в мире, который, так же как и НМИЦ детской гематологии, онкологии и иммунологии им. Д. Рогачева Минздрава России, достигает излечиваемости при онкогематологических заболеваниях более 92%, — уточнил Михаил Мурашко.__

Глава Минздрава России подчеркнул, что, в целом, российская медицина 
востребована среди пациентов из других стран.

__— В 2025 году рост числа иностранных пациентов, желающих лечиться в нашей стране, составил более 25%. Также развитие наших технологий позволило  значимо увеличить экспорт медицинской продукции, — заключил он.__

💬 [Получить MAXимум пользы для здоровья](https://max.ru/minzdrav_ru)

#МеждународноеСотрудничество",1338,8,0
