id,date,text,views,forwards,replies
55808,2026-05-23T15:31:15+00:00,"🌻 Жителей и гостей столицы приглашают на аудиоэкскурсии на электромобилях по музею-заповеднику «Коломенское». 

✍️ [Маршрут № 1](https://tickets.mgomz.ru/event/DF01F04AD76F568CCB08D45835FAD0925691C502/2026-05-24) проходит от Спасских ворот вдоль Конюшенного двора и Голосова оврага к дворцу царя Алексея Михайловича.

✍️ [Маршрут № 1а](https://tickets.mgomz.ru/event/B039A8AF188B5F6689DB1A9540BF3A288A7316E7/2026-05-24) построен в обратном направлении — от дворца царя Алексея Михайловича вдоль Голосова оврага и Конюшенного двора к Спасским воротам.

✍️ [Маршрут № 3](https://tickets.mgomz.ru/event/11F5DAAB8365D551E4C49E444B58DA2354A60EDF/2026-05-24) знакомит посетителей с территорией села Дьяково, церковью Усекновения Главы Иоанна Предтечи и Дьяковским садом.

✍️ [Маршрут № 4](https://tickets.mgomz.ru/event/1B42BEAB509275DEA29629005DC1E3772C06D52A/2026-05-27) начинается у Спасских ворот и объединяет сразу несколько достопримечательностей: усадьбы коломенского крестьянина и кузнеца, проездные ворота Николо-Корельского монастыря и другие памятники архитектуры.",2377,29,
55807,2026-05-23T15:03:34+00:00,"💪 **Москвичей приглашают на тренировки по оздоровительной гимнастике. **Записаться на них можно [по ссылке.](https://sport.mos.ru/sections) Занятия проходят в бесплатных секциях на разных городских площадках. 

📍 Спортивный комплекс «Атлант»
(улица Большая Косинская, дом 5а)

📍 Спортивный комплекс «Одиссей»
(улица Молостовых, дом 10д)

📍 Спортивный комплекс «Эдельвейс»
(улица Уральская, дом 19а)

📍 Физкультурно-оздоровительный комплекс «Семья»
(улица Покрышкина, дом 3)

📍 Спортивный комплекс «Солнечный»
(улица 50 лет Октября, дом 2г)

Еще больше локаций — [по ссылке.](https://www.mos.ru/news/item/170330073/?)

😃 «Город Москва» в [МАКС](https://max.ru/mosru) и [Telegram](https://t.me/mosrutop)",2255,14,
55806,2026-05-23T14:34:18+00:00,"😃😃  **7 дней до старта**[** проекта «Лето в Москве»**](https://leto.mos.ru/)

Совсем скоро мы возвращаемся, а значит, впереди месяцы фестивалей, концертов, спорта, кино под открытым небом и прогулок до ночи. Весь город снова станет одной большой площадкой для отдыха, встреч и ярких эмоций.

**Стартуем уже 30 мая.** Готовься прожить это лето громко!

😃 Подписывайся на самые летние каналы в [МАКС ](https://max.ru/moscowfests)и [Telegram.](https://t.me/moscowfests)",1860,7,
55805,2026-05-23T14:04:42+00:00,,2127,11,
55804,2026-05-23T14:04:42+00:00,,2159,11,
55803,2026-05-23T14:04:42+00:00,"🐒 **В Московском зоопарке 9 апреля родился **[**детеныш капуцина-плаксы**](https://www.mos.ru/news/item/170338073/)** — это небольшая цепкохвостая обезьяна. **Родителями стали Нори и Матрос. Малыш чувствует себя хорошо и проводит большую часть времени на спине матери. 

Пол животного пока неизвестен. Его определят через несколько месяцев, когда детеныш начнет передвигаться самостоятельно.

😃 «Город Москва» в [МАКС](https://max.ru/mosru) и [Telegram](https://t.me/mosrutop)",2021,11,
55802,2026-05-23T13:02:57+00:00,,2776,24,
55801,2026-05-23T13:02:57+00:00,,2776,24,
55800,2026-05-23T13:02:57+00:00,"😃 **В июне в рамках проекта «Лето в Москве» на ВДНХ пройдет **[**второй иммерсивный фестиваль «Шереметев-фест».**](https://www.mos.ru/news/item/170365073/)** **Он приурочен к 275-летию со дня рождения графа Николая Шереметева. В программе:

😃 театральные и музыкальные мероприятия
😃 лекции о моде, парфюмерии и прическах эпохи ампира
😃 мастер-классы по каллиграфии, акварельным зарисовкам, составлению гербариев и созданию свечей
😃 исторические реконструкции
😃 иммерсивные экскурсии
😃 народные игры
😃 выставки и тематические пространства
😃 шоу спецэффектов
😃 интерактивный квест

😃 27 и 28 июня
😃 Парк «Останкино»

😃 «Город Москва» в [МАКС](https://max.ru/mosru) и [Telegram](https://t.me/mosrutop)",2583,24,
55799,2026-05-23T12:32:05+00:00,"🍓 **На московских ярмарках появилась **[**первая в этом сезоне клубника**](https://www.mos.ru/news/item/170374073/)**! **Ягоду привозят из Ростовской, Нижегородской и Липецкой областей, а также Дагестана, со Ставрополья и из Краснодарского края. Адреса и режим работы площадок можно найти [на сайте](https://www.mos.ru/city/projects/yarmarki/).

🐭 «Город Москва» в [МАКС](https://max.ru/mosru) и [Telegram](https://t.me/mosrutop)",2716,9,
