id,date,text,views,forwards,replies
31033,2026-05-23T06:09:18+00:00,"Отгадайте заголовок новости этой недели по его эмодзи переводу

🕷️🧑‍🔬✔️✍️ 🙂🕷️➡️🌄

#субботнийребус",3476,9,15
31032,2026-05-23T05:44:22+00:00,"Пережившая уже вторую модернизацию обновленная сверхтяжелая ракета Starship успешно [слетала](https://nplus1.ru/news/2026/05/23/starship-12-end) в космос. Несмотря на проблемы с двигателями обеих ступеней, вторая ступень развернула полезную нагрузку, а заодно пережила возвращение в атмосферу и смогла приводниться в океане

#Космонавтика | *3.5",3733,14,0
31030,2026-05-22T18:46:30+00:00,"Чпок

#заголовокдня",4919,25,1
31029,2026-05-22T17:10:19+00:00,"Вы абсолютно правы — __N + 1__ самое лучшее издание о науке в мире!
 
Узнаете? Это классический ответ подхалимской нейросети, которая говорит то, что вы хотите услышать.
 
Нам кажется, что если попросить ИИ-ассистента отыгрывать роль — человека с нужными навыками и бэкграундом или, наоборот, без них, — ответы станут более точными. Но исследования показывают обратное: «золотое правило промптинга» не работает. 
 
В новом выпуске блога о том, как ИИ меняет мышление, когнитивный психолог Ксения Лужнова [рассказывает](https://nplus1.ru/blog/2026/05/22/ai-anthropomorphization), почему наш мозг упорно видит в чат-ботах живых собеседников и к чему приводит их излишнее дружелюбие
 
#Психология | *3.4

🙄 [**Подпишитесь на N + 1**](https://t.me/nplusone)",4925,33,0
31028,2026-05-22T16:20:18+00:00,"**Инженеры из Швейцарии разработали контроллер для экскаваторов, который может автоматически копать и выравнивать поверхность с высокой точностью даже при глубоком погружении ковша в грунт.** 

При этом алгоритм легко переносится на экскаваторы с различными типами гидравлических систем.

Алгоритм [протестировали](https://nplus1.ru/news/2026/05/22/high-precision-hydraulic-excavator) на одиннадцатитонном колесном экскаваторе Menzi Muck M445 и 25-тонном гусеничном экскаваторе CASE250. Роботы должны были снять слой уплотненного песка на глубину от двух до сорока сантиметров и сформировать ровную площадку без участия человека. Лучший результат по точности достигнут на легком экскаваторе Menzi Muck M445. Для него алгоритм показал среднеквадратичную ошибку отклонения кромки ковша от целевой поверхности всего 1,4 сантиметра и максимальное отклонение четыре сантиметра. При действиях без нагрузки ошибка была еще меньше — экскаватор, например, смог открыть с помощью ковша бутылку, не повредив ее

#Роботы | *2.4

🙄 [**Подпишитесь на N + 1**](https://t.me/nplusone)",4453,29,7
31027,2026-05-22T15:35:14+00:00,"**В Алтайском крае впервые добыли шакала.**

Обыкновенные шакалы постепенно заселяют Алтайский край, и в последние годы эти псовые стали изредка появляться на юге региона, куда они приходят из Казахстана. Например, недавно одиночного шакала [начали замечать](https://nplus1.ru/news/2026/05/22/canis-aureus-siberia) в одном из сел Угловского района. Местные жители были обеспокоены появлением незнакомого им хищника вблизи человеческого жилья, поэтому по их просьбе его застрелили специалисты охотничьего хозяйства. Это первый случай, когда обыкновенного шакала добыли на территории Алтайского края. Добытая особь оказалась довольно крупной и, судя по износу зубов, взрослой. О том, была она самцом или самкой, не сообщается. Таксидермисты сделали из нее чучело, которое в середине мая выставили в Музее природы Алтайского государственного университета

#Зоология | #Экология | *1.8

🙄 [**Подпишитесь на N + 1**](https://t.me/nplusone)",4331,37,4
31026,2026-05-22T14:40:16+00:00,"**Более 1,1 миллиарда людей пострадали от психических расстройств в 2023 году во всем мире**.

Коллаборация Глобального бремени болезней [обновила](https://nplus1.ru/news/2026/05/22/burden-of-mental-disorders) данные по распространенности психических расстройств за период с 1990 по 2023 год. В 2023 году во всем мире проживали 1,17 миллиарда человек с психическими расстройствами, из них 620 миллионов случаев приходились на женщин. По сравнению с 1990 годом рост числа случаев составил 95,5 процента. Наиболее распространенными психическими расстройствами стали тревожные и депрессивные расстройства.

Стандартизированный по возрасту показатель распространенности психических расстройств в 2023 году составил 14210,7 на 100 тысяч человек, а рост с 1990 года достиг 24,2 процента. Примечательно, что за этот период значительно снизилась распространенность интеллектуальной недостаточности

#Медицина | *2.4

🙄 [**Подпишитесь на N + 1**](https://t.me/nplusone)",4466,60,2
31025,2026-05-22T13:50:17+00:00,"**Белок мышечной работы защитил нейроны при рассеянном склерозе.**

Считается, что аэробные упражнения облегчают течение и тормозят развитие рассеянного склероза. Точные механизмы такого эффекта неизвестны, однако все большее внимание уделяется иризину. Чтобы выяснить, насколько он опосредует полезный эффект от физических нагрузок на течение рассеянного склероза, исследователи [провели](https://nplus1.ru/news/2026/05/22/irisin-neuroprotective-effects) серию экспериментов in vivo. Мышей с нокаутом гена иризина и мышей из контрольной группы заставляли бегать в колесе ежедневно в течение восьми недель. После этого у них смоделировали аутоиммунный энцефаломиелит. Выяснилось, что у мышей без нокаута гена иризина бег значительно облегчил воспаление и течение заболевания, а у мышей без иризина заболевание протекало намного тяжелее

#Медицина | *3.8

🙄 [**Подпишитесь на N + 1**](https://t.me/nplusone)",4378,50,0
31024,2026-05-22T13:03:43+00:00,,4427,42,
31023,2026-05-22T13:03:43+00:00,,4734,41,
