id,date,text,views,forwards,replies
41722,2026-05-23T14:58:28+00:00,"**#Дайджест**** главных «Тем дня» этой недели.** 

Если вы пропустили выпуски — рассказываем, что произошло.

• **Удары по Москве.** В ночь на 17 мая Москва и Подмосковье пережили крупнейшую атаку дронов с начала войны: под ударом оказались НПЗ, промышленные объекты и жилые дома. __Обсуждаем с военным аналитиком Яном Матвеевым, почему ПВО не смогла защитить столицу — __[__смотреть__](https://youtu.be/WzTOeCv_Dg8)__
__
• **Денег на войну больше нет.** Коммунист Ренат Сулейманов заявил, что экономика России не выдержит затяжного конфликта, а оборонный сектор уже поглощает 40% бюджета. __Разбираем с Аббасом Галлямовым, к каким последствиям приведёт эта критика — __[__смотреть__](https://youtu.be/ojmqcmCe3sQ)__
__
• **Дюжев идёт в Госдуму.** Актёр Дмитрий Дюжев подал заявку на праймериз «Единой России» и сделал войну главной темой своей программы. __Обсуждаем с Дмитрием Низовцевым, зачем Кремлю нужны такие кандидаты — __[__смотреть__](https://youtu.be/ZxUOBH_R8ik)__
__
• **Визит Путина в Китай.** Несмотря на громкие заявления и пышный приём, Москва и Пекин так и не объявили о крупных сделках, включая «Силу Сибири–2». __Разбираем итоги поездки с Максимом Блантом — __[__смотреть__](https://youtu.be/6ExjusLvmV8)

• **Щербаков поддержал «СВО».** Комик Алексей Щербаков провёл благотворительный концерт в Воронежской области, пообещав отправить выручку в фонд, помогающий семьям военных. __Обсуждаем с Александром Макашенцем, почему российские комики всё чаще идут на уступки власти — __[__смотреть__](https://youtu.be/p9wvFzzDGlM)__
__
**💙**** Поддержите выход новых выпусков «Тем дня» на ****friends.politica.media**

__🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1151,1,0
41721,2026-05-23T08:11:48+00:00,"❗️**ПОГИБЛИ И РАНЕНЫ 100 СОТРУДНИКОВ ФСБ | ПРОВАЛ ПВО НАД МОСКВОЙ | КОНТРНАСТУПЛЕНИЕ НА ЮГЕ**

Военное положение: https://youtu.be/zNa2KP_CPn4

ПВО Москвы не смогла справиться с крупнейшим налётом на столицу — дроны ударили по заводам, нефтебазе и жилым домам. Наступление ВСУ на юге привело к освобождению ключевого посёлка, в то время как беспилотники в тылу атаковали не только логистику, но и ключевые штабы и центры подготовки дроноводов. Дроноводы погибают на фронте так же часто, как и артиллеристы. Потери на передовой растут, а Путин пытается компенсировать неудачи в войне новым ядерным шантажом.
__
🚫 Не работает YouTube? Используйте __[__@rosvpnbot__](http://t.me/rosvpnbot?start=tg_pp)__**
**
____🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1966,6,7
41720,2026-05-22T16:06:02+00:00,"❗️❕‼️🟥🟧** Новые угрозы Путина | Крупная коммунальная авария в Хакасии | Баллы к ЕГЭ за дроны**

Итоги дня: https://youtu.be/ZFtSwKd5THo

В Центробанке прокомментировали рынок жилья — цены высокие, льготной ипотеки становится всё меньше. Путин угрожает ответными обстрелами после удара по общежитию в оккупированном Старобельске. А школьникам хотят давать дополнительные баллы к ЕГЭ за управление беспилотниками.

__🚫 Не работает YouTube? Используйте __[__@rosvpnbot__](http://t.me/rosvpnbot?start=tg_pp)__
__
__🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",2252,3,1
41719,2026-05-22T14:46:32+00:00,,,,
41718,2026-05-22T14:32:01+00:00,"**❗️****  Скандал! Сын Плющенко стал азербайджанцем**

Смотреть: https://youtu.be/ijqX3txcSQY

13-летний фигурист Александр Плющенко, более известный как Гном Гномыч, получил открепление от российской Федерации фигурного катания и теперь будет выступать за сборную Азербайджана. Решение выглядит особенно примечательно на фоне позиции его отца Евгения Плющенко — доверенного лица Путина и активного сторонника войны, который ранее публично обещал отговаривать молодых спортсменов от смены гражданства. 

Почему поклонник Путина выбрал международную карьеру под чужим флагом для своего сына и какое будущее у российского спорта — обсудили с журналистом Михаилом Поленовым.
__
🚫 Не работает YouTube? Используйте __[__@rosvpnbot__](http://t.me/rosvpnbot?start=tg_pp)__**
**
____🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",2059,6,3
41717,2026-05-22T14:01:53+00:00,,,,
41716,2026-05-22T13:31:38+00:00,"**▪️****▫️****◾️****◽️****◼️****◻️****🔳****  В 17:00: Честное слово с Сергеем Бойко**

Включайте трансляцию в нашем Telegram-канале или на YouTube: https://youtube.com/live/UFE6Pp8HUnE

__🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1807,3,0
41715,2026-05-22T13:30:39+00:00,"**❗️****  Новый кризис! Бензина не хватает по всей стране**

Смотреть: https://youtu.be/zN12f6dps3U

В России разгорается бензиновый кризис, и первыми с дефицитом столкнулись жители аннексированного Севастополя. Из-за логистических сложностей местные власти ввели жёсткие лимиты: на заправках крупнейшей отпускают не более 20 литров бензина в одни руки, а дизельное топливо и вовсе начали выдавать по талонам. Ограничения вводятся на фоне непрекращающихся ударов ВСУ по российским НПЗ.

Грозит ли России масштабная нехватка топлива и какие регионы окажутся следующими в очереди на ограничения — обсудили с экономистом Вячеславом Ширяевым.
__
🚫 Не работает YouTube? Используйте __[__@rosvpnbot__](http://t.me/rosvpnbot?start=tg_pp)__**
**
____🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1700,4,0
41714,2026-05-22T12:22:45+00:00,"**❗️****  КАМАЗ на грани. У крупнейшего автозавода нет денег**

Смотреть: https://youtu.be/UyQ5dW6FH-4

На автомобильном заводе «КАМАЗа» в Набережных Челнах начались массовые сокращения и урезание зарплат. По словам сотрудников, проблемы уже коснулись около двух тысяч человек: персонал переводят на менее оплачиваемые должности, сокращают оклады из-за простоя, а с июня планируют ввести четырёхдневную рабочую неделю. Всё это происходит на фоне рекордного убытка автогиганта впервые за последние шесть лет. 

Что привело к падению спроса на отечественную технику и какое будущее ждёт «КАМАЗ» — обсудили с экономистом Владиславом Жуковским.
__
🚫 Не работает YouTube? Используйте __[__@rosvpnbot__](http://t.me/rosvpnbot?start=tg_pp)__**
**
____🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1780,8,0
41713,2026-05-22T10:32:20+00:00,"❗️❕‼️🟥**🟧****БЛОКИРОВКУ VPN ПЕРЕНЕСЛИ ДО ВЫБОРОВ | УДАР ПО УЧИЛИЩУ | БАНКРОТОВ СТАНОВИТСЯ БОЛЬШЕ**

Смотреть: https://youtu.be/rlT54swwSc4**__
__**
Бывшего губернатора Белгородской области Вячеслава Гладкова назначат послом в Абхазию. Власти отложили введение доплаты за VPN-трафик до выборов в Госдуму. А Дональд Трамп заявил об отправке в Польшу дополнительных войск США.

__🚫 Не работает YouTube? Используйте __[__@rosvpnbot__](http://t.me/rosvpnbot?start=tg_pp)

__🦙____ __[Популярная политика](http://t.me/politica_media)__ __| [Поддержать](http://donate.fbk.info/smm)",1831,2,0
