id,date,text,views,forwards,replies
4756,2026-05-23T06:09:01+00:00,"🎙[Константин Анохин:](https://yt.openinapp.co/0fqpj) проблема сознания, природа «Я» и парадоксальная ясность | Мыслить как ученый #53

[📝](https://postnauka.org/longreads/158038)[Новая физика:](https://postnauka.org/talks/158041) почему Стандартная модель по-прежнему работает и что остается главной загадкой в поисках новой физики

📝[Медицина без таблеток:](http://postnauka.org/talks/158035) главные сюжеты о digital health, нейроинтерфейсах и новой логике здравоохранения

[📝](https://postnauka.org/longreads/158038)[Можно ли делать науку при диктатуре:](https://postnauka.org/longreads/158039) как авторитарные режимы ограничивают науку и создают для нее особые условия

[📝Как научная экспертиза становится карьерным преимуществом:](https://postnauka.org/longreads/158038) Валерия Коган о переходе из академии в индустрию

[📝](https://postnauka.org/longreads/158038)[Теория когнитома:](https://postnauka.org/chapters/158042) фрагмент из книги «Мозг и его “Я”. Кто мы? Откуда мы? Куда мы идем?»

[📝](https://postnauka.org/longreads/158038)[Трансплантация костного мозга и реакции отторжения:](https://postnauka.org/chapters/158040) фрагмент из книги «История нашей крови»

[📝](https://postnauka.org/longreads/158038)[Искусственный интеллект и сингулярность: ](https://postnauka.org/chapters/158043)фрагмент из книги «Искусственный интеллект: Краткая история будущего»

📝[5 фактов о времени:](http://postnauka.org/lists/158036) почему у времени сразу несколько измерений

[📝5 фактов о цвете:](http://postnauka.org/lists/158044) почему цвет нельзя свести ни к свету, ни к глазу, ни к культуре

 #PNweekly",788,8,0
4755,2026-05-22T15:42:01+00:00,"Антитела бывают не только естественного происхождения, их **можно синтезировать в лаборатории **— это так называемые моноклональные антитела, которые используются в частности при недостаточном собственном антительном ответе. Моноклональные антитела специфичны: они **работают против конкретных штаммов того или иного патогена.** Поэтому с появлением новых циркулирующих вариантов эти препараты необходимо обновлять и повторно вводить в организм.

**Как устроен иммунитет, бывает ли он слабым, что такое иммунодефициты и избыток иммунного ответа? **Об этом у ПостНаука.Specials есть образовательный гид, который мы создали вместе с одним из наших партнеров! Материал доступен на странице со спецпроектами: https://postnauka.org/specials.

#PNspecials",1059,3,0
4754,2026-05-22T06:58:01+00:00,"В Международный день биологического разнообразия напоминаем, что **биоразнообразие — это запас прочности биоценозов. **Если его не будет, то постоянно возникающие изменения приведут к массовой потере устойчивости сложных биологических систем, состоящих из бактерий, вирусов, грибов, растений, простейших, членистоногих, птиц, зверей и людей. **Потеря каждого вида означает потерю шансов,** которые нам могут понадобиться во времена резкого изменения климата или иных чрезвычайных обстоятельств.

__Гид по биологическим угрозам современности: ____https://postnauka.org/guides/99655__",1187,7,0
4753,2026-05-21T16:39:01+00:00,"Физическое время одинаково для всех, но **субъективное время не обязано совпадать ни с часами, ни с самим собой на одних и тех же масштабах**. За восприятие микроинтервалов и длительных периодов отвечают разные биологические механизмы. В оценке коротких интервалов заметную роль играют серотонинергическая и дофаминергическая системы, а генетические различия в их работе могут влиять на то, насколько быстро для человека «сжимается» уже прошедшее мгновение. **В экспериментах с оценкой длительности стимулов люди образуют континуум:** для одних первый интервал субъективно укорачивается сильнее, для других — слабее.

То, что в быту выглядит как **пунктуальность, медлительность, неумение ждать** или, наоборот, терпеливость, может частично опираться на то, как человек переживает само течение интервала.

**5 фактов о времени: **https://postnauka.org/lists/158036",1369,31,0
4752,2026-05-21T10:33:54+00:00,"**22 мая расскажет Ивар Максутов на вебинаре ПостНауки и Naukka Talents!**

Зачем STEM-специалисту нужен личный бренд? Как стать заметным на международном рынке? Какие ошибки могут помешать? **Разберем уже завтра: ****https://luma.com/4ysra6qc**

**Вебинар доступен только участникам программы Naukka Talents.** [Регистрируйтесь на платформе](https://talents.naukka.com/candidateportal?register=true), чтобы присоединиться.",1351,2,0
4751,2026-05-21T06:14:01+00:00,"Если память, речь и способность узнавать близких были утрачены из-за тяжёлого повреждения мозга, почему они возвращаются в последние часы жизни?

**Нейробиолог Константин Анохин считает, что сознание нельзя считать «непознаваемой тайной». **Но феномены вроде предсмертной ясности показывают, что до ответа на вопрос о природе сознания наука всё ещё очень далека.

**Говорим о загадке сознания в новом подкасте:** https://youtu.be/R6LDXk_RUQQ

__Слушать на других платформах: __[__https://postnauka.org/link/linktr__](https://dzen.ru/away?to=https%3A%2F%2Fpostnauka.org%2Flink%2Flinktr)",1527,26,0
4750,2026-05-20T17:16:18+00:00,"Коммунистическая партия Китая — одна из крупнейших партий в мире. Кроме того, она **входит в число старейших, находящихся у власти бессменно. **В случае с Китаем этот срок насчитывает **77 лет **— к власти в Китае Компартия пришла в 1949 году и с тех пор её не оставляла. Даже бурные события рубежа 1980–90-х, когда рухнул так называемый «соцлагерь», Компартия смогла пройти без потерь рычагов управления ситуацией в стране.

**Ликбез по современной политической системе Китая **— в одном из уроков курса Академии ПостНауки «Китай: филиал будущего на Земле»: https://postnauka.org/link/china_tg",1894,19,1
4749,2026-05-20T06:36:04+00:00,"Кажется, достаточно взять LLM, **дать ей доступ к статьям и лабораторным данным**, и получится цифровой ученый. Языковая модель умеет продолжать текст и искать паттерны в больших корпусах, но **научная работа устроена сложнее.**

Между хорошим текстовым ассистентом и системой, которая способна двигаться по исследовательскому пространству, лежит **промежуточный слой**. Туда входят инструменты для работы с данными, процедуры проверки, способы извлечения сущностей из научных публикаций, механизмы сравнения моделей, эвристики, позволяющие отсеивать слабые гипотезы, а **главное — способность сохранять объяснимость пути**, по которому система пришла к следующему шагу. Такой алгоритм может проследить, на какие статьи, методы и результаты опирается новый ход рассуждения, а значит, с ним могут спорить живые ученые, что для науки является вопросом профессиональной выживаемости.
**
Как AI входит в науку и меняет представление о том, что значит исследовать мир: **https://postnauka.org/longreads/158013",1637,14,0
4748,2026-05-19T13:05:58+00:00,"Сознание — это всё, что у нас есть. В тот момент, когда мы его теряем, мы перестаём существовать. Но что такое сознание? Откуда берётся «я»? Почему умирающий мозг иногда обретает ясность в последние часы жизни?
**
Два часа разговора о природе науки и загадках сознания с нейробиологом, доктором медицинских наук Константином Анохиным: **https://youtu.be/R6LDXk_RUQQ",1731,36,1
4747,2026-05-19T06:26:01+00:00,"Всплеск инфекций после пандемии, возвращение коклюша и ощущение, что болеть им стали чаще и тяжелее, обычно объясняют выражением «иммунный долг». **Насколько это корректный научный термин и почему именно корь и коклюш «выстрелили» в период снятия ограничений после COVID-19? 
**
Разбираем с педиатром-инфекционистом Иваном Коноваловым: https://postnauka.org/talks/158027",1789,15,0
