id,date,text,views,forwards,replies
149753,2026-05-23T20:00:34+00:00,"**Главные новости к вечеру 23 мая. Кратко:**

▪«Минотавр» Звягинцева [получил](https://t.me/rbc_news/149752) Гран-при Каннского кинофестиваля. 

▪ Посольство США в Киеве [предупредило](https://t.me/rbc_news/149751) своих граждан о риске воздушной атаки. 

▪ Дональд Трамп [примет](https://t.me/rbc_news/149744) решение о возобновлении войны с Ираном после встречи с американскими переговорщиками в субботу, 23 мая.

▪ Число погибших при атаке ВСУ на колледж в Старобельске [выросло](https://t.me/rbc_news/149737) до 18. 

▪️Сотни клиентов крупнейшей сети «бумажного НДС» [вызвали](https://t.me/rbc_news/149715) в налоговую. 

▪ В Бухаресте из-за Макса Коржа [ввели](https://t.me/rbc_news/149745) меры безопасности уровня саммита НАТО. 

🐚 Больше новостных дайджестов — в нашем [**канале в «Максе**](https://max.ru/rbc)**».**",23043,24,
149752,2026-05-23T19:42:18+00:00,"**Фильм режиссера Андрея Звягинцева «Минотавр» получил Гран-при Каннского кинофестиваля. 

**Это** **первая полнометражная работа Звягинцева почти за десять лет. Сюжет основан на картине Клода Шаброля «Неверная жена» (1968). Он повествует о бизнесмене, который в 2022 году сталкивается с необходимостью предоставить в военкомат данные о сотрудниках своей компании для мобилизации и одновременно узнает об измене жены.

Сценарий Звягинцев написал вместе с Семеном Ляшенко. Съемки проходили в Латвии. В фильме снялись Дмитрий Мазуров, Ирис Лебедева, Антон Литвинов, Борис Кудрин, Юрий Завальнюк и Варвара Шмыкова.

▪️Канал РБК в **«**[**Максе**](https://max.ru/rbc)**»**
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",33605,301,
149751,2026-05-23T19:30:25+00:00,"Посольство США в Киеве сообщило, что **получило данные о возможной «серьезной воздушной атаке», которая может произойти в любой момент в ближайшие 24 часа. **Предупреждение действует для всех районов Украины, оно [опубликовано](https://www.rbc.ru/politics/23/05/2026/6a11e3839a79477f421d606c?from=short_news?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6911b3669a79476edca32bb5е) на сайте посольства.

«Посольство, как всегда, рекомендует гражданам США быть готовыми немедленно укрыться в случае объявления воздушной тревоги», — говорится в сообщении дипмиссии.

Госдеп США не рекомендует американцам посещать Украину из-за происходящих там боевых действий, стране присвоен четвертый уровень (Do not travel).

▪️Канал РБК в **«**[**Максе**](https://max.ru/rbc)**»**
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",29155,103,
149750,2026-05-23T19:01:40+00:00,"США и Иран, как ожидается, объявят о проекте мирного соглашения в воскресенье, 24 мая, днем, [сообщил](https://www.rbc.ru/politics/23/05/2026/6a11f0869a79478b4c417c30?from=short_news?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6911b3669a79476edca32bb5е) The Washington Times источник, близкий к переговорам.

По словам собеседника издания, **проект предложения был согласован рано утром в субботу, 23 мая, его представят в течение 24 часов.**

Главные переговорщики, включая спикера иранского парламента Мохаммада Багера Галибафа, вице-президента США Джей Ди Вэнса, специального посланника американского президента Стива Уиткоффа и зятя Дональда Трампа Джареда Кушнера, одобрили проект, пишет WT. Документ направлен лидерам обеих стран для окончательного утверждения.

▪️Канал РБК в **«**[**Максе**](https://max.ru/rbc)**»**
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",32984,92,
149749,2026-05-23T18:30:01+00:00,"**Реакция «выродков из Дании и Латвии» на удар по колледжу в Старобельске в ЛНР, в результате которого погибли 18 учащихся, «потрясает»**, [написал](https://www.rbc.ru/politics/23/05/2026/6a11d8869a79474ed106eddb?from=main_lines_11?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6911b3669a79476edca32bb5е) помощник президента России Владимир Мединский в телеграм-канале, имея в виду сомнения представителей Латвии и Дании в ООН в ударе.

«Мы часто бываем добросердечны, забывчивы и склонны прощать. Но только задумайтесь, что способны сделать эти люди с нами, с нашими детьми, если они победят. Задумайтесь…» — написал он.

Мединский добавил, что по школам, училищам, пионерским лагерям и детям «прицельно били только нацисты в Великую Отечественную войну». «Иных аналогий не припомню», — написал помощник президента.

▪️Канал РБК в **«**[**Максе**](https://max.ru/rbc)**»**
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",38042,122,
149748,2026-05-23T17:54:01+00:00,"Министр иностранных дел Армении Арарат Мирзоян в ответ на заявление главы МИД России Сергея Лаврова о том, что Запад стремится «растащить» союзников России и втянуть Армении в «ошибочную логику» [сказал](https://www.rbc.ru/politics/23/05/2026/6a11cc359a79474e0062542d?from=main_lines_7?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6911b3669a79476edca32bb5е), что **Ереван поддерживает партнерские отношения с разными странами. **

«Мы поддерживаем и налаживаем партнерские, в том числе стратегические отношения, с разными странами. Наши двусторонние отношения не направлены против какой-либо третьей страны. Наши стратегические отношения с США и ЕС никоим образом не направлены против России. Наши повестки публичны. Мы эффективно сотрудничаем с нашими партнерами в разных сферах», — заявил Мирзоян (цитата по «News.am»).

Он отметил, что Ереван активизирует экономические связи, укрепляет демократические институты в стране, а также делает акцент в сотрудничестве на цифровизацию, искусственный интеллект и борьбу против киберпреступлений.

▪️Канал РБК в **«**[**Максе**](https://max.ru/rbc)**»**
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",40070,40,
149747,2026-05-23T17:30:01+00:00,"**Евросоюзу следует возобновить дискуссии об использовании замороженных российских активов для финансирования Украины.** Об этом заявил министр иностранных дел Литвы Кестутис Будрис, [передает](https://www.rbc.ru/politics/23/05/2026/6a11b81c9a79475c6c99b111?from=main_lines_4?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6911b3669a79476edca32bb5е) Politico. 

По его словам, €90 млрд кредит не обеспечит долгосрочные потребности Украины, а российские активы в Европе остаются реальным ресурсом поддержки Украины» и «реальным рычагом давления, позволяющим заставить Россию вести переговоры».

Будрис отмечает, что принятие решение по кредиту отложило вопрос российских активов, однако дискуссии по их использованию должны вернуться в политическую повестку. «Я с нетерпением жду возможности обсудить это», — сказал он, добавив, что вопрос их использования «не закрыт».

▪️Канал РБК в **«**[**Максе**](https://max.ru/rbc)**»**
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",39755,59,
149746,2026-05-23T17:03:01+00:00,"**Apple в 2025 году удалила из российского App Store 1213 приложений. **Это [следует](https://www.rbc.ru/technology_and_media/23/05/2026/6a11c0f39a7947a35e5567f3?from=short_news?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6911b3669a79476edca32bb5е) из отчета компании о прозрачности работы магазина приложений. 

Приложения были удалены в рамках требования законодательства стран, в которых представлен App Store. Apple сообщила, что удаляет приложения только по требованию властей страны. Вслед за Россией больше всех приложений были удалены во Вьетнаме — 335, континентальном Китае — 196, Южной Корее  — 108 и Индии  — 54. 

В 2024 году из российского App Store удалили 171 приложение, в 2023-м — 12, в 2022-м — 7. 

▪️Канал РБК в **«**[**Максе**](https://max.ru/rbc)**»**
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",40393,97,
149745,2026-05-23T16:28:37+00:00,"**В Бухаресте из-за Макса Коржа ввели меры безопасности уровня саммита НАТО**. 

Observator News [сообщает](https://www.rbc.ru/society/23/05/2026/6a11c4e39a7947d99cd26878?from=short_news?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6911b3669a79476edca32bb5е), что 23 мая, в день концерта белорусского певца Макса Коржа, на улицах столицы Румынии дежурит около 10 тыс. полицейских, жандармов и сотрудников спецслужб. Власти боятся беспорядков и возможных провокаций. Всего на концерте ожидают около 50 тыс. зрителей, большинство из которых приедут из Молдавии, России, Белоруссии и Украины.

Издание B365 пишет, что такого уровня безопасности в Бухаресте **не вводили десятилетиями. **Концерт белорусского музыканта сравнили с саммитом НАТО 2008 года, в котором участвовали 26 глав государств и правительств.

▪️Канал РБК в **«**[**Максе**](https://max.ru/rbc)**»**
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",40992,421,
149744,2026-05-23T16:00:47+00:00,"Шансы на заключение сделки между США и Ираном или возобновление боевых действий **составляют 50 на 50**, заявил Дональд Трамп. 

«Я думаю, что произойдет одно из двух: либо я нанесу по ним удар сильнее, чем когда-либо, либо мы подпишем хорошую сделку», – сказал он в интервью Axios. 

Он добавил, что 23 мая встретится со своими переговорщиками, чтобы встретиться со своими переговорщиками и обсудить последнее мирное предложение Тегерана. Президент должен встретиться со своим спецпосланником Стивом Уиткоффом и зятем Джаредом Кушнером, к ним также может присоединиться вице-президент Джей Ди Вэнс. Как передает Axios, вероятно, на следующий день, **24 мая, Трамп примет решение о возобновлении войны.**

▪️Канал РБК в **«**[**Максе**](https://max.ru/rbc)**»**
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",40763,61,
149743,2026-05-23T15:56:45+00:00,"Начальник управления по вопросам мониторинга и анализа социальных процессов Администрации президента Александр Харичев **назвал четыре ключевых вызова предстоящих в сентябре выборов в Госдуму,** [передает](https://www.rbc.ru/politics/23/05/2026/6a11b87a9a79477cad56f480?from=main_lines_3?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6911b3669a79476edca32bb5е) корреспондент РБК. 

Среди них:

▪️ужесточение информационной войны, 
▪️обострение террористических угроз и связанные с ними различные ограничения, 
▪️резкий рост влияния новых технологий, 
▪️повышение тревожности в обществе в связи с политической и экономической турбулентностью. 

Террористические угрозы, как показывает практика, могут быть не только в новых регионах, но и по всей стране, отметил кремлевский чиновник. Что касается тревожности в обществе, по его оценке, «тревожных людей у нас порядка четверти населения». Количество жизнерадостных россиян он оценил в треть населения.

«Мир сегодня крайне нестабилен, крайне турбулентен, мы видим это по всем буквально континентам. Идет блокада Кубы, недавно закончились бомбардировки Ирана, перекрыт Ормузский пролив. Экономика мира переживает крайнюю нестабильность. Идет специальная военная операция, и все это не добавляет уверенности гражданам нашей страны», — объяснил Харичев рост тревожности в обществе.

▪️Канал РБК в **«**[**Максе**](https://max.ru/rbc)**»**
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",39179,66,
149742,2026-05-23T15:34:01+00:00,"Немецкая партия «Альтернатива для Германии» (АдГ) в бундестаге **потребовала отказаться от плана немецких властей подарить Украине теплоэлектростанцию (ТЭЦ)**, которая обсуживала трубопровод «Северный поток», и оставить ее на месте в Лубмине (земля Мекленбург — Передняя Померания), [сообщает](https://www.rbc.ru/politics/23/05/2026/6a11a4299a7947d8aeecf3fb?from=short_news?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6911b3669a79476edca32bb5е) Die Zeit.

Член парламента от партии АдГ Лейф-Эрик Хольм в ходе дебатов заявил, что, возможно, после конфликта Украины с Россией отношения с Москвой нормализуются и СПГ снова начнет поступать по «Северному потоку», передает газета.

«Нельзя без наглости подарить электростанцию, которая сейчас простаивает из-за разрушения трубопроводов, той самой стране, откуда исходила атака на газопровод «Северный поток», — заявил другой член бундестага от АдГ Энрико Комнинг, передает Nordkurier.

▪️Канал РБК в **«**[**Максе**](https://max.ru/rbc)**»**
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",39297,64,
