id,date,text,views,forwards,replies
124492,2026-05-23T21:59:58+00:00,"🐐 💣 Шакира выпустила клип на песню «Dai Dai» к ЧМ-2026: для него певица попросила звезд футбола сказать фразу «Мы готовы» на английском −** даже Лео Месси, который так и не выучил язык к 38 годам
**
⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",10840,104,18
124491,2026-05-23T21:10:19+00:00,"❗️❗️❗️❗️❗️❗️ **«Жирона», «Мальорка» и «Овьедо» вылетели из Ла Лиги 
**
Тер Стеген фактически в один сезон стал чемпионом Испании и покинул высший дивизион 💀

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",22230,221,13
124490,2026-05-23T21:02:10+00:00,"🇪🇸 🍒 **«Барселона» раздает очки нуждающимся после чемпионства **

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",23294,57,4
124489,2026-05-23T20:54:50+00:00,"🇪🇸 ❤️** Капитан Дани Карвахаль попрощался с родным клубом на глазах фанатов на переполненном «Сантьяго Бернабеу»**

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",24273,35,4
124488,2026-05-23T20:32:33+00:00,"🇪🇸 🤖 **Роберт Левандовски забил в своем последнем матче за «Барсу» **− этим летом поляк уедет в Саудовскую Аравию

🎮 [**Много игр и тестов про спорт**](https://t.me/SirenaSpecBot?startapp=utm_tg_add_social)",27849,43,9
124487,2026-05-23T19:58:03+00:00,"🇩🇪🇩🇪 **Харри Кейн принес «Баварии» еще и Кубок Германии − сделал хет-трик в финале против «Штутгарта»**

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",32895,180,36
124486,2026-05-23T18:50:04+00:00,"😽 😂 **Вчера фанаты «Барсы» пришли на концерт Бэд Банни и засняли, как новая девушка Ямаля Инес Гарсия отказала футболисту в поцелуе
**
⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",40082,156,18
124485,2026-05-23T17:54:18+00:00,"⚡️⚡️⚡️⚡️ «Барселона» выиграла женскую Лигу чемпионов − **в финале девушки обыграли «Лион» благодаря дублям Эвы Пайор и Сальмы Паральюэло
**
⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",45608,172,25
124484,2026-05-23T17:41:54+00:00,"⚡️⚡️⚡️⚡️ Артем Дзюба объявил об уходе из «Акрона»

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",46785,224,42
124483,2026-05-23T17:31:25+00:00,"❗️❗️❗️❗️❗️❗️** «Акрон» остается в РПЛ после победы над «Ротором» по сумме двух матчей**

Волгоградцы провели в Премьер-лиге лишь один сезон за последние 20 лет существования клуба 🗽 😭

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",46584,52,23
124482,2026-05-23T17:10:48+00:00,"⚡️ 🚩 **Судья отменил спасительный гол «Ротора» в матче с «Акроном» **− арбитр увидел нарушение в штрафной со стороны игрока волгоградцев

❤️💙 [Трансляция](https://vkvideo.ru/live-29809500_456250153)

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",47647,184,67
124481,2026-05-23T16:59:48+00:00,"📺 🏆 **Шнякин и Журавель прокомментируют завтра суперфинал FONBET Кубка России** − Губерниев и Черданцев будут ведущими у бровки

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",46022,63,38
124480,2026-05-23T16:35:02+00:00,"⚡️⚡️⚡️⚡️ **«Халл Сити» впервые с 2017 года сыграет в АПЛ** − в финале плей-офф команда обыграла «Мидлсбро», забив на 95-й минуте 

За выход в Премьер-лигу «Халл» получит примерно 250 млн евро 💵 😎

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",47530,418,32
124479,2026-05-23T16:00:59+00:00,"🎁🏴 **Актер из легендарной рекламы Old Spice Терри Крюс оказался фанатом «Арсенала» и предложил подписчикам поучаствовать в розыгрыше футболки с автографами всех игроков, выигравших АПЛ в этом сезоне
**
Для того, чтобы стать участником, достаточно написать в комментариях матч последнего тура, который ты будешь смотреть 🍿

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",49649,91,10
124478,2026-05-23T15:02:04+00:00,"🇫🇷 😳 **Забарный и Сафонов не пожали друг другу руки в выставочном тренировочном матче «ПСЖ» перед финалом ЛЧ**

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",53896,725,191
124477,2026-05-23T14:54:53+00:00,"❗️❗️❗️❗️❗️❗️ Махачкалинское «Динамо» остается в МИР РПЛ − **команда Вадима Евсеева обыграла «Урал» в двух матчах**

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",51818,177,16
124476,2026-05-23T13:59:01+00:00,"🛩🇦🇷 **Аргентинские авиалинии представили самолет, который доставит сборную на ЧМ-2026 – на нем разместили номер Месси, его цитату и даже капитанскую повязку**

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",50795,145,27
124475,2026-05-23T13:00:33+00:00,"🐦🤣 **По окончании своей последней предматчевой пресс-конференции в «Сити» Гвардиола заявил, что рад отсутствию своего памятника, потому что на него бы «гадили птицы»** (The Athletic)

После этого журналисты рассказали Пепу, что «Сити» как раз собирается поставить его статую возле стадиона 💀

🕹 [**Проведите свободную минуту в Игровой**](https://t.me/SirenaSpecBot?startapp=utm_tg_add_social)",52498,73,6
124474,2026-05-23T12:45:07+00:00,"💪🇷🇺 **Уже сегодня мы узнаем, кто выйдет в Мир РПЛ – прямые трансляции пройдут эксклюзивно в VK Видео на канале VK ПРО СПОРТ:**

💙🧡 [Трансляция](https://vkvideo.ru/live-29809500_456250152)
❤️💙 [Трансляция](https://vkvideo.ru/live-29809500_456250153)",50803,26,6
124473,2026-05-23T11:56:01+00:00,"🇪🇸🇵🇹 **«Реал» хочет подписать Бастони, которым интересовалась «Барселона» – защитник «Интера» нравится Моуринью** (La Gazzetta dello Sport)

Миланцы потребуют за игрока 70 млн евро – «Мадрид» может позволить себе этот трансфер 💰

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",53811,186,26
124472,2026-05-23T11:00:21+00:00,"😳🖥 **Луис Энрике зачем-то установил гигантский экран с тактическими инструкциями на тренировочном поле «ПСЖ»** – фанаты восхищаются самоуверенностью испанца, который совсем не боится шпионажа перед финалом ЛЧ против «Арсенала» 

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",54116,142,27
124471,2026-05-23T10:02:57+00:00,"⚡️⚡️⚡️⚡️ **Бруну Фернандеш – лучший игрок АПЛ-2025/26**

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",55475,408,95
124470,2026-05-23T10:00:17+00:00,"❗️❗️❗️❗️❗️❗️ [**Кевин Андраде**](https://www.sports.ru/football/person/kevin-orlando-andrade-murillo/)** перешел в «Зенит» из «Балтики» за 3,5 млн евро** – колумбийский защитник подписал контракт до 2031 года

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",53997,206,32
124469,2026-05-23T09:46:35+00:00,"🥔 Скоро Суперфинал FONBET Кубка России по футболу. Помните главные шедевры турнира?

Выбирайте правильные развития событий и участвуйте в розыгрыше классных призов: джерси суперфиналистов и мяч с автографами участников

➡️ [**Вспомнить лучшие голы**](http://t.me/SirenaSpecBot/sirenaplatform?startapp=gameid_cf998be8-4f68-11f1-a317-d00d1132f252__utm_tg_flagman)",52590,3,2
124468,2026-05-23T08:56:24+00:00,"🇺🇸 📱 **Матч МЛС между «Лос-Анджелес Гэлакси» и «Хьюстон Динамо» будет транслироваться через 15 iPhone 17 Pro, расставленных по всему периметру поля**

Это первая в истории трансляция профессионального спортивного события, которая будет полностью осуществляться айфонами 📱

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",55114,486,18
124467,2026-05-23T07:55:13+00:00,"😭😎 **Гвардиола уже начал выезжать из своей квартиры в центре Манчестера – прохожие заметили грузчиков, которые полностью забили машину его** **вещами**

Испанские СМИ пишут, что Саудовская Аравия хочет видеть Пепа у руля сборной и готова платить ему 90 млн евро в год 🤑

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",56204,170,17
124466,2026-05-23T07:00:09+00:00,"🍷🇸🇦 **Жоау Феликса признали лучшим игроком чемпионата Саудовской Аравии – португалец опередил Роналду, Невеша и Тоуни
**
В 33 матчах бывший игрок «Атлетико», «Челси», «Барсы» и «Милана» забил 20 голов и отдал 13 ассистов 💪

❤️ – реанимировал карьеру!

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",56909,134,31
124465,2026-05-23T06:45:13+00:00,"🥔 Кто зажжет в последнем туре АПЛ? Угадайте и выиграйте джерси 

➡️ [**Выбрать игроков**](https://t.me/sports_osnova_bot/epl?startapp=utm_tg_flagman)",54962,2,8
