id,date,text,views,forwards,replies
377259,2026-05-23T22:59:15+00:00,"Трамп не пострадал в результате стрельбы возле Белого дома, сообщает PBS.",2016,33,
377258,2026-05-23T22:55:35+00:00,"Инцидент у Белого дома исчерпан, **стрелявший нейтрализован**. Задет случайный прохожий, сообщает Fox News.

Ранее секретная служба США открыла ответный огонь по злоумышленнику, стрелявшему в направлении Белого дома.",3396,49,
377257,2026-05-23T22:37:35+00:00,"Трамп во время стрельбы находился в Белом доме, сообщает DC News Now.

✔ [Подпишись на ТАСС в ""Максе""](https://max.ru/tass_agency)",6022,47,
377256,2026-05-23T22:23:41+00:00,"📹 Серия выстрелов прозвучала возле Белого дома в Вашингтоне, сообщает NewsNation.

Видео: selinawangtv/X

✔ [Подпишись на ТАСС в ""Максе""](https://max.ru/tass_agency)",8028,71,
377255,2026-05-23T21:57:33+00:00,"Столкновения между полицией и противниками Вучича в Белграде закончились. По данным МВД республики, задержано 23 человека.",10363,21,
377254,2026-05-23T21:28:04+00:00,"**Фицо призвал к диалогу ЕС и РФ по Украине ради мира в Европе.**

""Без него единственный заблудившийся дрон — а таких в последнее время много, главным образом украинских, — может вызвать третью мировую войну. <...>. Если кто-то в странах ЕС устал от 80 лет мира, то это точно не я"", — сказал он.

✔ [Подпишись на ТАСС в ""Максе""](https://max.ru/tass_agency)",13755,61,
377253,2026-05-23T21:11:04+00:00,"**Соглашение между США и Ираном длиной в одну страницу могут обнародовать 24 мая,** сообщил корреспондент портала Axios Барак Равид.

По словам регионального источника, переговоры идут хорошо, написал он в X.",14520,27,
377252,2026-05-23T20:48:49+00:00,Глава ЛНР объявил 24 и 25 мая днями траура в память о жертвах удара ВСУ в Старобельске.,16786,68,
377251,2026-05-23T20:41:01+00:00,"**Проект будущего соглашения с Ираном в целом согласован, **заявил Трамп.

Он отметил, что в рамках сделки с Ираном Ормузский пролив будет открыт, другие детали вскоре объявят.

✔ [Подпишись на ТАСС в ""Максе""](https://max.ru/tass_agency)",17172,62,
377250,2026-05-23T20:35:41+00:00,"10 человек остаются в больницах после атаки беспилотников ВСУ на колледж в Старобельске. 32 пострадавшим помощь оказана амбулаторно, сообщают оперслужбы.",16798,25,
