id,date,text,views,forwards,replies,channel_short
150319,2026-06-02T05:50:56+00:00,"**❗️Российская армия нанесла массированный удар высокоточным оружием** по предприятиям оборонно-промышленного комплекса, объектам топливной и транспортной инфраструктуры, используемым в интересах ВСУ, а также военным аэродромам Украины, [сообщило](https://www.rbc.ru/politics/02/06/2026/6a1e6d4e9a7947390d74691d?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6a1e6d4e9a7947390d74691d) Минобороны.

Целями стали в том числе предприятия ОПК в Киеве, Запорожье, Харькове и Днепропетровске, а также в Полтавской, Хмельницкой и Сумской областях, говорится в сообщении.

«Цели удара достигнуты, все назначенные объекты поражены», — заявили в военном ведомстве.

▪️Канал РБК в [**«Максе»**](https://max.ru/rbc) 
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",13104,54,,rbc_news
150318,2026-06-02T05:30:21+00:00,"◻️◻️◻️ **Главные новости — в утреннем выпуске на телеканале РБК:**

▪️ 0:00-0:40 — В городах Чили прошли акции против президента, который накануне выступил с посланием к нации.

▪️ 0:43-1:50 — Бензин в Севастополе появится в свободной продаже 3 июня, заявил губернатор Михаил Развожаев.

▪️ 1:51-3:00 — Атаки на российские регионы.

▪️ 3:01-4:36 — Румыния не передавала Москве никаких объективных данных об инциденте с упавшим в городе Галац беспилотником, заявил постпред России при ООН Василий Небензя.

▪️ 4:37-5:48 — Сербия не намерена отменять безвизовый режим с Россией, заявил президент Александр Вучич.

▪️ 5:49-7:28 — Достижение мирного соглашения между США и Ираном может быть «даже лучше, чем победа», считает Дональд Трамп.

▪️ 7:29-8:13 — Правительство разрешило иностранным судам выполнять работы в территориальных водах России.

▪️ 8:14-8:53 — В правительстве предложили штрафовать почту за нарушения при рассылке платежек.

▪️ 8:54-9:37 — В расследовании ограбления Лувра появился «бельгийский след».

🐚 Если у вас не загружается видео, его можно посмотреть в [**«Максе».**](https://max.ru/rbc/AZ6Gz4AlPtI)",17472,18,,rbc_news
150317,2026-06-02T05:13:20+00:00,"**Мирное соглашение между США и Ираном может быть «даже лучше, чем военная победа», **[заявил](https://www.rbc.ru/politics/02/06/2026/6a1e02149a7947501a747eb0?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6a1e02149a7947501a747eb0) Дональд Трамп телеканалу ABC News. Однако, по словам американского президента, сделка еще не согласована до конца.

При этом Трамп отметил, что заключение соглашения с Ираном возможно **на следующей неделе. **

«В течение следующей недели», — прокомментировал американский лидер перспективу сделки о сохранении режима прекращения огня и открытии Ормузского пролива.

🐚 Больше новостей о конфликте на Ближнем Востоке — в нашем [**канале в «Максе».**](https://max.ru/rbc)",19413,46,,rbc_news
150316,2026-06-02T04:56:21+00:00,"ФСБ выявила масштабную схему внедрения иностранными спецслужбами **шпионского программного обеспечения в мобильные устройства высокопоставленных российских чиновников,** [заявили](https://www.rbc.ru/politics/02/06/2026/6a1e609b9a794765bfd87309?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6a1e609b9a794765bfd87309) в ведомстве, передает ТАСС.

«Федеральной службой безопасности РФ вскрыта и задокументирована широкомасштабная акция иностранных спецслужб по внедрению и применению на мобильных средствах коммуникации высокопоставленных российских служащих вредоносного программного обеспечения, направленная на получение чувствительной информации», — сообщили в ЦОС ФСБ.

▪️Канал РБК в [**«Максе»**](https://max.ru/rbc) 
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",24256,157,,rbc_news
150315,2026-06-02T04:43:56+00:00,"Большое наследство кажется готовым сценарием успеха, но может стать серьезным испытанием.

**В проекте «Точка опоры» **[**РБК вспоминает**](https://www.rbc.ru/business/02/06/2026/6a15924f9a7947a3b6246d17?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6a15924f9a7947a3b6246d17)** истории наследников, которые получили деньги и власть, но не смогли все это удержать**.

__Фото: John Minihan / Evening Standard / Getty Images__

▪️Канал РБК в [**«Максе»**](https://max.ru/rbc) 
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",24943,36,,rbc_news
150314,2026-06-02T04:21:57+00:00,"Силы ПВО уничтожили **148 беспилотников** над регионами России за прошедшую ночь, сообщили в Минобороны.

▪️Канал РБК в [**«Максе»**](https://max.ru/rbc) 
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",26306,12,,rbc_news
150313,2026-06-02T04:17:48+00:00,"**Сербия не намерена отменять безвизовый режим с Россией,** [заявил](https://www.rbc.ru/politics/01/06/2026/6a1de7209a79477a3c88fbf8?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6a1de7209a79477a3c88fbf8) в эфире телеканала Prva президент республики Александр Вучич. Он отметил, что данный вопрос даже не рассматривался.

«Такое решение не будет принято, даже если его кто-то примет, оно будет немедленно отменено», — заявил сербский лидер.

Вучич добавил, что не знает источник этой информации. По его словам, он обратился к спикеру сербского парламента Ане Брнабич, с просьбой прояснить ситуацию. «Я также позвонил Ане Брнабич, чтобы узнать, не проголосовали ли они за что-то в парламенте. **Такого нет**», — подчеркнул президент Сербии.

О том, что власти Сербии обсуждают возможность введения виз для граждан России в рамках выполнения требований Брюсселя, заявил ранее «Известиям» глава комитета сербского парламента по вопросам диаспоры и сербов региона Драган Станоевич.

▪️Канал РБК в [**«Максе»**](https://max.ru/rbc) 
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",26923,74,,rbc_news
150312,2026-06-02T03:54:34+00:00,"**Возгорание произошло на Ильском НПЗ в Краснодарском крае из-за атаки украинского беспилотника,** [сообщил](https://www.rbc.ru/politics/02/06/2026/6a1e46339a794780d009e76d?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6a1e46339a794780d009e76d) региональный оперштаб в мессенджере «Макс».

«По предварительным данным, пострадавших нет», — говорится в сообщении. На месте работают оперативные и специальные службы.

В Славянске-на-Кубани фрагменты украинского беспилотника упали на территории многоквартирного дома. По данным оперштаба, никто не пострадал.

▪️Канал РБК в [**«Максе»**](https://max.ru/rbc) 
▪️Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",29031,78,,rbc_news
150311,2026-06-01T22:02:30+00:00,"Действия Франции в отношении российского танкера Tagor, задержанного в открытом море, могут создать риски для мирового торгового судоходства, [следует](https://www.rbc.ru/politics/02/06/2026/6a1deead9a7947bad8e26dc0?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6a1deead9a7947bad8e26dc0) из комментария официального представителя МИД Марии Захаровой.

Как отметили в ведомстве, судно следовало из Мурманска в Камерун «практически без груза», а причиной задержания стало то, что судно якобы несло «ложный» флаг.

«Перенос французами борьбы с такими судами в пространства открытого моря, где действует свобода судоходства, может дорого обойтись всему мировому торговому судоходству», — заявила Захарова.

▪Канал РБК в [**«Максе»**](https://max.ru/rbc) 
▪Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",42569,54,,rbc_news
150310,2026-06-01T21:41:33+00:00,"Правительство России [**установило**](https://www.rbc.ru/business/02/06/2026/6a1dcf5a9a7947fc3b8dfc19?utm_source=telegram&utm_medium=messenger&utm_campaign=rbc_news&utm_content=6a1dcf5a9a7947fc3b8dfc19)** новые правила допуска судов под иностранным флагом в российские территориальные воды** для каботажных рейсов, поисковых и спасательных операций, гидротехнических и подводно-технических работ, разведки и разработки минеральных ресурсов морского дна и его недр, а также других специальных операций.

Для получения такого права иностранный судовладелец должен будет получить одобрение Росморречфлота, Минобороны и ФСБ. 

Кроме того, оно будет предоставлено, только если на рынке отсутствуют соответствующие суда под российским флагом. Так правительство решает стратегическую задачу развития российского флота с учетом его фактической нехватки по некоторым позициям.

▪Канал РБК в [**«Максе»**](https://max.ru/rbc) 
▪Приложение РБК для [**iOS**](https://249860.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=245880726195607142&referrer=reattribution%3D1) и [**Android**](https://313810.redirect.appmetrica.yandex.com/?appmetrica_tracking_id=894399083073073441&referrer=reattribution%3D1)",42257,42,,rbc_news
