C,ngram_range,min_df,f1_macro
3.0,"(1, 2)",5,0.9371565801374683
3.0,"(1, 2)",3,0.9363371596969003
2.0,"(1, 2)",3,0.9344777895964655
2.0,"(1, 2)",5,0.9340173586139018
3.0,"(1, 1)",3,0.9332576184483157
3.0,"(1, 1)",5,0.9331650983256721
1.0,"(1, 2)",5,0.9321917503928334
1.0,"(1, 2)",3,0.9310762723790571
2.0,"(1, 1)",3,0.9303086574311925
2.0,"(1, 1)",5,0.9286300610794699
1.0,"(1, 1)",5,0.9275660537251689
1.0,"(1, 1)",3,0.9272444156035803
0.5,"(1, 2)",5,0.9216281662231192
0.5,"(1, 2)",3,0.9173108572853289
0.5,"(1, 1)",5,0.9171497814251438
0.5,"(1, 1)",3,0.9142331909357659
