id,date,text,views,forwards,replies,channel_short
339686,2026-06-02T06:06:08+00:00,"**Телефоны Apple взламывают через iMessage.**

В Лаборатории Касперского [рассказали](https://ria.ru/20260602/apple--2096146017.html) о сложной атаке через скрытое сообщение - оно запускает вредоносную программу и сразу же удаляется, оставаясь фактически невидимым.

Там было очень много различных компонентов. Были модули, которые, например, включали микрофон и слушали … 

Устройство запускало аудиозапись на следующие три часа, и неважно, телефон был в сети, у него был интернет. Нет, как только у телефона появлялась связь вот эта аудиозапись уже уходила на атакующий сервер… 

Например, были модули, которые собирали сообщения за последние три дня.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",7106,70,,rian_ru
339685,2026-06-02T05:40:30+00:00,"❗️**Армия России нанесла массированный удар в ответ на террористические акты киевского режима.**

Использовалось высокоточное оружие большой дальности, в том числе гиперзвуковые ракеты, по предприятиям ОПК в Киеве, Запорожье, Харькове и Днепропетровске, Полтавской, Хмельницкой и Сумской областях, а также объектам ТЭК и военным аэродромам.

Цели удара достигнуты, все назначенные объекты поражены, [сообщили](https://ria.ru/20260602/udar--2096143741.html) в Минобороны.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",53830,211,,rian_ru
339682,2026-06-02T05:29:48+00:00,"**Эксклюзивы РИА Новости из зоны СВО.**

▪️Житель приграничного села Мешковое Белгородской области [рассказал,](https://ria.ru/20260602/vsu-2096110617.html) как его семья несколько раз становилась целью атак дронов ВСУ, он и его мать получили ранения, а отец умер от переживаний.

▪️Операторы ударных БПЛА ""Днепра"" уничтожили критически важный для ВСУ блокпост в Херсоне.

▪️Этнический суданец, воевавший на стороне ВСУ, рассказал, как принял решение сбежать с украинских позиций после того, как его перевели в роту огневой поддержки.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",60904,3,,rian_ru
339681,2026-06-02T05:07:16+00:00,"**""Все тебя ненавидят! Все ненавидят Израиль из-за этого!""**

Трамп сорвался на Нетаньяху из-за эскалации конфликта с Ливаном, [передает Axios](https://ria.ru/20260602/tramp-2096119193.html). Официально президент США заявил, что Израиль согласился прекратить огонь - по данным СМИ, перед этим он в разговоре напомнил Нетаньяху, что тот был бы в тюрьме сейчас, и Трамп его спасает.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",77256,186,,rian_ru
339680,2026-06-02T04:45:32+00:00,"**Иностранные спецслужбы шпионили через смартфоны за высокопоставленными чиновниками** - [прослушку вскрыла ФСБ](https://ria.ru/20260602/fsb-2096137616.html).

Что еще рассказали в ведомстве:

▪️Информацию добывали через вредоносное ПО с помощью разработок американских IT-компаний Fastly и Cloudflare.

▪️Операция по прослушке была многоуровневой с координацией нескольких стран.

▪️Спецслужбы хотели получать данные о настроениях в российском обществе.

▪️После сбора компромата чиновников, которых прослушивали, вносят в санкционные списки, на них оказывается давление.

Обсуждение конфиденциальной информации по телефону и вблизи него недопустимо, подчеркнули в ФСБ.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",92585,522,,rian_ru
339679,2026-06-02T04:21:09+00:00,"Силы ПВО за ночь сбили **148 украинских БПЛА**, [по данным](https://ria.ru/20260602/pvo-2096136438.html) Минобороны России.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",100617,35,,rian_ru
339678,2026-06-02T04:20:26+00:00,"Ребенок пострадал при атаке вражеского БПЛА на частный дом в Белгородской области, [сообщили ](https://ria.ru/20260602/ataka-2096136105.html)в оперштабе региона.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",100632,1,,rian_ru
339677,2026-06-02T03:54:48+00:00,"**В МВД предупредили о рассылках о фиктивных выплатах в честь Дня России.**

В мессенджерах и по электронной почте жулики [присылают](https://ria.ru/20260602/moshenniki-2096132176.html) сообщения, которые перенаправляют на фишинговые ресурсы, имитирующие ""Госуслуги"" или несуществующий ""Единый центр выплат"".

Аферисты маскируются под представителей Росфинмониторинга, Минцифры, МВД, ФСБ и других органов государственной власти.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",113879,172,,rian_ru
339676,2026-06-02T02:29:48+00:00,"**Как подготовить ребенка к первому классу, **[рассказали](https://ria.ru/20260602/shkola-2096122997.html) в Минпросвещения.

Подготовка к школе для ребенка - это первый серьезный опыт вхождения в общество, где его будут оценивать не как ""самого любимого"", а как одного из многих. 

Психологическая готовность ребенка к школе важнее ранних академических навыков.

Полезнее развивать... умение просить помощи, переживать ошибку без чувства катастрофы, сохранять интерес к делу.

Взрослые часто превращают школу в проект собственных ожиданий, однако главный показатель успешной адаптации ребенка - не идеальный почерк в сентябре, а ощущение безопасности.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",135605,150,,rian_ru
339675,2026-06-02T00:59:48+00:00,"Глава Роспотребнадзора Попова [исключила](https://ria.ru/20260602/ebola-2096118340.html) возможность пандемии лихорадки Эбола.

Пандемического потенциала, конечно же, у вируса Эбола нет, потому что это контактная инфекция, она не передается воздушно-капельным, водным или же пищевым путем.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",141349,59,,rian_ru
339674,2026-06-01T23:47:57+00:00,"В Киеве прогремела серия из восьми взрывов, [сообщают](https://ria.ru/20260602/kiev-2096116977.html) украинские СМИ.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",150252,118,,rian_ru
339673,2026-06-01T22:23:06+00:00,"Украинские СМИ [сообщают](https://ria.ru/20260602/ukraina-2096111921.html) о взрывах в Харькове, Днепропетровске и подконтрольном ВСУ Запорожье.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",167049,124,,rian_ru
339672,2026-06-01T21:26:15+00:00,"Более 176 тысяч россиян [пострадали](https://ria.ru/20260602/kleschi-2096109056.html) от укусов клещей с начала сезона.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",172293,256,,rian_ru
339671,2026-06-01T20:14:48+00:00,"**Аферисты подделывают голоса директоров школ**, [предупреждают](https://ria.ru/20260601/moshennichestvo-2095909314.html) эксперты. 

Мошенники используют дипфейки и просят родителей перевести деньги, например, якобы на выпускной вечер. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",189000,247,,rian_ru
339670,2026-06-01T19:28:52+00:00,"**Сербия не будет вводить визы для россиян, заявил Вучич. **

Такое решение принято не будет. Даже если кто-то примет, оно будет сразу отозвано.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",196689,436,,rian_ru
339669,2026-06-01T18:58:06+00:00,"Воздушную тревогу [объявили](https://ria.ru/20260601/kiev-2096097065.html) в Киеве.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",207183,296,,rian_ru
339668,2026-06-01T18:15:15+00:00,"**Киев решил придать новое качество конфликту атаками в Старобельске и Геническе, **[заявил](https://ria.ru/20260601/putin-2096087517.html) Путин.

Сознательно совершая тяжелейшие преступления против детей, подростков... киевская верхушка решила открыть новую страницу в череде своих преступлений, придать новое качество конфликту в целом.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",226166,156,,rian_ru
339665,2026-06-01T18:01:24+00:00,"**Спецоперация. Обстановка и **[**главные события**](https://ria.ru/20260601/spetsoperatsiya-2096053479.html)** на 1 июня**: 
 
▪️Российские войска [освободили](https://t.me/rian_ru/339642) Тихоновку в ДНР.

▪️ВСУ за сутки потеряли порядка 1335 военнослужащих.

▪️Украина наносила удары по транспортному цеху и подстанции ЗАЭС всю ночь на 1 июня, сообщил Лихачев. 

▪️ Беспилотник ВСУ[ ударил](https://t.me/rian_ru/339640) по школе в запорожской Васильевке в День защиты детей. 

▪️Общий суд ЕС зарегистрировал иск Банка России против механизма, в котором российские активы могут использовать как инструмент финансовой поддержки Украины.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",203744,77,,rian_ru
339664,2026-06-01T17:42:28+00:00,"**Путин **[**провел**](https://ria.ru/20260601/putin-2096082798.html)** совещание о мерах поддержки пострадавших и ходе расследования теракта в Старобельске. **

Главное:

▪️Президент назвал удар по Старобельску кровавым преступлением, совершенным украинской хунтой.

▪️Выразил соболезнования семьям, потерявшим детей и внуков при теракте ВСУ.

▪️Учащиеся колледжа в Старобельске должны завершить учебный год, выпускники - получить дипломы.

▪️Наказание для преступников, устроивших теракт, будет неотвратимым.

▪️Президент поручил с максимальным вниманием отнестись к каждому пострадавшему и каждой семье, которая столкнулась с трагедией.

Если видео не грузится, смотрите его в [нашем канале в ""Максе"".](https://max.ru/ria/AZ6EQsBoCtE)

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",205675,174,,rian_ru
339663,2026-06-01T17:26:39+00:00,"Путин [продлил](https://ria.ru/20260601/putin-2096080488.html) срок полномочий Львовой-Беловой на посту детского омбудсмена еще на пять лет.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",184293,132,,rian_ru
339662,2026-06-01T17:21:00+00:00,"Путин [встретился](https://ria.ru/20260601/putin-2096077065.html) с главой фонда ""Круг добра"" протоиереем Ткаченко, который рассказал о результатах работы организации за 2025 год.

""Круг добра"" создан для поддержки детей с тяжелыми жизнеугрожающими и хроническими заболеваниями, в том числе орфанными.

Если видео не грузится, смотрите его в [нашем канале в ""Максе"".](https://max.ru/ria/AZ6ENx7rEKM)

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",185698,70,,rian_ru
339661,2026-06-01T16:38:42+00:00,"Россия со 2 июня [ограничивает](https://ria.ru/20260601/armeniya-2096073658.html) ввоз вишни, черешни, абрикосов, сливы, персиков, нектаринов и винограда из Армении.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",212768,1144,,rian_ru
339660,2026-06-01T16:29:25+00:00,"Сейчас в детских домах и приютах в России живут 49 тысяч ребят, доложила Львова-Белова Путину. 

Эту цифру удалось снизить за последнее время – еще два неполных года назад показатель был на уровне 60 тысяч.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",196467,212,,rian_ru
339659,2026-06-01T16:21:43+00:00,"Приостановка переговоров с Ираном не означает, что США вернутся к бомбардировкам, [заявил](https://ria.ru/20260601/tramp-2096069689.html?in=l) Трамп. 

При этом, по его словам, уведомлений о том, что переговоры приостановлены, Штаты не получали. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",193334,90,,rian_ru
339658,2026-06-01T16:15:04+00:00,"**Главные новости дня:**

🔹 Путин [поручил](https://ria.ru/20260601/fsb-2095927149.html) ФСБ обеспечить бесперебойную работу важнейших сервисов, включая ""Госуслуги"", в период ограничения интернета.

🔹 Франция [задержала](https://t.me/rian_ru/339631) танкер, якобы шедший из Мурманска.

🔹 Власти будут поддерживать в переезде в Россию тех, кто разделяет традиционные ценности, [заявил](https://t.me/rian_ru/339654) Путин.  

🔹 Проблемы с топливом в Крыму стоят высоко на повестке дня, власти на всех уровнях [работают](https://ria.ru/20260601/peskov-2095963987.html) над их решением, сказал Песков.

🔹 Российские войска [освободили](https://t.me/rian_ru/339642) Тихоновку в ДНР.

🔹 Беспилотник ВСУ[ ударил](https://t.me/rian_ru/339640) по школе в запорожской Васильевке в День защиты детей. 

🔹 Иран [приостанавливает](https://ria.ru/20260601/iran-2096018615.html) переговоры с США из-за действий Израиля в Ливане.

🔹 Судебные документы теперь [можно отслеживать](https://ria.ru/20260601/gosuslugi-2095934381.html) на ""Госуслугах"". 

🔹 Четверо манулят [родились](https://t.me/rian_ru/339648) в Ленинградском зоопарке.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",243453,172,,rian_ru
339657,2026-06-01T15:36:14+00:00,"**""Киев фактически действует как ""обезьяна с гранатой""**

Украина, нанося удары иностранным оружием по ЗАЭС, создает угрозы в том числе для стран Запада, которые ей это оружие и поставляют, заявила Захарова. 

Основная ответственность [лежит](https://ria.ru/20260601/mid-2096063449.html) за происходящее именно на западных хозяевах Украины

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",196762,153,,rian_ru
339656,2026-06-01T15:00:34+00:00,"Первые пассажиры в ""Шереметьево"" и ""Пулково"" сегодня прошли регистрацию и посадку на борт по биометрии через сервис ""Мигом"".

Этот сервис запустили к ПМЭФ-2026, он действует на рейсах программы ""Аэрофлот шаттл"" между Петербургом и Москвой. 

В день старта сотрудники ВТБ помогали желающим быстро сдать биометрию прямо в залах вылета в ""Шереметьево"" и ""Пулково"". Кроме того, специальная зона, где можно сдать биометрию и получить консультацию по работе биометрического пути, будет летом работать в аэропорту Северной столицы. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",207117,176,,rian_ru
339655,2026-06-01T14:14:14+00:00,"Некоторым повысят пенсию, заработает ряд ГОСТов, банки смогут оперативнее замораживать счета лиц, попавших в список Росфинмониторинга. 

Сегодня вступает в силу целый список законов и изменений - главное о нововведениях июня читайте в [нашем материале](https://ria.ru/20260601/zakony-2095506696.html).

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",212214,92,,rian_ru
339654,2026-06-01T13:27:48+00:00,"**""Нет для человека счастья большего, чем быть родителем""**

Путин вручает ордена ""Мать-героиня"" и ""Родительская слава"". Главные заявления президента к этой минуте: 

🔹 В целом ряде стран традиционные семейные ценности сейчас пытаются отменить. 

🔹 Власти [будут поддерживать](https://ria.ru/20260601/putin-2096027809.html) в переезде в Россию тех, кто разделяет традиционные ценности.

🔹 Традиционные семейные ценности - важнейшие вещи, которые объединяют российское общество. 

🔹 Число многодетных семей в России растет, это отрадно. 

🔹 Многодетные родители в России щедро одаряют детей заботой и поддержкой. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",225564,238,,rian_ru
339653,2026-06-01T13:17:34+00:00,"❗️Иран приостанавливает переговоры с США из-за действий Израиля в Ливане, [пишет](https://ria.ru/20260601/iran-2096018615.html) Tasnim. 

**UPD: Главное из материала: **

🔹Иран требует незамедлительно прекратить действия израильской армии в Ливане. 

🔹Пока позиция Ирана не будет удовлетворена, диалога с США не будет. 

🔹Иран готов полностью ограничить судоходство в Ормузском проливе. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",211928,216,,rian_ru
339652,2026-06-01T12:46:51+00:00,"**Трехлетний ребенок в Ростове сам уехал на автобусе в другой район и пошел в магазин. **

Он вышел из дома рано утром, пока родители спали. В магазине мальчик даже смог представиться – сказал, что его зовут Дима.

Продавец позвонил в службу спасения. Специалисты сравнили эти данные с вызовом, когда родители сообщали о пропаже ребенка. 

Все закончилось хорошо – маленького беглеца [вернули](https://ria.ru/20260601/rebenok-2096012497.html) маме и папе. Правда, выяснилось, что в магазине продавцу он назвал чужое имя – зовут его не Дима. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",242369,2592,,rian_ru
339651,2026-06-01T12:12:03+00:00,"Пашинян хочет продолжать пользоваться льготами ЕАЭС, зарабатывая на России и других странах союза, пока Армению не позовут в ЕС, [считает](https://ria.ru/20260601/medvedev-2096004761.html) Медведев. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",226409,225,,rian_ru
339650,2026-06-01T12:05:33+00:00,"**Штаты войной против Ирана показали миру не силу, а слабость,** заявил замглавы МИД России Борисенко. 

Соединенные Штаты не смогли победить Иран. Это [означает](https://ria.ru/20260601/iran-2096001249.html), что они проиграли

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",221172,187,,rian_ru
339649,2026-06-01T11:21:13+00:00,"Однояйцевых девочек-четверняшек [выписали](https://ria.ru/20260601/bliznetsy-2095995221.html) из больницы в Петербурге. 

Они здоровы, окрепли и готовы ехать домой. Семье уже назначили все причитающиеся для многодетных выплаты и пособия. Родителям вручили ключи от авто - машина стала дополнительным подарком от города. 

О самом уникальном случае – одном на 15,5 миллиона родов - мы рассказывали в посте, к которому сделан реплай.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",236604,1838,,rian_ru
339648,2026-06-01T10:43:12+00:00,"У манула Шу из Петербурга появились дети - четверо котят [родились](https://ria.ru/20260601/manul-2095989060.html) в Ленинградском зоопарке.

Мама - самка Пепе, ей пять лет, ее привезли в зоосад в январе на временное содержание - как раз по программе по сохранению и разведению манулов. 

Пол котят пока неизвестен. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",228740,2453,,rian_ru
339647,2026-06-01T10:18:03+00:00,"**Зеленский должен позвонить Навроцкому и извиниться за героизацию бандеровских предводителей, **заявили в канцелярии президента Польши. **

**Кроме того, сегодня флаг Украины [сняли](https://ria.ru/20260601/ukraina-2095976689.html) с городской ратуши польского Люблина (на фото) - в ответ на чествование Зеленским УПА*. 

""Прославление формирований, ответственных за преступления против гражданского населения, наносит удар по исторической памяти нашего народа, ранит память польских жертв"", - сказала пресс-секретарь мэра Гуждж. 

__* запрещенная в России экстремистская организация__

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",223010,389,,rian_ru
339646,2026-06-01T10:08:47+00:00,"МВД опровергло информацию СМИ о том, что с сегодняшнего дня сотрудники ГАИ якобы начнут массово останавливать пожилых водителей в рамках проверок.

**""Данная новость не соответствует действительности.** Напротив, сотрудники Госавтоинспекции оказывают содействие участникам дорожного движения, в том числе лицам пожилого возраста, оказавшимся на дороге в затруднительной ситуации"", - [сообщила](https://t.me/IrinaVolk_MVD/7284) Ирина Волк. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",219712,69,,rian_ru
339645,2026-06-01T09:53:25+00:00,"Пашинян поблагодарил Путина за поддержку по ряду вопросов, вызывающих разночтения, заявил кабмин Армении. 

Лидеры, [поговорившие](https://ria.ru/20260601/putin-2095960646.html) по телефону, договорились встретиться лично при ближайшем удобном случае.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",220037,195,,rian_ru
339644,2026-06-01T09:37:27+00:00,"**Двух мальчиков, потерявшихся в нацпарке ""Красноярские Столбы"", **[**нашли**](https://ria.ru/20260601/park-2095968433.html)**, с ними все в порядке. **

Об исчезновении ребят сообщали сегодня в МЧС, их искали различные службы и волонтеры. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",224603,34,,rian_ru
339643,2026-06-01T09:26:38+00:00,"**Незаконные и граничащие с пиратством – так в Кремле охарактеризовали действия Франции по задержанию танкера Tagor.**

Главные заявления Пескова: 

🔹Проблемы с топливом в Крыму стоят высоко на повестке дня, власти на всех уровнях [работают](https://ria.ru/20260601/peskov-2095963987.html) над их решением. 

🔹Необходимо, чтобы важнейшие интернет-сервисы попали в белые списки и их работа была гарантирована.

🔹Путин сегодня проведет встречи с детским омбудсменом Львовой-Беловой и главой фонда ""Круг добра"" протоиереем Александром Ткаченко. 

🔹Кроме того, президент вручит ордена ""Мать-героиня"" и ""Родительская слава"" многодетным родителям. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",228277,123,,rian_ru
339642,2026-06-01T09:08:20+00:00,"❗️Российские войска освободили Тихоновку в ДНР, [сообщило](https://ria.ru/20260601/svo-2095959227.html) Минобороны.

Главное о потерях ВСУ за сутки - в нашей инфографике. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",213731,159,,rian_ru
339641,2026-06-01T09:03:32+00:00,"Корональная дыра в форме почти идеального треугольника образовалась на Солнце, сообщили ученые. 

Хоть теорему Пифагора проверяй

Из-за этой дыры в среду на Земле возможны слабые геомагнитные возмущения. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",220754,500,,rian_ru
339640,2026-06-01T08:33:35+00:00,"Беспилотник ВСУ ударил по школе в запорожской Васильевке в День защиты детей. 

Повреждена кровля здания. 

""К счастью, жертв среди мирного населения удалось избежать"", - [сообщил](https://ria.ru/20260601/ataka-2095946922.html) губернатор. 

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",220255,228,,rian_ru
339639,2026-06-01T08:31:43+00:00,"Капитан задержанного французскими ВМС танкера, по предварительным данным, россиянин.

Посольство[ запросило](https://ria.ru/20260601/posolstvo-2095946471.html) у Парижа информацию о россиянах на борту судна, там пока не ответили.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",227425,89,,rian_ru
339638,2026-06-01T08:08:17+00:00,"**Водитель Лексуса облил прохожего водой из лужи - в ответ мужчина поджег ему машину.**

Владелец машины припарковался вечером у дома и пошел спать, а проснулся от пожара под окном и криков соседки. Полицейские[ задержали](https://ria.ru/20260601/avtomobil-2095920715.html) 48-летнего россиянина, который признался, что отомстил, возбуждено уголовное дело.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",236453,660,,rian_ru
339637,2026-06-01T07:41:01+00:00,"Судебные документы на ""Госуслугах"" можно отслеживать с сегодняшнего дня, [сообщили](https://ria.ru/20260601/gosuslugi-2095934381.html) в Верховном суде.

🔹 [Подписаться на РИА Новости](https://t.me/rian_ru)",235792,970,,rian_ru
