id,date,text,views,forwards,replies,channel_short
282544,2026-06-02T05:59:55+00:00,"**Кишинёв рассматривает присоединение к Румынии, если путь Молдавии к членству в ЕС будет затруднён или заблокирован. **

Об этом заявил EURACTIV молдавский премьер Эуген Осмоческу. По его словам, Кишинёв по-прежнему рассчитывает подписать договор о вступлении в Евросоюз к концу 2028 года, однако допускает и план Б — объединение с Бухарестом в случае срыва евроинтеграции.

Ранее глава молдавского МИД Михай Попшой [признал](https://russian.rt.com/ussr/news/1638768-glava-mid-moldaviya): в случае референдума он, будучи гражданином Румынии, не смог бы проголосовать против объединения двух стран.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",5112,0,,rt_russian
282543,2026-06-02T05:41:33+00:00,"**ВС РФ в ответ на террористические акты киевского режима **[**нанесли**](https://t.me/rt_russian/282537)** массированный удар по целям на Украине, заявили в Минобороны России. **

Все назначенные объекты поражены. Среди них:

◾️предприятия оборонно-промышленного комплекса в Киеве, Запорожье, Харькове и Днепропетровске, а также в Полтавской, Хмельницкой и Сумской областях; 

◾️объекты топливной и транспортной инфраструктуры, используемые в интересах ВСУ; 

◾️военные аэродромы.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",14289,36,,rt_russian
282542,2026-06-02T05:20:55+00:00,"**США обсуждают размещение дополнительного ядерного оружия в странах НАТО в Европе, пишет FT. **

Эти переговоры могут не привести к каким-либо изменениям, подчёркивает газета. Консультации ведутся на фоне растущей обеспокоенности в Европе действиями Трампа по выводу американских войск с континента.

Сейчас американские бомбардировщики, способные нести ядерный заряд, размещены в Бельгии, Германии, Италии, Нидерландах, Турции и Великобритании.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",21429,36,,rt_russian
282541,2026-06-02T05:07:01+00:00,"**«Ты, б***ь, совсем е**нулся. Если бы не я, ты бы сидел в тюрьме. Я спасаю твою задницу. Теперь тебя все ненавидят. Все ненавидят Израиль из-за этого».**

Трамп по [телефону](https://t.me/rt_russian/282513) в жёсткой форме отчитал Нетаньяху за эскалацию в Ливане, пишет Axios со ссылкой на источники. **
**
Неназванный американский чиновник заявил: военный ответ Нетаньяху на обстрелы «Хезболлы» Трамп считает неадекватным.

Второй источник, осведомлённый о содержании разговора, сообщил, что президент США был в ярости и в какой-то момент крикнул израильскому премьеру: «Что ты, б***ь, творишь?»

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",27559,249,,rt_russian
282537,2026-06-02T04:57:11+00:00,"**Массированная атака на цели на Украине продолжается с ночи. Больше всего ударов — по Киеву. Тревога в украинской столице действует до сих пор.**

__RT собрал, что известно:__

🟩в Киевской области всю ночь были прилёты дронов, крылатых и баллистических ракет, заявили местные власти; 

🟩в Киеве в результате ударов начались пожары, в некоторых районах пропал свет, передают местные СМИ;

🟩украинские паблики жалуются: «Отбились плохо, если без деталей»;

🟩атаковано пять районов Днепропетровской области. Удары наносились ракетами и беспилотниками; 

🟩комбинированный удар, по сообщениям местных групп, был нанесён по Харькову и ряду общин области; 

🟩взрывы прогремели в Запорожской области и подконтрольном Киеву Запорожье, а также в [Сумах](https://russian.rt.com/ussr/news/1639203-ukraina-sumy-vzryv), Николаеве и Хмельницкой области.

Ранее Владимир Путин [заявил](https://t.me/rt_russian/282519): киевская верхушка, совершая преступления против детей и подростков, решила придать новое качество конфликту в целом.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",28545,106,,rt_russian
282536,2026-06-02T04:46:35+00:00,"❗️**ФСБ выяснила, что иностранные спецслужбы внедрили вредоносное ПО в телефоны высокопоставленных российских служащих.**

С помощью технических возможностей крупных международных IT-корпораций и мобильной связи они скрыто собирали информацию с устройств. 

Заведены уголовные дела о неправомерном доступе к компьютерной информации, а также о создании, использовании и распространении вредоносных программ.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",32546,284,,rt_russian
282535,2026-06-02T04:20:12+00:00,"148 украинских БПЛА сбито за ночь над регионами РФ — Минобороны.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",35197,10,,rt_russian
282534,2026-06-02T02:56:42+00:00,"На Ильском НПЗ произошло возгорание в результате атаки БПЛА, пострадавших нет, сообщает оперативный штаб Краснодарского края.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",51964,80,,rt_russian
282533,2026-06-01T22:20:41+00:00,"О серии взрывов в Сумской, Харьковской и Днепропетровской областях на фоне воздушной тревоги пишут местные паблики.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",59862,28,,rt_russian
282532,2026-06-01T21:52:34+00:00,"Трамп заявил, что сделка с Ираном может быть достигнута в течение следующей недели.

При этом Тегеран, по данным Tasnim, объявил, что приостанавливает переговоры с США из-за непрекращающихся [атак](https://t.me/rt_russian/282416?single) Израиля на Ливан.

🟩 Подписаться на RT: [ТГ](https://t.me/+ELcA6UUZf0w3Y2Uy) | [Зеркало](https://t.me/+l_Ri4dv_r_g1YTIy) | [MAX](https://max.ru/RT)",60857,36,,rt_russian
