id,date,text,views,forwards,replies,channel_short
124862,2026-06-02T06:04:06+00:00,"🤡😲 Алехандро Гарначо, которого не взяли на ЧМ, зачем-то анонсировал 30-секундным роликом свою новую гигантскую тату с Джокером во всю спину

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",4024,57,5,sportsru
124861,2026-06-01T22:01:10+00:00,"👊🎖️ **Мбаппе появился в промо новой части «Миньонов», **где помог своим желтым друзьям победить монстров в футбольном матче

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",43968,417,16,sportsru
124860,2026-06-01T21:01:20+00:00,"🏀😊 **Мэр Нью-Йорка Зохран Мамдани своим указом разрешил школьникам города не ложиться допоздна на время финала НБА − туда впервые за 27 лет вышли «Нью-Йорк Никс»**

− Ранний отбой отменяется! Все будем болеть за «Никс» в финале 🏀

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",48735,124,9,sportsru
124859,2026-06-01T20:02:59+00:00,"🇷🇺😁 **Лучано Спаллетти блеснул знаниями русского языка, **а потом сразу расплылся в улыбке после вопроса юного болельщика «Ювентуса» о языковом барьере с игроками

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",52272,356,39,sportsru
124858,2026-06-01T19:01:06+00:00,"🇲🇽⚽️ **40-летний мексиканец Гильермо Очоа вызван на шестой чемпионат мира в карьере –** столько же раз в заявку на турнир попадали лишь Месси и Криштиану 🤩

🇲🇽 – настоящая легенда мундиаля!

⚽️ [**Дублируем все посты в Max, если у вас не грузит телеграм**](https://max.ru/sportsru)",55948,219,10,sportsru
124857,2026-06-01T18:45:10+00:00,"🚨❤️ Самый масштабный Фэнтези-турнир от Спортса"" и Матч ТВ стартовал!  48 команд и 1250 футболистов – успейте собрать свою команду на ЧМ-2026

Лучшим игрокам дарим призы🎁

➡️ [**Собрать состав мечты**](https://www.sports.ru/fantasy/football/world-cup/?utm_source=soc_flagman&utm_medium=tg&utm_campaign=fantasy_wc_2026)",53604,127,6,sportsru
124856,2026-06-01T18:01:41+00:00,"🤩🗿 **Самую большую в мире статую Месси в индийской Калькутте демонтировали спустя полгода после открытия –** она так сильно раскачивалась на ветру, что власти сочли конструкцию опасной 🙂

🧤[** **](https://sprts.cc/hrm74n)[**Чемпионская коллекция мерча от Спортса"" уже на сайте**](https://sprts.cc/paidsp)**!**",55109,105,9,sportsru
124855,2026-06-01T17:02:12+00:00,"🇬🇪🏆 Дель Пьеро уверен, что Кварацхелия заслужил «Золотой мяч» по итогам сезона:

**– Если бы не предстоящий чемпионат мира, Кварацхелия однозначно был бы обладателем «Золотого мяча» благодаря Лиге чемпионов. Никто не оказывал такого влияния на игру голами, результативными передачами, самим нахождением на поле**

❤️ – дорос до главной награды

🧤[** **](https://sprts.cc/hrm74n)[**Чемпионская коллекция мерча от Спортса"" уже на сайте**](https://sprts.cc/paidsp)**!**",58687,171,70,sportsru
124854,2026-06-01T16:32:21+00:00,"❗️❗️❗️❗️❗️❗️ **Дмитрий Игдисамов – главный тренер ЦСКА**

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",59250,356,106,sportsru
124853,2026-06-01T16:01:24+00:00,"🧤💸 **«ПСЖ» продлит контракт с Сафоновым** **до 2031 года на улучшенных условиях. **Прямо сейчас Матвей – самый низкооплачиваемый игрок парижан с зарплатой всего 250 тысяч евро в месяц (Le Parisien)

❤️ – заслужил, как никто другой!

⚽️ [**Все рекорды сезона – в приложении ГОЛ**](https://ggol.ru/EW8Cs2)",62389,446,82,sportsru
