id,date,text,views,forwards,replies
346733,2025-11-01T18:13:29+00:00,"▶️ Белоусову представили патрульный корабль ледового класса ""Иван Папанин"", сообщили в МО РФ.

В министерстве напомнили, что корабль вошел в боевой состав ВМФ России, пройдя все ледовые испытания, в начале сентября 2025 года.

Видео: Минобороны России/ТАСС",8867,36,
346732,2025-11-01T17:45:35+00:00,"📹 **Атомный подводный ракетный крейсер ""Хабаровск"" спущен на воду** в Северодвинске под руководством Андрея Белоусова, сообщили в Минобороны.

Подлодка является носителем ""Посейдона"", рассказал ТАСС руководитель Бюро военно-политического анализа Михайлов.

Видео: Минобороны России/ТАСС",21475,201,
346731,2025-11-01T17:24:01+00:00,"▶️ Около 39 тыс. человек собрались в сербском Нови-Саде в годовщину трагедии на вокзале, сообщили в МВД Сербии.

Видео: ТАСС/Reuters",21582,13,
346730,2025-11-01T16:59:04+00:00,"**Euroclear начал размораживать активы россиян без американской лицензии OFAC** (Управления по контролю за иностранными активами). Известно о трех успешных случаях, пишет РБК.

Юрист Глеб Бойко рассказал, что при отсутствии участия в сделке американских лиц или финансовых институтов Euroclear не требует лицензию OFAC даже при разблокировке активов, связанных с США. Для проведения операции достаточно бельгийской лицензии.

✔ [Подпишись на ТАСС в Max](https://max.ru/tass_agency)",27959,94,
346729,2025-11-01T16:26:01+00:00,"👔Разделить тесты по русскому языку для детей мигрантов и беженцев предложил председатель комиссии ОП Павел Савчук:

""Дети мигрантов приезжают в Россию с родителями запланированно, они готовятся к этой поездке, а дети-беженцы прибывают незапланированно, у них нет возможности на высоком уровне выучить русский язык"".",30783,35,
346728,2025-11-01T16:13:01+00:00,"**Более 4,3 тыс. мигрантов выдворят из РФ по итогам операции ""Нелегал-2025"" в Подмосковье. **За нарушение режима пребывания составлено более 10 тыс. административных протоколов, сообщили в ГУ МВД по Московской области",33466,108,
346727,2025-11-01T15:59:34+00:00,"👔Мария Захарова иронично назвала фотографию Зеленского, зачитывающего доклад перед военными, ""картиной салом"":

""Украинские военные с радостью слушают доклад Зеленского об их успехах на поле боя. <...> Картина салом на холсте. Неизвестный художник добровольно мобилизован СБУ"".",34660,132,
346726,2025-11-01T15:35:16+00:00,"**ЦБ РФ разъяснил, как отличить дипфейк от оригинала и не отдать деньги мошенникам:**

▪️Неестественная, роботизированная, монотонная речь без эмоций, которая может резко обрываться. Нарушение синхронизации между речью и движением губ;

▪️ Неестественная мимика — редкое моргание, нетипичное движение губ или бровей, отсутствие проявления эмоций, а также дефекты звука и видео, посторонние шумы. 

В ЦБ призвали запомнить одно правило: если знакомый прислал вам голосовое или видео, где речь идет о деньгах или финансовой помощи, — насторожитесь.",36832,186,
346725,2025-11-01T15:24:01+00:00,"__""Тетрагидропиранилциклопентилтетрагидропиридопиридиновые"" __

Информация о том, что прилагательное из 55 букв является самым длинным словом в русском языке, это интересное языковое наблюдение, а не установленный рекорд, заявил ТАСС научный сотрудник ИРЯ РАН Пахомов.

✔ [Подпишись на ТАСС в Max](https://max.ru/tass_agency)",37813,397,
346724,2025-11-01T15:11:01+00:00,**Уведомлять мигрантов о внесении в реестр контролируемых лиц** с помощью СМС-рассылки или заказного письма предложил председатель комиссии ОП по добровольчеству и молодежной политике Павел Савчук.,37553,38,
346723,2025-11-01T14:58:01+00:00,"📹 **СК предъявил обвинение машинисту электропоезда в вовлечении подростков в зацепинг. **Об этом ТАСС сообщили в ведомстве.

Мужчина был администратором закрытого канала, где он размещал видеоролики, содержащие массовые обращения к подросткам с предложением заниматься зацепингом.

Видео: СК России/ТАСС

✔ [Подпишись на ТАСС / Москва в Мах](https://max.ru/moscow_tass)",36200,98,
346722,2025-11-01T14:47:20+00:00,"Информация о повышении НДС до 25% в Мурманской области, которая распространяется в соцсетях, является фейком. Об этом сообщили в региональном оперштабе.",36064,36,
346721,2025-11-01T14:31:02+00:00,,39457,35,
346720,2025-11-01T14:31:01+00:00,,39567,35,
346719,2025-11-01T14:31:01+00:00,"🚨 Мирный житель пострадал при атаке БПЛА ВСУ в селе Мощеное Белгородской области. Мужчина получил осколочные ранения головы, предплечья, грудной клетки и бедра, сообщили в оперштабе региона.

Также в Волоконовском районе сгорел частный дом, а в Борисовском районе поврежден автомобиль.

✔ [Подпишись на ТАСС в Max](https://max.ru/tass_agency)",37816,35,
346718,2025-11-01T14:15:44+00:00,"**Полномочия главы Суоярвского округа Карелии прекратили досрочно.** Причина — утрата доверия после проверки соблюдения законодательства о противодействии коррупции, сообщили в прокуратуре республики.

Глава округа помог родственнику в оформлении права собственности на участок под ИЖС с нарушением закона.",43784,96,
